jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2460021.8582986,1,2267358295615,20.197500228881836,/ztf/archive/sci/2023/0318/358287/ztf_20230318358287_000426_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2267,56,426,26.253299713134766,1.1922299563593697e-05,0.036851901561021805,-0.04592429846525192,2.327539914404042e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aauxcyo
2460021.9408218,2,2267440825615,19.513700485229492,/ztf/archive/sci/2023/0318/440822/ztf_20230318440822_000426_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2267,56,426,26.05579948425293,1.9015900761587545e-05,0.04728719964623451,0.1107880026102066,3.411110083106905e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aauxcyo
2460032.8794907,2,2278379495615,20.409299850463867,/ztf/archive/sci/2023/0329/379491/ztf_20230329379491_000426_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2278,56,426,26.212200164794922,5.60848002351122e-06,0.025832900777459145,0.10951299965381622,1.0003500392485876e-05,t17_f5_c3,2.278379495615015e+18,t,24.0,2773.590087890625,2754.510009765625,212.7152993,0.3434756,20.145200729370117,0.26661399006843567,1.3949999809265137,19.94070053100586,0.26429998874664307,0.23185500502586365,20.540000915527344,0.0560000017285347,1.1950000524520874,0.03700000047683716,0.3564029932022095,-0.20453399419784546,1.2699999809265137,0.8600000143051147,298.9079895019531,0.46863898634910583,1.9082900285720825,0.8209999799728394,0.6859999895095825,0.6464570164680481,0.5401570200920105,1.1967899799346924,6.0,0.0,0.7571430206298828,0.9672240018844604,19.91320037841797,0.32989999651908875,212.7152394,0.343447,7.05392,,,,ZTF21aauxcyo
2460043.8327315,1,2289332735615,19.07229995727539,/ztf/archive/sci/2023/0409/332732/ztf_20230409332732_000426_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2289,56,426,26.17180061340332,2.3606700779055245e-05,0.04042569920420647,-0.02782380022108555,6.080559978727251e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aauxcyo
2460043.8710995,2,2289371095615,19.677900314331055,/ztf/archive/sci/2023/0409/371100/ztf_20230409371100_000426_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2289,56,426,26.188199996948242,9.222650078299921e-06,0.033193398267030716,0.10538300126791,1.649409932724666e-05,t17_f5_c3,2.289371095615015e+18,t,12.0,2772.1201171875,2736.06005859375,212.715173,0.343379,19.96820068359375,0.319474995136261,0.8706750273704529,20.185100555419922,0.6931999921798706,0.34417998790740967,20.540000915527344,0.0560000017285347,1.1950000524520874,0.03700000047683716,1.022879958152771,0.2169180065393448,1.1168400049209595,0.9480000138282776,300.3840026855469,-0.5071970224380493,2.0,0.878000020980835,0.734000027179718,0.7861490249633789,0.6572129726409912,1.196179986000061,6.0,0.0,0.6471430063247681,0.9494150280952454,19.580299377441406,0.5105000138282776,212.7152394,0.343447,5.48691,,,,ZTF21aauxcyo
2460045.7938194,2,2291293815615,20.598400115966797,/ztf/archive/sci/2023/0411/293808/ztf_20230411293808_000426_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2291,56,426,26.207599639892578,6.071200004953425e-06,0.026728399097919464,0.10218500345945358,1.091030026145745e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aauxcyo
2460045.839213,1,2291339215615,20.340700149536133,/ztf/archive/sci/2023/0411/339213/ztf_20230411339213_000426_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2291,56,426,26.301799774169922,8.667920155858155e-06,0.03179420158267021,-0.038430098444223404,1.618429996597115e-05,t17_f5_c3,2.291339215615015e+18,t,14.0,2789.389892578125,2722.85009765625,212.7153234,0.343513,20.50279998779297,0.3276990056037903,0.8518440127372742,21.01799964904785,0.7664999961853027,0.42432400584220886,20.849000930786133,0.07000000029802322,1.1419999599456787,-0.15299999713897705,0.19192899763584137,0.5152429938316345,1.1880799531936646,0.7139999866485596,283.1099853515625,-0.6773170232772827,2.0,0.8059999942779541,0.5809999704360962,0.6784060001373291,0.4890249967575073,1.3872599601745605,7.0,0.0,0.6057140231132507,0.8679869771003723,21.16860008239746,1.1299999952316284,212.7152299,0.3434395,5.10839,,,,ZTF21aauxcyo
2460049.8590972,1,2295359095615,20.634899139404297,/ztf/archive/sci/2023/0415/359086/ztf_20230415359086_000426_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2295,56,426,26.21430015563965,9.046870218298864e-06,0.03259420022368431,-0.044833600521087646,1.692240039119497e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aauxcyo
2460326.0279861,1,2571527985615,20.33180046081543,/ztf/archive/sci/2024/0116/527975/ztf_20240116527975_000426_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2571,56,426,26.289600372314453,8.401289960602298e-06,0.03163670003414154,-0.038674499839544296,1.596000038261991e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aauxcyo
2460351.923669,1,2597423665615,20.23069953918457,/ztf/archive/sci/2024/0211/423669/ztf_20240211423669_000426_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2597,56,426,26.2632999420166,9.177219908451661e-06,0.03333539888262749,-0.051773298531770706,1.7193000530824065e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aauxcyo
