jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459338.894919,2,1584394910415,20.356599807739258,/ztf/archive/sci/2021/0504/394919/ztf_20210504394919_000530_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1584,4,530,26.25670051574707,6.908100203872891e-06,0.025581499561667442,0.10061100125312805,1.2365299880912062e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abbxdcm
2459341.7783565,2,1587278350415,20.722200393676758,/ztf/archive/sci/2021/0507/278356/ztf_20210507278356_000530_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1587,4,530,26.303800582885742,5.540729944186751e-06,0.022912200540304184,0.09651640057563782,9.977379704650957e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abbxdcm
2459343.7759838,1,1589275980415,20.640199661254883,/ztf/archive/sci/2021/0509/275972/ztf_20210509275972_000530_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1589,4,530,26.277999877929688,6.934249995538266e-06,0.025629399344325066,-0.088953398168087,1.2446799701137934e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abbxdcm
2459343.8161574,2,1589316150415,20.537700653076172,/ztf/archive/sci/2021/0509/316157/ztf_20210509316157_000530_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1589,4,530,26.203800201416016,5.868259904673323e-06,0.02358260005712509,0.10268700122833252,1.0519899660721421e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abbxdcm
2459345.8173264,2,1591317320415,20.66699981689453,/ztf/archive/sci/2021/0511/317326/ztf_20210511317326_000530_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1591,4,530,26.25200080871582,5.569620043388568e-06,0.02287369966506958,0.10133399814367294,9.952729669748805e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abbxdcm
2459345.8625116,1,1591362510415,20.74139976501465,/ztf/archive/sci/2021/0511/362512/ztf_20210511362512_000530_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1591,4,530,26.315799713134766,6.377219960995717e-06,0.024663599207997322,-0.0786013975739479,1.1469999662949704e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abbxdcm
2459349.7351389,1,1595235130415,20.755300521850586,/ztf/archive/sci/2021/0515/235116/ztf_20210515235116_000530_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1595,4,530,26.312999725341797,7.364099928963697e-06,0.02656020037829876,-0.08094649761915207,1.310399966314435e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abbxdcm
2459353.7953704,2,1599295370415,20.212600708007812,/ztf/archive/sci/2021/0519/295370/ztf_20210519295370_000530_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1599,4,530,26.265499114990234,6.06675985181937e-06,0.023989299312233925,0.09347020089626312,1.0920600288955029e-05,t17_f5_c3,1.599295370415015e+18,t,13.0,1098.280029296875,1855.989990234375,223.6370508,9.2281119,19.02050018310547,0.11119800060987473,1.7147799730300903,19.050199508666992,0.13050000369548798,0.5664550065994263,17.92300033569336,0.07999999821186066,6.254000186920166,0.6060000061988831,-0.26797598600387573,0.02966899983584881,2.4000000953674316,0.9789999723434448,1098.280029296875,1.1623899936676025,1.1594200134277344,0.7789999842643738,0.6769999861717224,0.3245829939842224,0.28208300471305847,1.150670051574707,4.0,0.0,0.9714289903640747,1.0,18.997699737548828,0.15530000627040863,223.6371494,9.2282387,14.6665,ZTF21abbxdcm
2459353.8514236,1,1599351420415,20.606700897216797,/ztf/archive/sci/2021/0519/351424/ztf_20210519351424_000530_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1599,4,530,26.31909942626953,9.320459867012687e-06,0.02975429967045784,-0.08204460144042969,1.6782500097178854e-05,t17_f5_c3,1.599351420415015e+18,t,17.0,1069.47998046875,1850.9100341796875,223.637028,9.2281099,18.76609992980957,0.07496900111436844,3.9818100929260254,18.872400283813477,0.0812000036239624,0.6706539988517761,18.591999053955078,0.08299999684095383,6.744999885559082,0.47999998927116394,0.1440179944038391,0.10631299763917923,2.2300000190734863,0.9829999804496765,1069.47998046875,1.7342599630355835,1.220020055770874,0.7580000162124634,0.7170000076293945,0.33991000056266785,0.3215250074863434,1.0571800470352173,1.0,0.0,0.9714289903640747,1.0,18.925800323486328,0.1054999977350235,223.6371445,9.2282602,26.5807,ZTF21abbxdcm
2459356.7889468,2,1602288940415,19.82509994506836,/ztf/archive/sci/2021/0522/288924/ztf_20210522288924_000530_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1602,4,530,26.28070068359375,7.253599960677093e-06,0.02645369991660118,0.10323899984359741,1.3237799976195674e-05,t17_f5_c3,1.602288940415015e+18,t,5.0,1073.030029296875,1902.52001953125,223.6370267,9.2281148,17.972700119018555,0.05698399990797043,5.508689880371094,18.037200927734375,0.07400000095367432,0.6163240075111389,17.92300033569336,0.07999999821186066,6.254000186920166,0.6060000061988831,0.20838099718093872,0.0645420029759407,2.190000057220459,0.9829999804496765,1073.030029296875,1.7879300117492676,1.2122600078582764,0.753000020980835,0.7369999885559082,0.3438360095024109,0.33652999997138977,1.0217100381851196,1.0,0.0,0.9671429991722107,1.0,18.037200927734375,0.09350000321865082,223.6371494,9.2282387,30.3142,ZTF21abbxdcm
