jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2459352.9814352,2,1598481433415,19.217199325561523,/ztf/archive/sci/2021/0518/481424/ztf_20210518481424_000650_zr_c09_o_q3_scimrefdiffimg.fits.fz,Prince,1,1.598481433415015e+18,t,1.0,1598,34,650,1674.550048828125,1631.050048828125,18.9659793,33.8088501,18.23740005493164,0.09100600332021713,1.3210699558258057,18.102100372314453,0.11490000039339066,2.358330011367798,17.99799919128418,0.13099999725818634,8.892999649047852,1.0199999809265137,0.032166000455617905,-0.13528400659561157,4.039999961853027,0.9829999804496765,1397.949951171875,1.1150699853897095,0.7823989987373352,1.0570000410079956,0.9990000128746033,0.2616339921951294,0.24727700650691986,1.0580600500106812,1.0,0.0,0.8428570032119751,1.0,18.03260040283203,0.13750000298023224,18.9657603,33.809491,15.4871,26.05739974975586,9.056750059244223e-06,0.037950001657009125,0.11683499813079834,1.5187300050456543e-05,t17_f5_c3,ZTF21abbxuez
2459352.9837731,2,1598483773415,18.987600326538086,/ztf/archive/sci/2021/0518/483773/ztf_20210518483773_000650_zr_c09_o_q3_scimrefdiffimg.fits.fz,Prince,1,1.598483773415015e+18,t,3.0,1598,34,650,1674.3599853515625,1632.02001953125,18.9660331,33.808852,18.21929931640625,0.11052700132131577,1.1432600021362305,18.332199096679688,0.16380000114440918,2.4084200859069824,17.99799919128418,0.13099999725818634,8.892999649047852,1.0199999809265137,0.6635919809341431,0.1129399985074997,4.070000171661377,0.9800000190734863,1398.1400146484375,0.6553980112075806,0.8205540180206299,1.0509999990463257,0.8939999938011169,0.2582310140132904,0.21965600550174713,1.1756099462509155,0.0,0.0,0.8142859935760498,1.0,18.408700942993164,0.2248000055551529,18.9657603,33.809491,12.6159,26.056299209594727,1.1263699889241252e-05,0.04143809899687767,0.12608300149440765,1.9026500012842007e-05,t17_f5_c3,ZTF21abbxuez
2459352.9861111,2,1598486113415,18.564199447631836,/ztf/archive/sci/2021/0518/486111/ztf_20210518486111_000650_zr_c09_o_q3_scimrefdiffimg.fits.fz,Prince,1,1.598486113415015e+18,t,3.0,1598,34,650,1674.8199462890625,1633.3699951171875,18.9658748,33.8088643,18.108600616455078,0.15092499554157257,0.9757369756698608,18.136600494384766,0.1574999988079071,2.2403500080108643,17.99799919128418,0.13099999725818634,8.892999649047852,1.0199999809265137,-0.24339599907398224,0.028030000627040863,7.150000095367432,0.972000002861023,1397.6800537109375,0.42757299542427063,0.5939900279045105,1.5889999866485596,1.4079999923706055,0.22223800420761108,0.19692300260066986,1.1285500526428223,2.0,0.0,0.45428600907325745,1.0,18.138399124145508,0.20170000195503235,18.9657603,33.809491,9.31651,26.072599411010742,1.928470010170713e-05,0.04401709884405136,0.1171879991889,3.738269879249856e-05,t17_f5_c3,ZTF21abbxuez
2459352.9884491,2,1598488443415,18.45210075378418,/ztf/archive/sci/2021/0518/488438/ztf_20210518488438_000650_zr_c09_o_q3_scimrefdiffimg.fits.fz,Prince,1,1.598488443415015e+18,t,12.0,1598,34,650,1675.56005859375,1634.8299560546875,18.9658626,33.8088157,18.1658992767334,0.15344299376010895,1.146399974822998,18.135900497436523,0.1851000040769577,2.4186298847198486,17.99799919128418,0.13099999725818634,8.892999649047852,1.0199999809265137,0.07969500124454498,-0.02998499944806099,5.599999904632568,0.9890000224113464,1396.93994140625,0.3162379860877991,0.7087069749832153,1.3480000495910645,1.2569999694824219,0.24071399867534637,0.22446399927139282,1.0723899602890015,2.0,0.0,0.5685709714889526,1.0,18.098100662231445,0.22920000553131104,18.9657603,33.809491,8.15935,26.08690071105957,2.1409599867183715e-05,0.04592439904808998,0.1189190000295639,4.129570152144879e-05,t17_f5_c3,ZTF21abbxuez
2459353.9780556,2,1599478053415,19.083499908447266,/ztf/archive/sci/2021/0519/478009/ztf_20210519478009_000650_zr_c09_o_q3_scimrefdiffimg.fits.fz,Prince,1,1.599478053415015e+18,t,2.0,1599,34,650,1671.3499755859375,1628.530029296875,18.96609,33.8087924,18.019699096679688,0.09229599684476852,1.7445600032806396,18.211000442504883,0.11580000072717667,2.6651198863983154,17.99799919128418,0.13099999725818634,8.892999649047852,1.0199999809265137,-0.18002399802207947,0.19126500189304352,7.079999923706055,0.9829999804496765,1401.1500244140625,0.8725110292434692,0.5562719702720642,1.2070000171661377,1.1710000038146973,0.17047999799251556,0.16539500653743744,1.0307400226593018,0.0,0.0,0.5414289832115173,1.0,18.25119972229004,0.15320000052452087,18.9657603,33.809491,12.5769,26.133699417114258,1.1060100405302364e-05,0.040890198200941086,0.12031599879264832,1.8742799511528574e-05,t17_f5_c3,ZTF21abbxuez
2459353.9804051,2,1599480403415,19.14389991760254,/ztf/archive/sci/2021/0519/480394/ztf_20210519480394_000650_zr_c09_o_q3_scimrefdiffimg.fits.fz,Prince,1,1.599480403415015e+18,t,4.0,1599,34,650,1672.8399658203125,1629.239990234375,18.9660164,33.808849,18.093000411987305,0.07365000247955322,1.4573500156402588,18.102399826049805,0.11159999668598175,2.3937900066375732,17.99799919128418,0.13099999725818634,8.892999649047852,1.0199999809265137,-0.5224459767341614,0.009425000287592411,4.550000190734863,0.9829999804496765,1399.6600341796875,1.0414999723434448,0.763329029083252,1.1890000104904175,1.0529999732971191,0.26131901144981384,0.23142899572849274,1.1291600465774536,1.0,0.0,0.75,1.0,18.028200149536133,0.1331000030040741,18.9657603,33.809491,15.218,26.15399932861328,1.0893400030909106e-05,0.04149309918284416,0.113646000623703,1.8213400835520588e-05,t17_f5_c3,ZTF21abbxuez
2459353.9827431,2,1599482743415,19.05470085144043,/ztf/archive/sci/2021/0519/482743/ztf_20210519482743_000650_zr_c09_o_q3_scimrefdiffimg.fits.fz,Prince,1,1.599482743415015e+18,t,3.0,1599,34,650,1673.550048828125,1630.6199951171875,18.9660457,33.8088428,18.111099243164062,0.12351900339126587,2.0429000854492188,18.029800415039062,0.11840000003576279,2.441230058670044,17.99799919128418,0.13099999725818634,8.892999649047852,1.0199999809265137,-0.9512889981269836,-0.08128400146961212,4.050000190734863,0.9829999804496765,1398.949951171875,1.024899959564209,0.8133230209350586,1.1239999532699585,1.0049999952316284,0.2775309979915619,0.24814799427986145,1.1184099912643433,1.0,0.0,0.807142972946167,1.0,17.9773006439209,0.14419999718666077,18.9657603,33.809491,13.6747,26.155099868774414,9.934020454238635e-06,0.039410099387168884,0.12355899810791016,1.684460039541591e-05,t17_f5_c3,ZTF21abbxuez
2459353.985081,2,1599485083415,18.63249969482422,/ztf/archive/sci/2021/0519/485081/ztf_20210519485081_000650_zr_c09_o_q3_scimrefdiffimg.fits.fz,Prince,1,1.599485083415015e+18,t,5.0,1599,34,650,1674.5400390625,1632.1300048828125,18.9659818,33.8087983,18.246200561523438,0.12034899741411209,1.1632000207901,18.308700561523438,0.17829999327659607,2.535559892654419,17.99799919128418,0.13099999725818634,8.892999649047852,1.0199999809265137,-0.45328599214553833,0.06248699873685837,4.75,0.9470000267028809,1397.9599609375,0.3237540125846863,0.8680610060691833,1.5,1.2890000343322754,0.31578901410102844,0.27136799693107605,1.1636899709701538,1.0,0.0,0.5471429824829102,1.0,18.216299057006836,0.20960000157356262,18.9657603,33.809491,8.10875,26.164199829101562,1.772050018189475e-05,0.04411960020661354,0.11691900342702866,3.344209835631773e-05,t17_f5_c3,ZTF21abbxuez
2459353.987419,2,1599487413415,18.614200592041016,/ztf/archive/sci/2021/0519/487419/ztf_20210519487419_000650_zr_c09_o_q3_scimrefdiffimg.fits.fz,Prince,1,1.599487413415015e+18,t,7.0,1599,34,650,1673.18994140625,1633.699951171875,18.9660308,33.8088514,18.21500015258789,0.11094199866056442,1.6339999437332153,18.362300872802734,0.22190000116825104,2.4005699157714844,17.99799919128418,0.13099999725818634,8.892999649047852,1.0199999809265137,0.6346259713172913,0.1473429948091507,6.21999979019165,0.9980000257492065,1399.31005859375,0.2518889904022217,0.5647789835929871,1.0950000286102295,1.0299999713897705,0.1760450005531311,0.16559499502182007,1.0631099939346313,3.0,0.0,0.5814290046691895,1.0,18.3164005279541,0.2727000117301941,18.9657603,33.809491,9.09843,26.173999786376953,1.600150062586181e-05,0.04364969953894615,0.1204029992222786,2.932720053649973e-05,t17_f5_c3,ZTF21abbxuez
2459354.9790625,2,1600479063415,18.927400588989258,/ztf/archive/sci/2021/0520/479016/ztf_20210520479016_000650_zr_c09_o_q3_scimrefdiffimg.fits.fz,Prince,1,1.600479063415015e+18,t,0.0,1600,34,650,1650.3299560546875,1637.5699462890625,18.9661218,33.8089244,18.101299285888672,0.11950500309467316,1.6789799928665161,18.2189998626709,0.11230000108480453,2.283400058746338,17.99799919128418,0.13099999725818634,8.892999649047852,1.0199999809265137,-0.11762899905443192,0.1176609992980957,7.239999771118164,0.9380000233650208,1422.1700439453125,0.7083569765090942,0.6549270153045654,1.694000005722046,1.5110000371932983,0.2339780032634735,0.2087019979953766,1.121109962463379,0.0,0.0,0.45714300870895386,1.0,18.20359992980957,0.14100000262260437,18.9657603,33.809491,10.7303,26.17729949951172,1.7643600585870445e-05,0.046418000012636185,0.12263599783182144,3.151720011373982e-05,t17_f5_c3,ZTF21abbxuez
2459354.9814005,2,1600481403415,18.803300857543945,/ztf/archive/sci/2021/0520/481400/ztf_20210520481400_000650_zr_c09_o_q3_scimrefdiffimg.fits.fz,Prince,1,1.600481403415015e+18,t,3.0,1600,34,650,1650.3599853515625,1639.1800537109375,18.9660688,33.8087574,18.261899948120117,0.16386699676513672,0.9924619793891907,18.422300338745117,0.1451999992132187,2.7605299949645996,17.99799919128418,0.13099999725818634,8.892999649047852,1.0199999809265137,-0.5018200278282166,0.16035699844360352,4.820000171661377,0.7720000147819519,1422.1400146484375,0.3809809982776642,1.017699956893921,1.621999979019165,1.5269999504089355,0.33651500940322876,0.31680500507354736,1.062209963798523,0.0,0.0,0.47999998927116394,1.0,18.23740005493164,0.15639999508857727,18.9657603,33.809491,8.27883,26.181900024414062,2.109709930664394e-05,0.04837080091238022,0.11169199645519257,3.872829984175041e-05,t17_f5_c3,ZTF21abbxuez
2459354.9837384,2,1600483733415,18.85110092163086,/ztf/archive/sci/2021/0520/483738/ztf_20210520483738_000650_zr_c09_o_q3_scimrefdiffimg.fits.fz,Prince,1,1.600483733415015e+18,t,18.0,1600,34,650,1651.280029296875,1640.18994140625,18.9659861,33.8088692,18.057600021362305,0.10102500021457672,0.6810410022735596,18.004600524902344,0.11299999803304672,2.3070900440216064,17.99799919128418,0.13099999725818634,8.892999649047852,1.0199999809265137,-0.5600469708442688,-0.053008999675512314,6.96999979019165,0.9819999933242798,1421.219970703125,0.8464840054512024,0.5836120247840881,1.3830000162124634,1.2999999523162842,0.19842199981212616,0.1865140050649643,1.0638500452041626,0.0,0.0,0.5028570294380188,1.0,18.095399856567383,0.15690000355243683,18.9657603,33.809491,11.4157,26.197599411010742,1.591600084793754e-05,0.04522150009870529,0.11918000131845474,2.838540058291983e-05,t17_f5_c3,ZTF21abbxuez
2459354.986088,2,1600486083415,18.600000381469727,/ztf/archive/sci/2021/0520/486088/ztf_20210520486088_000650_zr_c09_o_q3_scimrefdiffimg.fits.fz,Prince,1,1.600486083415015e+18,t,5.0,1600,34,650,1652.56005859375,1641.68994140625,18.9658457,33.8088957,18.268800735473633,0.16055400669574738,1.3400700092315674,18.152700424194336,0.15000000596046448,2.131500005722046,17.99799919128418,0.13099999725818634,8.892999649047852,1.0199999809265137,-0.4009779989719391,-0.11609700322151184,5.260000228881836,0.9639999866485596,1419.93994140625,0.44728899002075195,0.832476019859314,1.6009999513626099,1.4320000410079956,0.30437299609184265,0.2722429931163788,1.1180200576782227,0.0,0.0,0.5099999904632568,1.0,18.277299880981445,0.2151000052690506,18.9657603,33.809491,9.33028,26.20479965209961,2.5418899895157665e-05,0.050530001521110535,0.11699099838733673,4.864839866058901e-05,t17_f5_c3,ZTF21abbxuez
2459356.9793981,2,1602479393415,19.281999588012695,/ztf/archive/sci/2021/0522/479398/ztf_20210522479398_000650_zr_c09_o_q3_scimrefdiffimg.fits.fz,Prince,1,1.602479393415015e+18,t,4.0,1602,34,650,1626.0,1685.0400390625,18.9660491,33.8088683,18.169300079345703,0.07010900229215622,1.209280014038086,18.250699996948242,0.12460000067949295,2.370889902114868,17.99799919128418,0.13099999725818634,8.892999649047852,1.0199999809265137,0.0835999995470047,0.08140099793672562,3.8299999237060547,0.9829999804496765,1395.4599609375,1.0313400030136108,0.8221619725227356,0.9750000238418579,0.8999999761581421,0.25456899404525757,0.23498700559139252,1.0833300352096558,0.0,0.0,0.8985710144042969,1.0,18.1564998626709,0.14589999616146088,18.9657603,33.809491,17.2334,26.16629981994629,8.906999937607907e-06,0.03794189915060997,0.11806199699640274,1.49432999023702e-05,t17_f5_c3,ZTF21abbxuez
2459356.9817593,2,1602481753415,19.168500900268555,/ztf/archive/sci/2021/0522/481759/ztf_20210522481759_000650_zr_c09_o_q3_scimrefdiffimg.fits.fz,Prince,1,1.602481753415015e+18,t,4.0,1602,34,650,1626.1099853515625,1686.5400390625,18.9660306,33.8088386,18.301599502563477,0.0822329968214035,1.37923002243042,18.520099639892578,0.18160000443458557,2.4440701007843018,17.99799919128418,0.13099999725818634,8.892999649047852,1.0199999809265137,0.1896049976348877,0.21849100291728973,3.0799999237060547,0.9879999756813049,1393.9599609375,0.6483529806137085,0.9865729808807373,0.9020000100135803,0.8659999966621399,0.29285699129104614,0.28116899728775024,1.0415699481964111,1.0,0.0,0.9142860174179077,1.0,18.511600494384766,0.2303999960422516,18.9657603,33.809491,14.095,26.16860008239746,7.567180091427872e-06,0.03493480011820793,0.12680499255657196,1.2626699572138023e-05,t17_f5_c3,ZTF21abbxuez
2459356.9841204,2,1602484123415,18.986900329589844,/ztf/archive/sci/2021/0522/484120/ztf_20210522484120_000650_zr_c09_o_q3_scimrefdiffimg.fits.fz,Prince,1,1.602484123415015e+18,t,1.0,1602,34,650,1625.9100341796875,1688.4100341796875,18.9660406,33.8088333,18.219200134277344,0.09572499990463257,1.3196200132369995,18.15730094909668,0.14880000054836273,2.4791200160980225,17.99799919128418,0.13099999725818634,8.892999649047852,1.0199999809265137,-0.5898630023002625,-0.061914000660181046,4.239999771118164,0.984000027179718,1392.0899658203125,0.8295869827270508,0.7331389784812927,1.0,0.9070000052452087,0.23584899306297302,0.21391500532627106,1.1025400161743164,1.0,0.0,0.8399999737739563,1.0,18.13990020751953,0.1875,18.9657603,33.809491,12.9096,26.191200256347656,1.0407099580334034e-05,0.04047580063343048,0.11322499811649323,1.7413500245311297e-05,t17_f5_c3,ZTF21abbxuez
