jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2460109.898125,1,2355398121615,20.343399047851562,/ztf/archive/sci/2023/0614/398125/ztf_20230614398125_000336_zg_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2355,16,336,26.124000549316406,5.84580993745476e-06,0.023976599797606468,-0.03331340104341507,1.4304499927675352e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abiyyob
2460109.8990741,1,2355399072915,20.378700256347656,/ztf/archive/sci/2023/0614/399062/ztf_20230614399062_000337_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2355,29,337,26.167999267578125,3.6869100767944474e-06,0.020529799163341522,-0.04004409909248352,9.337109986518044e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abiyyob
2460109.9192477,3,2355419242915,19.73390007019043,/ztf/archive/sci/2023/0614/419248/ztf_20230614419248_000337_zi_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2355,29,337,25.6830997467041,1.582519985277031e-06,0.015059100463986397,0.19883599877357483,2.1562300389632583e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abiyyob
2460109.9415509,2,2355441552915,20.462900161743164,/ztf/archive/sci/2023/0614/441539/ztf_20230614441539_000337_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2355,29,337,26.22319984436035,2.6007899123214884e-06,0.017187200486660004,0.08661650121212006,6.562850103364326e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abiyyob
2460109.9420255,2,2355442021615,20.409500122070312,/ztf/archive/sci/2023/0614/442014/ztf_20230614442014_000336_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2355,16,336,26.187999725341797,2.3150601009547245e-06,0.015236999839544296,0.09199819713830948,5.650460025208304e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abiyyob
2460111.9092245,1,2357409222915,20.190099716186523,/ztf/archive/sci/2023/0616/409225/ztf_20230616409225_000337_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2357,29,337,25.779399871826172,1.612310006748885e-05,0.04338650032877922,-0.07290209829807281,4.0516999433748424e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abiyyob
2460111.9096991,1,2357409691615,20.025400161743164,/ztf/archive/sci/2023/0616/409688/ztf_20230616409688_000336_zg_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2357,16,336,25.71500015258789,3.360560003784485e-05,0.05784349888563156,-0.07017979770898819,8.209879888454452e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abiyyob
2460111.9101736,1,2357410171615,20.017900466918945,/ztf/archive/sci/2023/0616/410162/ztf_20230616410162_000336_zg_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2357,16,336,25.73889923095703,5.319960109773092e-05,0.07297299802303314,-0.08359459787607193,0.00012959999730810523,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abiyyob
2460112.9393171,3,2358439312915,19.644899368286133,/ztf/archive/sci/2023/0617/439132/ztf_20230617439132_000337_zi_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2358,29,337,25.632200241088867,1.9391700334381312e-06,0.01656470075249672,0.20129400491714478,2.6465300834388472e-05,t17_f5_c3,2.35843931291501e+18,f,7.0,2988.780029296875,1574.8900146484375,301.2063776,-17.5218441,19.601200103759766,0.20680400729179382,1.132200002670288,19.816999435424805,0.49869999289512634,0.44495800137519836,19.5049991607666,0.05700000002980232,1.7120000123977661,0.09200000017881393,-0.6716660261154175,0.21579499542713165,1.7699999809265137,0.9539999961853027,83.72059631347656,-0.1721230000257492,1.3105499744415283,0.7049999833106995,0.5910000205039978,0.3983049988746643,0.33389800786972046,1.1928900480270386,6.0,0.0,0.7971429824829102,0.9618949890136719,19.52910041809082,0.49309998750686646,301.206494,-17.5217781,8.39917,,,,ZTF21abiyyob
2460114.8781597,2,2360378151615,20.330900192260742,/ztf/archive/sci/2023/0619/378160/ztf_20230619378160_000336_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2360,16,336,26.236600875854492,2.6739598979474977e-06,0.016308199614286423,0.0925590991973877,6.532210136356298e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abiyyob
2460114.8800463,2,2360380042915,20.463699340820312,/ztf/archive/sci/2023/0619/380046/ztf_20230619380046_000337_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2360,29,337,26.277099609375,1.8807500055117998e-06,0.014602500014007092,0.08190879970788956,4.736150003736839e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abiyyob
2460114.9193287,1,2360419321615,20.483200073242188,/ztf/archive/sci/2023/0619/419317/ztf_20230619419317_000336_zg_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2360,16,336,26.19770050048828,5.443640020530438e-06,0.023002399131655693,-0.03379429876804352,1.3386799764703028e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abiyyob
2460114.9240625,1,2360424062915,20.42169952392578,/ztf/archive/sci/2023/0619/424051/ztf_20230619424051_000337_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2360,29,337,26.252099990844727,3.586040065783891e-06,0.020167699083685875,-0.05311189964413643,9.06137029232923e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abiyyob
2460115.9827199,3,2361482712915,19.086599349975586,/ztf/archive/sci/2023/0620/482535/ztf_20230620482535_000337_zi_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2361,29,337,25.693899154663086,2.7870300982613117e-06,0.01987130008637905,0.1908320039510727,3.801309867412783e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abiyyob
2460117.8778704,2,2363377871615,19.998899459838867,/ztf/archive/sci/2023/0622/377859/ztf_20230622377859_000336_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2363,16,336,26.240299224853516,8.157970114552882e-06,0.028136199340224266,0.08502709865570068,1.9981200239271857e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21abiyyob
