jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2459435.9189352,1,1681418931415,20.372400283813477,/ztf/archive/sci/2021/0809/418924/ztf_20210809418924_000447_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1.681418931415015e+18,t,15.0,1681,14,447,2397.419921875,2975.530029296875,1.8247406,0.8383705,19.1205997467041,0.1291709989309311,3.358139991760254,18.91160011291504,0.08619999885559082,2.3512299060821533,22.281999588012695,0.1679999977350235,0.8209999799728394,-0.17299999296665192,-0.07550200074911118,-0.2089810073375702,3.0299999713897705,0.9610000252723694,104.96900177001953,1.4608299732208252,1.021880030632019,1.031000018119812,0.9549999833106995,0.3402639925479889,0.31518200039863586,1.0795799493789673,0.0,0.0,0.8242859840393066,1.0,18.9143009185791,0.10930000245571136,1.8241004,0.8381943,23.7457,26.088600158691406,4.154150155954994e-05,0.03592279925942421,-0.11364399641752243,6.251059676287696e-05,t17_f5_c3,ZTF21abqpwpu
2459436.8780903,2,1682378095315,20.524799346923828,/ztf/archive/sci/2021/0810/378079/ztf_20210810378079_000396_zr_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1.682378095315015e+18,t,8.0,1682,53,396,2992.6298828125,971.6190185546875,1.8247397,0.8383264,19.124900817871094,0.10485000163316727,6.091559886932373,18.868099212646484,0.09960000216960907,2.7893900871276855,22.006000518798828,0.14300000667572021,1.0399999618530273,0.16699999570846558,1.3697600364685059,-0.2568190097808838,1.9800000190734863,1.0,79.86859893798828,1.6567100286483765,1.128119945526123,0.6610000133514404,0.656000018119812,0.33383798599243164,0.33131301403045654,1.0076199769973755,0.0,0.0,0.8528569936752319,1.0,18.77560043334961,0.1160999983549118,1.825128,0.8376446,22.6805,26.081899642944336,1.6022999261622317e-05,0.025223899632692337,0.10515999794006348,2.3939799575600773e-05,t17_f5_c3,ZTF21abqpwpu
2459436.9215972,1,1682421595315,20.719200134277344,/ztf/archive/sci/2021/0810/421586/ztf_20210810421586_000396_zg_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1.682421595315015e+18,t,2.0,1682,53,396,3022.5400390625,979.9190063476562,1.8247485,0.8383132,18.955900192260742,0.077845998108387,5.336810111999512,19.005699157714844,0.08990000188350677,3.4388298988342285,22.18899917602539,0.14800000190734863,0.9139999747276306,-0.06499999761581421,1.6873799562454224,0.049754999577999115,2.130000114440918,0.9819999933242798,49.959598541259766,1.7134900093078613,1.1105600595474243,0.6840000152587891,0.6510000228881836,0.3211269974708557,0.3056339919567108,1.0506900548934937,3.0,0.0,0.9300000071525574,0.9880049824714661,18.877700805664062,0.10100000351667404,1.8253447,0.8375517,29.741,26.182899475097656,2.752980071818456e-05,0.03276209905743599,-0.06110849976539612,4.0606799302622676e-05,t17_f5_c3,ZTF21abqpwpu
2459438.9106366,1,1684410631415,20.359600067138672,/ztf/archive/sci/2021/0812/410625/ztf_20210812410625_000447_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1.684410631415015e+18,t,16.0,1684,14,447,2400.669921875,3045.2900390625,1.8247349,0.8383245,19.01099967956543,0.10898000001907349,2.2829298973083496,19.004600524902344,0.10559999942779541,2.304270029067993,22.281999588012695,0.1679999977350235,0.8209999799728394,-0.17299999296665192,-0.1441439986228943,-0.0064039998687803745,2.880000114440918,0.9789999723434448,35.206298828125,1.3550200462341309,0.9566789865493774,0.7950000166893005,0.777999997138977,0.27604201436042786,0.27013900876045227,1.0218499898910522,4.0,0.0,0.8957139849662781,0.9829670190811157,18.9330997467041,0.1256999969482422,1.8241004,0.8381943,24.7926,25.98900032043457,3.072529943892732e-05,0.030811000615358353,-0.10271800309419632,4.471500142244622e-05,t17_f5_c3,ZTF21abqpwpu
2459438.9628009,2,1684462801415,20.42099952697754,/ztf/archive/sci/2021/0812/462789/ztf_20210812462789_000447_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1684,14,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.907499313354492,1.8382999769528396e-05,0.02383190020918846,0.10878100246191025,2.6509400413488038e-05,t17_f5_c3,ZTF21abqpwpu
2459439.8953241,2,1685395325315,20.069700241088867,/ztf/archive/sci/2021/0813/395324/ztf_20210813395324_000396_zr_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1.685395325315015e+18,t,4.0,1685,53,396,3036.919921875,920.614013671875,1.8247787,0.8383122,18.9685001373291,0.11069700121879578,2.6167800426483154,18.823200225830078,0.12559999525547028,2.6542201042175293,22.006000518798828,0.14300000667572021,1.0399999618530273,0.16699999570846558,-0.057367000728845596,-0.14533400535583496,2.390000104904175,0.9829999804496765,35.582000732421875,1.2465200424194336,1.0546499490737915,0.7929999828338623,0.7170000076293945,0.3317990005016327,0.30000001192092896,1.1059999465942383,0.0,0.0,0.9057139754295349,1.0,18.76110076904297,0.15129999816417694,1.825128,0.8376446,19.9577,26.043500900268555,1.6290799976559356e-05,0.02472740039229393,0.09860929846763611,2.348549969610758e-05,t17_f5_c3,ZTF21abqpwpu
2459439.9203241,1,1685420325315,20.4281005859375,/ztf/archive/sci/2021/0813/420324/ztf_20210813420324_000396_zg_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1.685420325315015e+18,t,5.0,1685,53,396,3020.860107421875,942.1439819335938,1.8247796,0.8383306,18.960100173950195,0.10032500326633453,1.3091700077056885,18.880599975585938,0.09849999845027924,3.42192006111145,22.18899917602539,0.14800000190734863,0.9139999747276306,-0.06499999761581421,0.42530199885368347,-0.07950799912214279,2.2200000286102295,0.9819999933242798,51.64080047607422,1.5474599599838257,1.1126099824905396,0.7950000166893005,0.7559999823570251,0.3581080138683319,0.3405410051345825,1.0515899658203125,4.0,0.0,0.9300000071525574,0.9635570049285889,18.913299560546875,0.12870000302791595,1.8253447,0.8375517,22.9328,26.049100875854492,2.7989499358227476e-05,0.03258369863033295,-0.05512240156531334,4.1840801713988185e-05,t17_f5_c3,ZTF21abqpwpu
2459440.9193634,1,1686419361415,19.97170066833496,/ztf/archive/sci/2021/0814/419352/ztf_20210814419352_000447_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1686,14,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.806499481201172,0.0002812650054693222,0.08970200270414352,-0.1324000060558319,0.0004625139990821481,t17_f5_c3,ZTF21abqpwpu
2459442.8315972,1,1688331595315,20.47439956665039,/ztf/archive/sci/2021/0816/331597/ztf_20210816331597_000396_zg_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1.688331595315015e+18,t,3.0,1688,53,396,3039.1298828125,877.5239868164062,1.8247827,0.8383411,18.892499923706055,0.10154800117015839,4.764840126037598,18.854700088500977,0.0908999964594841,3.4450299739837646,22.18899917602539,0.14800000190734863,0.9139999747276306,-0.06499999761581421,-0.33045101165771484,-0.0377580001950264,2.1700000762939453,0.9819999933242798,33.36899948120117,1.6197500228881836,1.15693998336792,0.7329999804496765,0.671999990940094,0.3377879858016968,0.30967700481414795,1.0907700061798096,2.0,0.0,0.9228569865226746,1.0,18.62779998779297,0.09380000084638596,1.8253447,0.8375517,23.8463,26.120500564575195,3.64498991984874e-05,0.03728729858994484,-0.07221440225839615,5.3346699132816866e-05,t17_f5_c3,ZTF21abqpwpu
2459443.8541204,1,1689354121415,20.220500946044922,/ztf/archive/sci/2021/0817/354109/ztf_20210817354109_000447_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1.689354121415015e+18,t,17.0,1689,14,447,2403.7099609375,2960.7900390625,1.8247469,0.8383143,18.917400360107422,0.10425300151109695,2.5066699981689453,18.918500900268555,0.12409999966621399,2.3211400508880615,22.281999588012695,0.1679999977350235,0.8209999799728394,-0.17299999296665192,0.28439998626708984,0.0010849999962374568,2.1600000858306885,0.9800000190734863,119.71399688720703,1.3020199537277222,1.1339999437332153,0.6990000009536743,0.6140000224113464,0.32361099123954773,0.28425899147987366,1.1384400129318237,1.0,0.0,0.9171429872512817,1.0,18.893299102783203,0.15399999916553497,1.8241004,0.8381943,24.5726,25.71739959716797,2.258929998788517e-05,0.02675420045852661,-0.07315459847450256,3.395650128368288e-05,t17_f5_c3,ZTF21abqpwpu
