jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459425.715162,1,1671215161015,20.254199981689453,/ztf/archive/sci/2021/0730/215162/ztf_20210730215162_000629_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1671,10,629,26.204999923706055,1.426759990863502e-05,0.03122290037572384,-0.07033780217170715,2.1990099412505515e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21absbrbd
2459427.7450579,1,1673245051015,19.9591007232666,/ztf/archive/sci/2021/0801/245058/ztf_20210801245058_000629_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1673,10,629,26.0846004486084,1.9081000573351048e-05,0.0353471003472805,-0.052897799760103226,3.158509935019538e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21absbrbd
2459429.7803241,1,1675280321015,19.346399307250977,/ztf/archive/sci/2021/0803/280312/ztf_20210803280312_000629_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1675,10,629,25.9685001373291,3.603020013542846e-05,0.0427107997238636,-0.052762001752853394,7.37669033696875e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21absbrbd
2459436.6966204,2,1682196621015,20.183900833129883,/ztf/archive/sci/2021/0810/196609/ztf_20210810196609_000629_zr_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1682,10,629,26.070100784301758,1.2169600267952774e-05,0.028815200552344322,0.11150799691677094,1.8737500795396045e-05,t17_f5_c3,1.682196621015015e+18,t,3.0,1240.9599609375,854.885009765625,217.0721717,23.0470067,20.16309928894043,0.20280900597572327,1.2371400594711304,20.55470085144043,0.5983999967575073,1.507449984550476,22.110000610351562,0.1979999989271164,1.399999976158142,0.04800000041723251,-0.0963670015335083,0.39155301451683044,2.890000104904175,0.9330000281333923,854.885009765625,-0.37077799439430237,0.7941300272941589,0.7319999933242798,0.7049999833106995,0.2532869875431061,0.24394500255584717,1.0383000373840332,8.0,0.0,0.6285709738731384,0.8689659833908081,20.153499603271484,0.5314000248908997,217.0720513,23.0465974,7.47016,ZTF21absbrbd
2459436.7633449,1,1682263341015,19.344200134277344,/ztf/archive/sci/2021/0810/263333/ztf_20210810263333_000629_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1682,10,629,25.7322998046875,4.558570071822032e-05,0.050066299736499786,-0.037613000720739365,9.079110168386251e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21absbrbd
2459439.6988657,2,1685198861015,19.49959945678711,/ztf/archive/sci/2021/0813/198866/ztf_20210813198866_000629_zr_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1685,10,629,25.899599075317383,1.5990099200280383e-05,0.03303290158510208,0.12511999905109406,2.458560084050987e-05,t17_f5_c3,1.685198861015015e+18,t,2.0,1267.5400390625,816.4979858398438,217.0720898,23.0468963,19.487600326538086,0.28933200240135193,1.3141100406646729,19.27239990234375,0.32010000944137573,1.0699800252914429,22.110000610351562,0.1979999989271164,1.399999976158142,0.04800000041723251,-0.08353199809789658,-0.21515899896621704,3.4000000953674316,0.949999988079071,816.4979858398438,0.22716300189495087,0.7249619960784912,0.7789999842643738,0.6050000190734863,0.2291180044412613,0.1779409945011139,1.287600040435791,7.0,0.0,0.5385710000991821,0.8271780014038086,19.10219955444336,0.3517000079154968,217.0720513,23.0465974,7.71363,ZTF21absbrbd
2459441.7188889,1,1687218881015,19.236900329589844,/ztf/archive/sci/2021/0815/218877/ztf_20210815218877_000629_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1687,10,629,25.870899200439453,3.504590131342411e-05,0.042962901294231415,-0.02672629989683628,7.176180224632844e-05,t17_f5_c3,1.687218881015015e+18,t,1.0,1220.989990234375,800.7550048828125,217.0721504,23.046898,19.000900268554688,0.15443499386310577,0.9098970293998718,19.11079978942871,0.31459999084472656,3.849529981613159,23.054000854492188,0.3490000069141388,0.9950000047683716,-0.5299999713897705,-0.4999549984931946,0.109934002161026,3.109999895095825,0.9800000190734863,800.7550048828125,0.12610100209712982,0.8844519853591919,0.8209999799728394,0.6480000019073486,0.2639870047569275,0.2083600014448166,1.2669800519943237,4.0,0.0,0.7699999809265137,0.988690972328186,19.066200256347656,0.38760000467300415,217.0726219,23.0459059,11.0041,ZTF21absbrbd
2459443.666875,1,1689166871015,19.201099395751953,/ztf/archive/sci/2021/0817/166875/ztf_20210817166875_000629_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1689,10,629,25.867700576782227,3.383069997653365e-05,0.04268769919872284,-0.0437036007642746,6.540350295836106e-05,t17_f5_c3,1.689166871015015e+18,t,2.0,1268.6099853515625,819.5670166015625,217.0720795,23.0469607,18.724700927734375,0.14539100229740143,2.2359700202941895,18.741300582885742,0.2669000029563904,4.148809909820557,23.054000854492188,0.3490000069141388,0.9950000047683716,-0.5299999713897705,-0.33313798904418945,0.016606999561190605,2.009999990463257,0.9879999756813049,819.5670166015625,0.4598259925842285,1.1861300468444824,0.6190000176429749,0.5740000009536743,0.30796000361442566,0.28557199239730835,1.0784000158309937,4.0,0.0,0.9085710048675537,0.9850530028343201,18.550199508666992,0.2872999906539917,217.0726219,23.0459059,13.3172,ZTF21absbrbd
2459443.7467708,2,1689246771015,18.337499618530273,/ztf/archive/sci/2021/0817/246759/ztf_20210817246759_000629_zr_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1689,10,629,25.42639923095703,4.6647201088489965e-05,0.047173500061035156,0.1433209925889969,7.670580089325085e-05,t17_f5_c3,1.689246771015015e+18,t,0.0,1209.510009765625,770.9429931640625,217.0720945,23.0468562,18.883399963378906,0.30258500576019287,0.8107190132141113,18.582599639892578,0.49779999256134033,0.9303110241889954,22.110000610351562,0.1979999989271164,1.399999976158142,0.04800000041723251,0.1574539989233017,-0.3007650077342987,1.2182600498199463,0.9430000185966492,770.9429931640625,-0.24513299763202667,2.0,0.7580000162124634,0.6679999828338623,0.6221979856491089,0.5483229756355286,1.1347299814224243,5.0,0.0,0.5357139706611633,0.8074460029602051,18.760099411010742,0.7533000111579895,217.0720513,23.0465974,5.09295,ZTF21absbrbd
2459447.6943287,2,1693194321015,19.013399124145508,/ztf/archive/sci/2021/0821/194317/ztf_20210821194317_000629_zr_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1693,10,629,26.01490020751953,2.2693100618198514e-05,0.038781799376010895,0.12541800737380981,3.446100163273513e-05,t17_f5_c3,1.693194321015015e+18,t,2.0,1247.6300048828125,827.2310180664062,217.072204,23.0469188,18.58289909362793,0.17814399302005768,1.1173499822616577,18.74410057067871,0.2644999921321869,1.2464699745178223,22.110000610351562,0.1979999989271164,1.399999976158142,0.04800000041723251,-0.9502090215682983,0.1611649990081787,4.039999961853027,0.9819999933242798,827.2310180664062,0.26925501227378845,0.7097910046577454,1.034000039100647,0.7960000038146973,0.2559410035610199,0.1970299929380417,1.2990000247955322,5.0,0.0,0.5914289951324463,0.9930989742279053,18.390600204467773,0.2451999932527542,217.0720513,23.0465974,12.0132,ZTF21absbrbd
