jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459491.6360764,1,1737136072815,20.61009979248047,/ztf/archive/sci/2021/1004/136076/ztf_20211004136076_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1737,28,762,26.26110076904297,5.037029950472061e-06,0.026759300380945206,-0.07312220335006714,8.834829714032821e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21acjcsyh
2459491.6746296,2,1737174622815,20.299100875854492,/ztf/archive/sci/2021/1004/174630/ztf_20211004174630_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1737,28,762,26.24880027770996,3.7747099668195006e-06,0.023031700402498245,0.11322599649429321,6.575370207428932e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21acjcsyh
2459497.6433102,1,1743143312815,19.783100128173828,/ztf/archive/sci/2021/1010/143299/ztf_20211010143299_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1743,28,762,26.22949981689453,1.5942900063237175e-05,0.04473140090703964,-0.04961689934134483,3.228610148653388e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21acjcsyh
2459502.6222685,1,1748122262815,19.73200035095215,/ztf/archive/sci/2021/1015/122257/ztf_20211015122257_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1748,28,762,26.237499237060547,9.791890079213772e-06,0.03503229841589928,-0.03961699828505516,2.013949961110484e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21acjcsyh
2459502.6568866,2,1748156882815,19.47450065612793,/ztf/archive/sci/2021/1015/156875/ztf_20211015156875_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1748,28,762,26.25079917907715,1.008930030366173e-05,0.03756359964609146,0.12152700126171112,1.7604899767320603e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21acjcsyh
2459504.6768981,1,1750176892815,19.27829933166504,/ztf/archive/sci/2021/1017/176898/ztf_20211017176898_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1750,28,762,26.144100189208984,1.3537600352719892e-05,0.038507599383592606,-0.026766499504446983,3.049870065297e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21acjcsyh
2459510.6725231,2,1756172522815,15.607199668884277,/ztf/archive/sci/2021/1023/172512/ztf_20211023172512_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1756,28,762,23.513900756835938,0.01244870014488697,0.11821699887514114,0.21809400618076324,0.029002299532294273,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21acjcsyh
2459517.6606481,1,1763160642815,19.897199630737305,/ztf/archive/sci/2021/1030/160579/ztf_20211030160579_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1763,28,762,26.101499557495117,8.263150448328815e-06,0.033300500363111496,-0.021543599665164948,1.5747000361443497e-05,t17_f5_c3,1.763160642815015e+18,t,2.0,1361.8699951171875,1070.52001953125,250.2248755,47.3012577,17.888500213623047,0.06488200277090073,8.063630104064941,17.98390007019043,0.07169999927282333,0.9601430296897888,19.523000717163086,0.125,2.6679999828338623,0.2879999876022339,0.5504699945449829,0.09536900371313095,2.1500000953674316,0.984000027179718,1070.52001953125,1.913349986076355,1.1308499574661255,0.7260000109672546,0.6439999938011169,0.33767399191856384,0.29953500628471375,1.12732994556427,1.0,0.0,0.9571430087089539,1.0,17.935300827026367,0.0868000015616417,250.2251296,47.3014659,26.0261,ZTF21acjcsyh
2459521.6198843,1,1767119882815,20.0393009185791,/ztf/archive/sci/2021/1103/119873/ztf_20211103119873_000762_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1767,28,762,26.219499588012695,8.134999916364904e-06,0.03324289992451668,-0.04969409853219986,1.5065000297909137e-05,t17_f5_c3,1.767119882815015e+18,t,3.0,1379.2900390625,1135.3800048828125,250.224927,47.3012566,18.034500122070312,0.06533599644899368,4.510779857635498,18.039400100708008,0.059300001710653305,0.8902270197868347,19.523000717163086,0.125,2.6679999828338623,0.2879999876022339,0.6419219970703125,0.004939999897032976,2.4700000286102295,0.9860000014305115,1135.3800048828125,1.999899983406067,1.1219600439071655,0.8339999914169312,0.7990000247955322,0.3376519978046417,0.3234820067882538,1.0438100099563599,0.0,0.0,0.9685710072517395,1.0,18.037399291992188,0.07429999858140945,250.2251296,47.3014659,25.0565,ZTF21acjcsyh
2459521.6409722,2,1767140972815,19.822500228881836,/ztf/archive/sci/2021/1103/140891/ztf_20211103140891_000762_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1767,28,762,26.248699188232422,5.579639946518e-06,0.028073500841856003,0.11917400360107422,9.757680345501285e-06,t17_f5_c3,1.767140972815015e+18,t,1.0,1372.760009765625,1117.47998046875,250.224949,47.3012496,18.11669921875,0.09294600039720535,6.801680088043213,18.28730010986328,0.09489999711513519,0.9350389838218689,18.69300079345703,0.14900000393390656,2.8399999141693115,0.18700000643730164,0.6723229885101318,0.17060600221157074,2.390000104904175,0.9829999804496765,1117.47998046875,1.5351899862289429,1.109820008277893,0.7229999899864197,0.6549999713897705,0.30250999331474304,0.274058997631073,1.1038199663162231,5.0,0.0,0.9071429967880249,0.9002419710159302,18.231300354003906,0.11339999735355377,250.2249574,47.3015108,9.49313,ZTF21acjcsyh
