jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2459623.6325463,2,1869132543715,19.81760025024414,/ztf/archive/sci/2022/0213/132535/ztf_20220213132535_000351_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1.869132543715015e+18,t,0.0,1869,37,351,2335.81005859375,1653.280029296875,47.7989495,-8.4695326,18.468399047851562,0.06793799996376038,2.002190113067627,18.53890037536621,0.13009999692440033,2.6345601081848145,19.099000930786133,0.1080000028014183,5.861999988555908,0.6010000109672546,-0.32127299904823303,0.0704599991440773,1.9299999475479126,0.9929999709129333,736.68798828125,1.2786699533462524,1.2159299850463867,0.6489999890327454,0.6119999885559082,0.33626899123191833,0.3170979917049408,1.0604599714279175,6.0,0.0,0.951429009437561,0.9576960206031799,18.53849983215332,0.16599999368190765,47.7989643,-8.4687917,22.9096,26.275400161743164,1.4944799659133423e-05,0.028296099975705147,0.11697299778461456,2.0409499484230764e-05,t17_f5_c3,ZTF21aclcfej
2459623.6551852,1,1869155183715,19.435400009155273,/ztf/archive/sci/2022/0213/155174/ztf_20220213155174_000351_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1.869155183715015e+18,t,0.0,1869,37,351,2350.739990234375,1646.8199462890625,47.7989969,-8.4695869,19.65719985961914,0.2394070029258728,0.7955710291862488,19.64940071105957,0.435699999332428,2.337100028991699,19.836999893188477,0.12399999797344208,6.611999988555908,0.5149999856948853,0.0919250026345253,-0.007814000360667706,3.4000000953674316,0.9890000224113464,721.760009765625,-0.21399399638175964,0.8015509843826294,0.8270000219345093,0.7559999823570251,0.2432350069284439,0.222352996468544,1.0939099788665771,4.0,0.0,0.8299999833106995,0.9982680082321167,19.574399948120117,0.5217000246047974,47.7994548,-8.4691091,7.21987,26.207199096679688,3.7933899875497445e-05,0.040904801338911057,-0.04275219887495041,6.722150283167139e-05,t17_f5_c3,ZTF21aclcfej
2459503.8608449,2,1749360843715,19.747499465942383,/ztf/archive/sci/2021/1016/360833/ztf_20211016360833_000351_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1749,37,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.238500595092773,1.9027100279345177e-05,0.03215010091662407,0.13589300215244293,2.596580088720657e-05,t17_f5_c3,ZTF21aclcfej
2459509.7673611,2,1755267363715,19.306400299072266,/ztf/archive/sci/2021/1022/267361/ztf_20211022267361_000351_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1755,37,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.236099243164062,4.56788984593004e-05,0.04921460151672363,0.13678599894046783,6.246569682843983e-05,t17_f5_c3,ZTF21aclcfej
2459511.8595255,1,1757359523715,18.476699829101562,/ztf/archive/sci/2021/1024/359525/ztf_20211024359525_000351_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1757,37,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.704200744628906,0.00019547999545466155,0.06121480092406273,0.0006113779963925481,0.0004607370065059513,t17_f5_c3,ZTF21aclcfej
2459517.7680903,1,1763268093715,20.5669002532959,/ztf/archive/sci/2021/1030/268079/ztf_20211030268079_000351_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1763,37,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.22260093688965,1.622829950065352e-05,0.029209500178694725,-0.06520000100135803,2.247439988423139e-05,t17_f5_c3,ZTF21aclcfej
2459517.8357755,2,1763335773715,20.44890022277832,/ztf/archive/sci/2021/1030/335729/ztf_20211030335729_000351_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1763,37,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.274099349975586,1.4466500033449847e-05,0.027687199413776398,0.12217800319194794,1.9707800674950704e-05,t17_f5_c3,ZTF21aclcfej
2459521.7790856,2,1767279083715,20.566499710083008,/ztf/archive/sci/2021/1103/279074/ztf_20211103279074_000351_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1767,37,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.266399383544922,1.1405800250940956e-05,0.024683300405740738,0.12408900260925293,1.5579600585624576e-05,t17_f5_c3,ZTF21aclcfej
2459521.8149306,1,1767314933715,20.66069984436035,/ztf/archive/sci/2021/1103/314919/ztf_20211103314919_000351_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1767,37,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.263599395751953,1.3558100363297854e-05,0.02701669931411743,-0.06574620306491852,1.8601100236992352e-05,t17_f5_c3,ZTF21aclcfej
2459523.8300463,1,1769330043715,20.66830062866211,/ztf/archive/sci/2021/1105/330046/ztf_20211105330046_000351_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1.769330043715015e+18,t,3.0,1769,37,351,2339.8701171875,1636.22998046875,47.7989579,-8.469532,18.668699264526367,0.0709490031003952,2.59525990486145,18.67930030822754,0.07010000199079514,2.2976999282836914,19.836999893188477,0.12399999797344208,6.611999988555908,0.5149999856948853,-0.046307001262903214,0.010622999630868435,2.0199999809265137,0.9829999804496765,732.6329956054688,1.9889899492263794,1.1945899724960327,0.6919999718666077,0.6819999814033508,0.34257400035858154,0.3376240134239197,1.0146600008010864,2.0,0.0,0.9557139873504639,0.9879930019378662,18.617799758911133,0.08320000022649765,47.7994548,-8.4691091,29.8184,26.273700714111328,1.601919939275831e-05,0.029128599911928177,-0.07550310343503952,2.1706400730181485e-05,t17_f5_c3,ZTF21aclcfej
