jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2459623.9738889,2,1869473885315,19.754600524902344,/ztf/archive/sci/2022/0213/473877/ztf_20220213473877_000763_zr_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1869473885315015008,t,8,1869,53,763,2110.800048828125,2424.830078125,263.9794675,50.8066083,16.930299758911133,0.04227299988269806,12.049799919128418,16.992000579833984,0.029400000348687172,2.722520112991333,20.954999923706055,0.09600000083446503,1.975000023841858,0.16099999845027924,0.5742859840393066,0.06166199967265129,2.2699999809265137,0.984000027179718,655.6669921875,2.7625999450683594,1.1944199800491333,0.7319999933242798,0.6710000038146973,0.32246699929237366,0.2955949902534485,1.0909099578857422,1,0,0.9385709762573242,1.0,16.995500564575195,0.03720000013709068,263.9806134,50.8063605,40.9933,26.235300064086914,3.4878698897955474e-06,0.023853100836277008,0.08348630368709564,6.196079993969761e-06,t17_f5_c3,ZTF22aaaepgu
2459624.0354514,1,1869535455315,20.243900299072266,/ztf/archive/sci/2022/0213/535440/ztf_20220213535440_000763_zg_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1869535455315015010,t,10,1869,53,763,2111.260009765625,2445.389892578125,263.9794567,50.8066051,16.832300186157227,0.05512600019574165,53.97520065307617,16.850099563598633,0.017000000923871994,1.5407700538635254,21.43400001525879,0.12099999934434891,1.3839999437332153,0.06599999964237213,0.08389099687337875,0.017823999747633934,2.299999952316284,0.984000027179718,635.1110229492188,3.393779993057251,1.2196600437164307,0.781000018119812,0.7379999756813049,0.3395650088787079,0.3208700120449066,1.05826997756958,0,0,0.9399999976158142,1.0,16.845699310302734,0.020899999886751175,263.9800711,50.8064123,84.8815,26.347299575805664,6.010960078128846e-06,0.031063100323081017,-0.09629020094871521,1.0952099728456233e-05,t17_f5_c3,ZTF22aaaepgu
2459625.9543287,2,1871454325315,19.357999801635742,/ztf/archive/sci/2022/0215/454329/ztf_20220215454329_000763_zr_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1871454325315015004,t,4,1871,53,763,2108.3798828125,2424.639892578125,263.9794809,50.8066035,16.971500396728516,0.048973001539707184,14.708900451660156,17.011600494384766,0.039400000125169754,2.680609941482544,20.954999923706055,0.09600000083446503,1.975000023841858,0.16099999845027924,-0.19085100293159485,0.040098000317811966,2.490000009536743,0.9829999804496765,655.8579711914062,2.3464300632476807,1.1665699481964111,0.8360000252723694,0.7789999842643738,0.3357430100440979,0.3128510117530823,1.0731699466705322,0,0,0.9228569865226746,1.0,16.959999084472656,0.04780000075697899,263.9806134,50.8063605,58.6692,26.239500045776367,5.019599939259933e-06,0.028580499812960625,0.08414649963378906,8.930919648264535e-06,t17_f5_c3,ZTF22aaaepgu
2459626.0339815,1,1871533985315,19.24799919128418,/ztf/archive/sci/2022/0215/533970/ztf_20220215533970_000763_zg_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1871533985315015010,t,10,1871,53,763,2107.760009765625,2451.010009765625,263.9794378,50.806578,16.92889976501465,0.0493910014629364,4.619919776916504,16.964099884033203,0.03290000185370445,1.535770058631897,21.43400001525879,0.12099999934434891,1.3839999437332153,0.06599999964237213,0.08580199629068375,0.03516700118780136,3.75,0.9819999933242798,629.4910278320312,2.283869981765747,0.9853780269622803,1.2269999980926514,1.2100000381469727,0.3271999955177307,0.3226670026779175,1.014050006866455,0,0,0.7442860007286072,1.0,16.920700073242188,0.040300000458955765,263.9800711,50.8064123,52.5661,26.357900619506836,1.7144500816357322e-05,0.038141001015901566,-0.05730469897389412,4.3520500184968114e-05,t17_f5_c3,ZTF22aaaepgu
2459628.9729167,2,1874472915315,19.189599990844727,/ztf/archive/sci/2022/0218/472905/ztf_20220218472905_000763_zr_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1874472915315015016,t,16,1874,53,763,2087.409912109375,2426.8701171875,263.9794781,50.8065818,17.136899948120117,0.05112199857831001,4.423089981079102,17.210800170898438,0.0430000014603138,2.6689999103546143,20.954999923706055,0.09600000083446503,1.975000023841858,0.16099999845027924,-0.19918300211429596,0.07389000058174133,3.75,0.9829999804496765,653.6329956054688,1.9787499904632568,0.994903028011322,1.159999966621399,1.1419999599456787,0.3093329966068268,0.3045330047607422,1.0157599449157715,0,0,0.7799999713897705,1.0,17.2362003326416,0.0560000017285347,263.9806134,50.8063605,44.9406,26.24489974975586,1.0442299753776751e-05,0.040152501314878464,0.09047479927539825,1.880389936559368e-05,t17_f5_c3,ZTF22aaaepgu
2459628.9922106,1,1874492215315,19.28190040588379,/ztf/archive/sci/2022/0218/492199/ztf_20220218492199_000763_zg_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1874492215315015018,t,18,1874,53,763,2083.679931640625,2431.89990234375,263.9794652,50.8066019,17.07740020751953,0.048652999103069305,4.423590183258057,17.138399124145508,0.040300000458955765,1.515470027923584,21.43400001525879,0.12099999934434891,1.3839999437332153,0.06599999964237213,-0.11478400230407715,0.06098499894142151,3.180000066757202,0.9829999804496765,648.6010131835938,2.1434900760650635,1.076050043106079,1.0160000324249268,0.9929999709129333,0.3194969892501831,0.31226399540901184,1.0231599807739258,0,0,0.8700000047683716,1.0,17.19409942626953,0.05389999970793724,263.9800711,50.8064123,54.1642,26.332399368286133,1.4726199879078194e-05,0.03852580115199089,-0.06814060360193253,3.6423498386284336e-05,t17_f5_c3,ZTF22aaaepgu
2459630.9466898,1,1876446685315,19.774499893188477,/ztf/archive/sci/2022/0220/446678/ztf_20220220446678_000763_zg_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1876446685315015017,t,17,1876,53,763,2101.830078125,2434.22998046875,263.9794582,50.8066186,17.26140022277832,0.056710001081228256,10.531200408935547,17.364900588989258,0.0414000004529953,1.5544999837875366,21.43400001525879,0.12099999934434891,1.3839999437332153,0.06599999964237213,0.1779949963092804,0.10350699722766876,1.9199999570846558,0.984000027179718,646.2689819335938,2.409559965133667,1.366529941558838,0.6690000295639038,0.6399999856948853,0.34843799471855164,0.33333298563957214,1.0453100204467773,4,0,0.9371430277824402,0.9936169981956482,17.356300354003906,0.05209999904036522,263.9800711,50.8064123,50.6775,26.292400360107422,7.649229701200966e-06,0.03324060142040253,-0.07319699972867966,1.564170088386163e-05,t17_f5_c3,ZTF22aaaepgu
2459631.0127894,2,1876512785315,19.971799850463867,/ztf/archive/sci/2022/0220/512778/ztf_20220220512778_000763_zr_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1876512785315015014,t,14,1876,53,763,2103.820068359375,2452.110107421875,263.9794604,50.806603,17.238000869750977,0.045120999217033386,8.57759952545166,17.304100036621094,0.03319999948143959,2.717900037765503,20.954999923706055,0.09600000083446503,1.975000023841858,0.16099999845027924,0.287445992231369,0.0660960003733635,2.369999885559082,0.984000027179718,628.3870239257812,2.6677498817443848,1.1060400009155273,0.6949999928474426,0.6679999828338623,0.2932490110397339,0.2818570137023926,1.0404200553894043,4,0,0.9385709762573242,0.9954010248184204,17.28459930419922,0.041200000792741776,263.9806134,50.8063605,31.4901,26.280000686645508,2.7256799057795433e-06,0.021112700924277306,0.0751098021864891,4.8304800657206215e-06,t17_f5_c3,ZTF22aaaepgu
2459601.0306134,2,1846530615315,19.509899139404297,/ztf/archive/sci/2022/0121/530579/ztf_20220121530579_000763_zr_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1846530615315015020,t,20,1846,53,763,2100.830078125,2438.909912109375,263.9796006,50.8066548,19.204299926757812,0.1475919932126999,1.0514800548553467,19.572900772094727,0.34130001068115234,2.503999948501587,20.954999923706055,0.09600000083446503,1.975000023841858,0.16099999845027924,-0.4335089921951294,0.3686339855194092,2.7699999809265137,0.9769999980926514,641.593017578125,-0.06301599740982056,1.08719003200531,0.8040000200271606,0.7720000147819519,0.29025301337242126,0.27869999408721924,1.041450023651123,5,0,0.8171430230140686,1.0,19.619400024414062,0.45750001072883606,263.9806134,50.8063605,11.0353,26.2322998046875,6.845869847893482e-06,0.0335536003112793,0.08530709892511368,1.2161100130470004e-05,t17_f5_c3,ZTF22aaaepgu
2459601.051331,1,1846551335315,19.540700912475586,/ztf/archive/sci/2022/0121/551319/ztf_20220121551319_000763_zg_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1846551335315015027,t,27,1846,53,763,2097.929931640625,2452.050048828125,263.9794955,50.8066153,19.07159996032715,0.1441970020532608,1.0507899522781372,19.33769989013672,0.26159998774528503,1.471619963645935,21.43400001525879,0.12099999934434891,1.3839999437332153,0.06599999964237213,0.5964760184288025,0.2660830020904541,3.4000000953674316,0.9779999852180481,628.4459838867188,0.2029860019683838,0.9070680141448975,0.8650000095367432,0.8109999895095825,0.2544119954109192,0.2385289967060089,1.066580057144165,0,0,0.7742859721183777,1.0,19.337900161743164,0.3357999920845032,263.9800711,50.8064123,11.6117,26.29360008239746,1.1735700354620349e-05,0.03786290064454079,-0.039668601006269455,2.70570999418851e-05,t17_f5_c3,ZTF22aaaepgu
