jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459622.7546759,1,1868254674715,19.685300827026367,/ztf/archive/sci/2022/0212/254664/ztf_20220212254664_000464_zg_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1868,47,464,26.37779998779297,4.995520157535793e-06,0.03482760116457939,-0.048979900777339935,1.2472900380089413e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aaaqwar
2459622.8247917,2,1868324794715,19.517799377441406,/ztf/archive/sci/2022/0212/324780/ztf_20220212324780_000464_zr_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1868,47,464,26.358699798583984,3.7667800825147424e-06,0.03272800147533417,0.09431999921798706,8.052379598666448e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aaaqwar
2459624.753287,1,1870253284715,19.306699752807617,/ztf/archive/sci/2022/0214/253275/ztf_20220214253275_000464_zg_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1870,47,464,26.388099670410156,7.087459835020127e-06,0.03836369886994362,-0.043153900653123856,1.9482900825096294e-05,t17_f5_c3,1.870253284715015e+18,t,3.0,2551.840087890625,1605.550048828125,121.2350415,5.0649869,19.557100296020508,0.21178500354290009,0.8825830221176147,19.615800857543945,0.47839999198913574,0.49750399589538574,17.893999099731445,0.08699999749660492,7.456999778747559,0.4050000011920929,-0.00860700011253357,0.058660998940467834,2.5299999713897705,0.972000002861023,520.6610107421875,-0.30907300114631653,1.0899300575256348,0.8840000033378601,0.8180000185966492,0.34940698742866516,0.3233200013637543,1.0806900262832642,5.0,0.0,0.9014289975166321,0.9949589967727661,19.913000106811523,0.8030999898910522,121.2351379,5.0648852,6.25181,ZTF22aaaqwar
2459624.8175463,2,1870317544715,19.529199600219727,/ztf/archive/sci/2022/0214/317535/ztf_20220214317535_000464_zr_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1870,47,464,26.3528995513916,2.417049927316839e-06,0.026196299120783806,0.10257600247859955,5.146259809407638e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aaaqwar
2459627.8053009,1,1873305304715,18.7367000579834,/ztf/archive/sci/2022/0217/305289/ztf_20220217305289_000464_zg_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1873,47,464,26.362300872802734,2.5563700546626933e-05,0.04818199947476387,-0.043365199118852615,8.6251697211992e-05,t17_f5_c3,1.873305304715015e+18,1,3.0,2521.800048828125,1603.06005859375,121.2350989,5.0649752,18.4143009185791,0.142876997590065,0.8152999877929688,18.108800888061523,0.13910000026226044,0.34855198860168457,17.893999099731445,0.08699999749660492,7.456999778747559,0.4050000011920929,-0.9196709990501404,-0.30545100569725037,5.840000152587891,0.9750000238418579,550.7030029296875,0.6279029846191406,0.6814870238304138,1.9320000410079956,1.5640000104904175,0.3308219909667969,0.2678079903125763,1.2352900505065918,0.0,0.0,0.3214290142059326,1.0,17.949800491333008,0.15369999408721924,121.2351379,5.0648852,9.52261,ZTF22aaaqwar
2459627.8053009,1,1873305304715,18.7367000579834,/ztf/archive/sci/2022/0217/305289/ztf_20220217305289_000464_zg_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1873,47,464,26.362300872802734,2.5563700546626933e-05,0.04818199947476387,-0.043365199118852615,8.6251697211992e-05,t17_f5_c3,1.873305304715015e+18,t,3.0,2521.800048828125,1603.06005859375,121.2350989,5.0649752,18.4143009185791,0.142876997590065,0.8152999877929688,18.108800888061523,0.13910000026226044,0.34855198860168457,17.893999099731445,0.08699999749660492,7.456999778747559,0.4050000011920929,-0.9196709990501404,-0.30545100569725037,5.840000152587891,0.9750000238418579,550.7030029296875,0.6279029846191406,0.6814870238304138,1.9320000410079956,1.5640000104904175,0.3308219909667969,0.2678079903125763,1.2352900505065918,0.0,0.0,0.3214290142059326,1.0,17.949800491333008,0.15369999408721924,121.2351379,5.0648852,9.52261,ZTF22aaaqwar
2459627.8398032,2,1873339804715,18.733999252319336,/ztf/archive/sci/2022/0217/339792/ztf_20220217339792_000464_zr_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1873,47,464,26.29949951171875,1.0672800272004679e-05,0.0472646988928318,0.11707299947738647,2.3967799279489554e-05,t17_f5_c3,1.873339804715015e+18,t,6.0,2511.199951171875,1600.0400390625,121.2350809,5.0652249,18.124500274658203,0.11723200231790543,1.0273499488830566,17.930599212646484,0.12290000170469284,1.0265899896621704,17.17300033569336,0.0860000029206276,6.796999931335449,0.6449999809265137,-0.7705900073051453,-0.19389499723911285,5.139999866485596,0.9660000205039978,561.3040161132812,0.8034120202064514,0.7549120187759399,1.4539999961853027,1.312999963760376,0.2828789949417114,0.25544700026512146,1.10739004611969,2.0,0.0,0.5099999904632568,1.0,17.90719985961914,0.15330000221729279,121.235145,5.0649433,10.7824,ZTF22aaaqwar
2459629.8246296,2,1875324624715,19.775999069213867,/ztf/archive/sci/2022/0219/324630/ztf_20220219324630_000464_zr_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1875,47,464,26.349199295043945,2.355049900870654e-06,0.02585970051586628,0.10594400018453598,5.023679932492087e-06,t17_f5_c3,1.875324624715015e+18,t,10.0,2508.5,1624.3900146484375,121.2349911,5.0649568,17.869199752807617,0.07101300358772278,7.327760219573975,17.917499542236328,0.0706000030040741,0.5546460151672363,17.17300033569336,0.0860000029206276,6.796999931335449,0.6449999809265137,0.2169259935617447,0.048294998705387115,2.5199999809265137,0.9869999885559082,563.9990234375,1.8584799766540527,1.0969799757003784,0.828000009059906,0.753000020980835,0.32857099175453186,0.2988100051879883,1.0995999574661255,1.0,0.0,0.9300000071525574,1.0,17.872699737548828,0.08470000326633453,121.235145,5.0649433,29.5098,ZTF22aaaqwar
2459629.8835764,1,1875383574715,18.994600296020508,/ztf/archive/sci/2022/0219/383565/ztf_20220219383565_000464_zg_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1875,47,464,26.285999298095703,1.5845400412217714e-05,0.04199500009417534,-0.030730899423360825,5.1493501814547926e-05,t17_f5_c3,1.875383574715015e+18,t,29.0,2492.7900390625,1606.6700439453125,121.2349647,5.0650359,18.180999755859375,0.11072099953889847,1.1637099981307983,18.005599975585938,0.09969999641180038,0.8146920204162598,17.893999099731445,0.08699999749660492,7.456999778747559,0.4050000011920929,-0.3983210027217865,-0.1754329949617386,4.21999979019165,0.9819999933242798,579.7059936523438,0.9890459775924683,0.9613490104675293,1.6360000371932983,1.5529999732971191,0.38767799735069275,0.3680090010166168,1.053439974784851,0.0,0.0,0.4742859899997711,1.0,17.94339942932129,0.11990000307559967,121.2351379,5.0648852,14.713,ZTF22aaaqwar
2459636.7108218,1,1882210824715,20.60919952392578,/ztf/archive/sci/2022/0226/210810/ztf_20220226210810_000464_zg_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1882,47,464,26.362300872802734,1.995650109165581e-06,0.02396179921925068,-0.08024690300226212,4.225939846946858e-06,t17_f5_c3,1.882210824715015e+18,t,13.0,2505.1298828125,1608.4300537109375,121.2350002,5.0649564,17.66830062866211,0.04265899956226349,17.16080093383789,17.618099212646484,0.03150000050663948,0.5417109727859497,17.893999099731445,0.08699999749660492,7.456999778747559,0.4050000011920929,0.03916899859905243,-0.05018699914216995,2.0,0.9829999804496765,567.3699951171875,2.99111008644104,1.27524995803833,0.7070000171661377,0.6809999942779541,0.35350000858306885,0.34049999713897705,1.0381799936294556,4.0,0.0,0.951429009437561,0.9940230250358582,17.618000030517578,0.03799999877810478,121.2351379,5.0648852,52.3556,ZTF22aaaqwar
