jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459623.0232407,2,1868523241415,20.13719940185547,/ztf/archive/sci/2022/0212/522882/ztf_20220212522882_000627_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1868,14,627,26.107799530029297,1.539369986858219e-05,0.028540100902318954,0.11672700196504593,2.5463699785177596e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aabnzsk
2459623.8120949,1,1869312090315,19.41950035095215,/ztf/archive/sci/2022/0213/312083/ztf_20220213312083_000626_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1869,3,626,26.052900314331055,3.245819971198216e-05,0.039322398602962494,-0.03505240008234978,6.081500032451004e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aabnzsk
2459623.8735069,2,1869373500315,19.872900009155273,/ztf/archive/sci/2022/0213/373472/ztf_20220213373472_000626_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1869,3,626,26.05229949951172,1.825680010369979e-05,0.03137550130486488,0.11690499633550644,2.638119985931553e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aabnzsk
2459624.9020486,2,1870402041415,19.785999298095703,/ztf/archive/sci/2022/0214/402037/ztf_20220214402037_000627_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1870,14,627,26.078500747680664,1.5422800061060116e-05,0.028931299224495888,0.11948200315237045,2.57202991633676e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aabnzsk
2459625.0366782,1,1870536671415,20.090700149536133,/ztf/archive/sci/2022/0214/536667/ztf_20220214536667_000627_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1870,14,627,26.19339942932129,2.3387299734167755e-05,0.03528890013694763,-0.03661290183663368,4.090489892405458e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aabnzsk
2459625.8795139,1,1871379510315,19.325599670410156,/ztf/archive/sci/2022/0215/379502/ztf_20220215379502_000626_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1871,3,626,26.146299362182617,4.472289947443642e-05,0.04236080124974251,-0.016288399696350098,8.541710121789947e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aabnzsk
2459625.9244676,2,1871424460315,19.655799865722656,/ztf/archive/sci/2022/0215/424456/ztf_20220215424456_000626_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1871,3,626,26.104900360107422,2.134200076397974e-05,0.033930301666259766,0.11668399721384048,3.070250022574328e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aabnzsk
2459628.8659144,1,1874365911415,19.28700065612793,/ztf/archive/sci/2022/0218/365903/ztf_20220218365903_000627_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1874,14,627,26.17690086364746,4.9513499106979e-05,0.0463344007730484,-0.04501359909772873,0.00011437400098657236,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aabnzsk
2459628.8844329,1,1874384430315,19.117799758911133,/ztf/archive/sci/2022/0218/384410/ztf_20220218384410_000626_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1874,3,626,26.139999389648438,6.607550312764943e-05,0.04756620153784752,-0.032066598534584045,0.00012414100638125092,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aabnzsk
2459628.9156713,2,1874415670315,19.303800582885742,/ztf/archive/sci/2022/0218/415382/ztf_20220218415382_000626_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1874,3,626,26.07360076904297,3.1874900741968304e-05,0.04134279862046242,0.12567999958992004,4.66878991574049e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aabnzsk
2459628.9296065,2,1874429601415,18.924400329589844,/ztf/archive/sci/2022/0218/429595/ztf_20220218429595_000627_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1874,14,627,26.02750015258789,5.33421007276047e-05,0.050039198249578476,0.10958600044250488,8.704289939487353e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aabnzsk
