jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459673.8777546,2,1919377755615,20.08169937133789,/ztf/archive/sci/2022/0404/377743/ztf_20220404377743_000482_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1919,56,482,26.076000213623047,2.4914600089687156e-06,0.025441400706768036,0.09137000143527985,5.350750143406913e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459673.8782292,2,1919378220315,19.95680046081543,/ztf/archive/sci/2022/0404/378218/ztf_20220404378218_000533_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1919,3,533,25.901100158691406,2.7466899155115243e-06,0.0267558004707098,0.08994170278310776,6.054469849914312e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459673.916875,1,1919416875615,20.097200393676758,/ztf/archive/sci/2022/0404/416863/ztf_20220404416863_000482_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1919,56,482,26.18790054321289,8.249029633589089e-06,0.04234379902482033,-0.037725500762462616,2.0325800505816005e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459673.9193403,1,1919419340315,20.336599349975586,/ztf/archive/sci/2022/0404/419329/ztf_20220404419329_000533_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1919,3,533,26.017099380493164,4.624580014933599e-06,0.034456200897693634,-0.045910999178886414,1.053100004355656e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459675.8943519,1,1921394350315,20.32939910888672,/ztf/archive/sci/2022/0406/394340/ztf_20220406394340_000533_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1921,3,533,26.06760025024414,4.058179911226034e-06,0.03261610120534897,-0.05425800010561943,9.018929631565697e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459675.9199653,2,1921419960315,20.24020004272461,/ztf/archive/sci/2022/0406/419954/ztf_20220406419954_000533_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1921,3,533,26.013999938964844,1.8631000102686812e-06,0.022001899778842926,0.08653180301189423,4.112469923711615e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459675.9204514,2,1921420455615,20.38290023803711,/ztf/archive/sci/2022/0406/420440/ztf_20220406420440_000482_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1921,56,482,26.201200485229492,1.6739800230425317e-06,0.020797599107027054,0.07722560316324234,3.5921300423069624e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459677.9015741,2,1923401575615,20.14349937438965,/ztf/archive/sci/2022/0408/401528/ztf_20220408401528_000482_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1923,56,482,26.20319938659668,1.6297899492201395e-06,0.020530499517917633,0.08490519970655441,3.473390052022296e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459677.9020486,2,1923402040315,20.04640007019043,/ztf/archive/sci/2022/0408/402037/ztf_20220408402037_000533_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1923,3,533,26.014699935913086,2.3743700694467407e-06,0.024821599945425987,0.09231220185756683,5.2206501095497515e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459677.9785069,1,1923478500315,20.207799911499023,/ztf/archive/sci/2022/0408/478495/ztf_20220408478495_000533_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1923,3,533,26.119300842285156,4.465910024009645e-06,0.03387109935283661,-0.06393499672412872,9.969940037990455e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459677.9789815,1,1923478985615,20.305500030517578,/ztf/archive/sci/2022/0408/478970/ztf_20220408478970_000482_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1923,56,482,26.31399917602539,3.748479912246694e-06,0.030561499297618866,-0.04939170181751251,8.289400284411386e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459679.7960185,1,1925296010315,19.4689998626709,/ztf/archive/sci/2022/0410/295984/ztf_20220410295984_000533_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1925,3,533,25.93869972229004,9.024810424307361e-06,0.0422234982252121,-0.026455199345946312,2.4627699531265534e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459679.8332755,1,1925333275615,19.95330047607422,/ztf/archive/sci/2022/0410/333264/ztf_20220410333264_000482_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1925,56,482,26.24489974975586,4.870350039709592e-06,0.034390099346637726,-0.048927199095487595,1.1123200238216668e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459679.8740509,2,1925374055615,20.252300262451172,/ztf/archive/sci/2022/0410/374039/ztf_20220410374039_000482_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1925,56,482,26.21540069580078,1.5662200212318567e-06,0.02023090049624443,0.08499760180711746,3.3323799470963422e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459679.8814352,2,1925381430315,20.058900833129883,/ztf/archive/sci/2022/0410/381424/ztf_20220410381424_000533_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1925,3,533,26.032400131225586,2.650969918249757e-06,0.02623699977993965,0.09371110051870346,5.8335399444331415e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459683.8921991,2,1929392195615,19.824499130249023,/ztf/archive/sci/2022/0414/392153/ztf_20220414392153_000482_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1929,56,482,26.2283992767334,2.042700089077698e-06,0.02310759946703911,0.08139000087976456,4.3952900341537315e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459683.8980093,2,1929398000315,19.7052001953125,/ztf/archive/sci/2022/0414/397998/ztf_20220414397998_000533_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1929,3,533,26.051599502563477,2.9623299724335084e-06,0.027949899435043335,0.0867478996515274,6.528260200866498e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459683.9579977,1,1929457990315,19.68239974975586,/ztf/archive/sci/2022/0414/457998/ztf_20220414457998_000533_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1929,3,533,26.177799224853516,9.663350283517502e-06,0.045392900705337524,-0.07920049875974655,2.501989911252167e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459685.8531597,2,1931353155615,19.255599975585938,/ztf/archive/sci/2022/0416/353160/ztf_20220416353160_000482_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1931,56,482,26.240100860595703,4.804329819307895e-06,0.03525169938802719,0.09044139832258224,1.0264599950460251e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459685.8536343,2,1931353630315,19.108800888061523,/ztf/archive/sci/2022/0416/353634/ztf_20220416353634_000533_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1931,3,533,26.051700592041016,4.784410066349665e-06,0.035139501094818115,0.08804350346326828,1.0472000212757848e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459685.895162,1,1931395160315,18.902299880981445,/ztf/archive/sci/2022/0416/395150/ztf_20220416395150_000533_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1931,3,533,26.157499313354492,1.7043899788404815e-05,0.042849600315093994,-0.052240900695323944,5.345989848137833e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459685.895625,1,1931395625615,19.04400062561035,/ztf/archive/sci/2022/0416/395625/ztf_20220416395625_000482_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1931,56,482,26.347999572753906,1.3512700206774753e-05,0.040384501218795776,-0.041334498673677444,3.836410178337246e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459688.9089468,1,1934408940315,16.552200317382812,/ztf/archive/sci/2022/0419/408924/ztf_20220419408924_000533_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1934,3,533,24.081600189208984,0.002077900106087327,0.08229610323905945,-0.12489199638366699,0.006831139791756868,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459689.9196528,2,1935419655615,19.191299438476562,/ztf/archive/sci/2022/0420/419641/ztf_20220420419641_000482_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1935,56,482,26.219600677490234,7.873740287323017e-06,0.04255430027842522,0.09357669949531555,1.6728499758755788e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459693.8322569,2,1939332255615,20.157899856567383,/ztf/archive/sci/2022/0424/332245/ztf_20220424332245_000482_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1939,56,482,26.142099380493164,2.0205300188536057e-06,0.022972900420427322,0.09037510305643082,4.322640052123461e-06,t17_f5_c3,1.939332255615015e+18,t,1.0,2246.909912109375,202.5970001220703,246.3213359,8.2474277,18.909099578857422,0.12541399896144867,1.9805699586868286,19.04450035095215,0.1678999960422516,0.6979060173034668,16.084999084472656,0.06599999964237213,5.306000232696533,0.3790000081062317,0.0866359993815422,0.13537399470806122,1.3166699409484863,0.8989999890327454,202.5970001220703,1.113450050354004,2.0,0.7329999804496765,0.6399999856948853,0.5567070245742798,0.4860740005970001,1.1453100442886353,3.0,0.0,0.9342859983444214,0.982558012008667,19.111400604248047,0.2151000052690506,246.3211587,8.247516,7.39526,ZTF22aahieds
2459693.9364583,1,1939436450315,20.074899673461914,/ztf/archive/sci/2022/0424/436447/ztf_20220424436447_000533_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1939,3,533,26.069900512695312,6.930989911779761e-06,0.0410006009042263,-0.05506319925189018,1.642260031076148e-05,t17_f5_c3,1.939436450315015e+18,t,11.0,1439.6500244140625,2225.280029296875,246.3211879,8.2475824,19.340900421142578,0.15498700737953186,1.2122299671173096,19.140899658203125,0.14730000495910645,0.2146649956703186,17.075000762939453,0.04899999871850014,4.204999923706055,0.2070000022649765,-0.21774299442768097,-0.19999800622463226,1.6450599431991577,0.6110000014305115,855.2230224609375,0.9339860081672668,2.0,0.9200000166893005,0.8410000205039978,0.559249997138977,0.5112280249595642,1.093940019607544,1.0,0.0,0.9571430087089539,1.0,19.17009925842285,0.18559999763965607,246.3211978,8.2475217,9.17176,ZTF22aahieds
2459693.9556713,1,1939455675615,20.160200119018555,/ztf/archive/sci/2022/0424/455671/ztf_20220424455671_000482_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1939,56,482,26.272600173950195,4.165890004514949e-06,0.03200079873204231,-0.05416309833526611,9.466760275245178e-06,t17_f5_c3,1.939455675615015e+18,t,3.0,2252.1201171875,214.3679962158203,246.3213062,8.2474564,19.13559913635254,0.1319199949502945,1.0384900569915771,18.926000595092773,0.11490000039339066,0.5284609794616699,17.076000213623047,0.05299999937415123,4.497000217437744,0.23600000143051147,-0.22592300176620483,-0.2096090018749237,3.319999933242798,0.7200000286102295,214.3679962158203,1.234179973602295,0.9454330205917358,1.2430000305175781,1.0470000505447388,0.37439799308776855,0.31536099314689636,1.1871999502182007,1.0,0.0,0.8657140135765076,1.0,18.854900360107422,0.1324000060558319,246.3211691,8.2475208,9.57251,ZTF22aahieds
2459695.8986227,2,1941398620315,17.610700607299805,/ztf/archive/sci/2022/0426/398368/ztf_20220426398368_000533_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1941,3,533,23.90329933166504,2.2868000087328255e-05,0.050230398774147034,0.09131529927253723,5.706360025214963e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aahieds
2459696.8423264,1,1942342325615,20.408899307250977,/ztf/archive/sci/2022/0427/342315/ztf_20220427342315_000482_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1942,56,482,26.30780029296875,4.521460141404532e-06,0.033777300268411636,-0.07177489995956421,9.951450010703411e-06,t17_f5_c3,1.942342325615015e+18,t,2.0,2260.409912109375,196.4600067138672,246.3212034,8.2474338,18.696800231933594,0.11016300320625305,2.115449905395508,18.52560043334961,0.06520000100135803,0.3266359865665436,17.076000213623047,0.05299999937415123,4.497000217437744,0.23600000143051147,-0.36304599046707153,-0.17118799686431885,4.809999942779541,0.972000002861023,196.4600067138672,1.8833099603652954,0.6997979879379272,1.1779999732971191,1.0850000381469727,0.2449059933423996,0.22557200491428375,1.085710048675537,1.0,0.0,0.8342859745025635,1.0,18.442100524902344,0.07249999791383743,246.3211691,8.2475208,17.143,ZTF22aahieds
2459696.9440856,2,1942444085615,20.465299606323242,/ztf/archive/sci/2022/0427/444062/ztf_20220427444062_000482_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1942,56,482,26.222999572753906,1.42353997034661e-06,0.019160600379109383,0.08694169670343399,3.0524199701176258e-06,t17_f5_c3,1.942444085615015e+18,t,1.0,2277.25,204.58099365234375,246.3212147,8.2474192,18.41200065612793,0.09856099635362625,3.5477099418640137,18.514400482177734,0.08720000088214874,0.4115009903907776,16.084999084472656,0.06599999964237213,5.306000232696533,0.3790000081062317,-0.32661399245262146,0.10239599645137787,2.3299999237060547,0.9950000047683716,204.58099365234375,1.9508999586105347,1.1363500356674194,0.7450000047683716,0.7120000123977661,0.31974199414253235,0.3055790066719055,1.0463500022888184,2.0,0.0,0.9642860293388367,1.0,18.498699188232422,0.10109999775886536,246.3211587,8.247516,10.6033,ZTF22aahieds
2459697.876713,2,1943376710315,19.19339942932129,/ztf/archive/sci/2022/0428/376713/ztf_20220428376713_000533_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1943,3,533,24.896400451660156,5.057339876657352e-06,0.03630169853568077,0.08845009654760361,1.1104700206487905e-05,t17_f5_c3,1.943376710315015e+18,t,26.0,1453.8399658203125,2217.6201171875,246.321187,8.2474112,18.619400024414062,0.2003459930419922,1.3130500316619873,18.788400650024414,0.3034000098705292,0.328014999628067,16.115999221801758,0.06800000369548798,5.330999851226807,0.6209999918937683,0.03774299845099449,0.1690180003643036,1.2489800453186035,0.8640000224113464,862.8839721679688,0.40504100918769836,2.0,0.7549999952316284,0.5730000138282776,0.6044939756393433,0.45877501368522644,1.3176300525665283,7.0,0.0,0.7400000095367432,0.9688100218772888,19.183300018310547,0.5396000146865845,246.3211765,8.2475008,5.61305,ZTF22aahieds
2459697.936794,1,1943436790315,20.711700439453125,/ztf/archive/sci/2022/0428/436794/ztf_20220428436794_000533_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1943,3,533,26.109100341796875,4.040410203742795e-06,0.03247179836034775,-0.0799395963549614,8.893560334399808e-06,t17_f5_c3,1.943436790315015e+18,t,10.0,1445.3199462890625,2214.679931640625,246.321145,8.2474734,18.651100158691406,0.0835070013999939,2.5810298919677734,18.66069984436035,0.0737999975681305,0.24402399361133575,17.075000762939453,0.04899999871850014,4.204999923706055,0.2070000022649765,-0.0017529999604448676,0.009604999795556068,2.4600000381469727,0.7509999871253967,865.822998046875,2.0510098934173584,1.1302200555801392,0.7960000038146973,0.7200000286102295,0.32357698678970337,0.2926830053329468,1.1055599451065063,1.0,0.0,0.9557139873504639,1.0,18.668100357055664,0.0877000018954277,246.3211978,8.2475217,12.6078,ZTF22aahieds
2459698.8993981,2,1944399395615,20.185400009155273,/ztf/archive/sci/2022/0429/399398/ztf_20220429399398_000482_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1944,56,482,26.173599243164062,1.912640072987415e-06,0.022272400557994843,0.0885154977440834,4.112720034754602e-06,t17_f5_c3,1.944399395615015e+18,t,2.0,2260.800048828125,220.43499755859375,246.3212493,8.2474632,18.353599548339844,0.0953340008854866,2.107300043106079,18.351900100708008,0.08089999854564667,0.3757320046424866,16.084999084472656,0.06599999964237213,5.306000232696533,0.3790000081062317,0.0221560001373291,-0.0017170000355690718,2.890000104904175,0.8820000290870667,220.43499755859375,1.8335299491882324,1.0471099615097046,0.9810000061988831,0.8889999985694885,0.3394460082054138,0.30761200189590454,1.1034899950027466,2.0,0.0,0.9371430277824402,1.0,18.311599731445312,0.09269999712705612,246.3211587,8.247516,8.4798,ZTF22aahieds
2459698.9368171,1,1944436815615,20.627399444580078,/ztf/archive/sci/2022/0429/436817/ztf_20220429436817_000482_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1944,56,482,26.242300033569336,3.4436400255799526e-06,0.02984759956598282,-0.06335250288248062,7.4421000135771465e-06,t17_f5_c3,1.944436815615015e+18,t,5.0,2257.929931640625,212.91799926757812,246.3211945,8.2474838,18.437299728393555,0.06312199681997299,1.6541600227355957,18.43280029296875,0.060600001364946365,0.15753799676895142,17.076000213623047,0.05299999937415123,4.497000217437744,0.23600000143051147,-0.0264699999243021,-0.0045380000956356525,2.440000057220459,0.9810000061988831,212.91799926757812,2.194610118865967,1.1404099464416504,0.8550000190734863,0.8389999866485596,0.35041001439094543,0.3438520133495331,1.019070029258728,2.0,0.0,0.9599999785423279,1.0,18.425800323486328,0.07180000096559525,246.3211691,8.2475208,15.6639,ZTF22aahieds
2459700.8752894,1,1946375285615,20.713899612426758,/ztf/archive/sci/2022/0501/375278/ztf_20220501375278_000482_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1946,56,482,26.299999237060547,2.765729959719465e-06,0.026797199621796608,-0.06379450112581253,5.926070116402116e-06,t17_f5_c3,1.946375285615015e+18,t,0.0,2256.6201171875,195.32200622558594,246.3211977,8.2474585,18.39900016784668,0.08213800191879272,4.832520008087158,18.31679916381836,0.05490000173449516,0.24305200576782227,17.076000213623047,0.05299999937415123,4.497000217437744,0.23600000143051147,0.06005199998617172,-0.08223100006580353,2.2200000286102295,0.9909999966621399,195.32200622558594,2.397089958190918,1.1320199966430664,0.8149999976158142,0.7720000147819519,0.3671169877052307,0.3477480113506317,1.0556999444961548,1.0,0.0,0.9642860293388367,1.0,18.30620002746582,0.0649000033736229,246.3211691,8.2475208,16.5663,ZTF22aahieds
