jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460032.8293056,1,2278329305515,19.81410026550293,/ztf/archive/sci/2023/0329/329294/ztf_20230329329294_000480_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2278,55,480,26.232799530029297,1.4641799680248369e-05,0.03563209995627403,-0.024202199652791023,3.452660166658461e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aajigho
2460032.8810185,2,2278381015515,20.216899871826172,/ztf/archive/sci/2023/0329/381007/ztf_20230329381007_000480_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2278,55,480,26.23590087890625,4.8063197937153745e-06,0.02185790054500103,0.10921700298786163,9.437039807380643e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aajigho
2460036.8816782,3,2282381675515,19.59440040588379,/ztf/archive/sci/2023/0402/381667/ztf_20230402381667_000480_zi_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2282,55,480,25.57699966430664,2.1129199012648314e-06,0.021860800683498383,0.1869010031223297,1.3458799912768882e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aajigho
2460044.847963,1,2290347965515,19.86090087890625,/ztf/archive/sci/2023/0410/347963/ztf_20230410347963_000480_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2290,55,480,26.2992000579834,1.1197899766557384e-05,0.031652599573135376,-0.02624789997935295,2.5076000383705832e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aajigho
2460044.8970833,2,2290397085515,19.96500015258789,/ztf/archive/sci/2023/0410/397083/ztf_20230410397083_000480_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2290,55,480,26.253599166870117,5.683480139850872e-06,0.023799700662493706,0.10419599711894989,1.1181000445503742e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aajigho
2460045.9827894,3,2291482785515,19.72410011291504,/ztf/archive/sci/2023/0411/482766/ztf_20230411482766_000480_zi_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2291,55,480,25.58329963684082,2.732539996941341e-06,0.02502340078353882,0.1841830015182495,1.7198299246956594e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aajigho
2460046.950081,1,2292450083015,17.990100860595703,/ztf/archive/sci/2023/0412/450000/ztf_20230412450000_001527_zg_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2292,30,1527,24.43560028076172,0.000408961990615353,0.09843940287828445,-0.05526819825172424,0.0012416699901223183,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aajigho
2460049.8966319,3,2295396635515,19.681699752807617,/ztf/archive/sci/2023/0415/396424/ztf_20230415396424_000480_zi_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2295,55,480,25.526899337768555,2.8619199383683736e-06,0.025258399546146393,0.1929759979248047,1.7824599126470275e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aajigho
2460049.9221181,2,2295422115515,20.44499969482422,/ztf/archive/sci/2023/0415/422118/ztf_20230415422118_000480_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2295,55,480,26.189699172973633,5.311630047799554e-06,0.023095399141311646,0.10478899627923965,1.0413100426376332e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aajigho
2460049.9776736,1,2295477673015,20.54360008239746,/ztf/archive/sci/2023/0415/477662/ztf_20230415477662_001527_zg_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2295,30,1527,26.195499420166016,5.415859959612135e-06,0.023940900340676308,-0.07433050125837326,1.0016799933509901e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aajigho
2460049.9781481,1,2295478143015,20.541900634765625,/ztf/archive/sci/2023/0415/478137/ztf_20230415478137_001527_zg_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,3,2295,30,1527,26.18899917602539,6.081920219003223e-06,0.025391699746251106,-0.06465990096330643,1.125899962062249e-05,t17_f5_c3,2.29547814301501e+18,f,5.0,293.6109924316406,1516.68994140625,234.7825547,6.7761068,20.06800079345703,0.15261200070381165,1.4398900270462036,19.918399810791016,0.23569999635219574,0.12633100152015686,18.461000442504883,0.041999999433755875,2.8589999675750732,0.2639999985694885,-0.17220400273799896,-0.14959900081157684,2.25,0.9309999942779541,293.6109924316406,0.6235169768333435,1.0689799785614014,0.6190000176429749,0.5740000009536743,0.27511098980903625,0.2551110088825226,1.0784000158309937,6.0,0.0,0.947143018245697,0.9574819803237915,19.66069984436035,0.2363000065088272,234.7825709,6.7761385,10.5061,ZTF22aajigho
2460051.874213,1,2297374215515,20.802900314331055,/ztf/archive/sci/2023/0417/374201/ztf_20230417374201_000480_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2297,55,480,26.316099166870117,8.060809705057181e-06,0.028394300490617752,-0.04130439832806587,1.597809932718519e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aajigho
2460051.9058796,2,2297405875515,20.531200408935547,/ztf/archive/sci/2023/0417/405880/ztf_20230417405880_000480_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2297,55,480,26.252599716186523,5.217239959165454e-06,0.022778600454330444,0.10500899702310562,1.0280499736836646e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aajigho
2460053.8602083,1,2299360205515,19.789199829101562,/ztf/archive/sci/2023/0419/360208/ztf_20230419360208_000480_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2299,55,480,26.30820083618164,2.116819996444974e-05,0.03848959878087044,-0.023736000061035156,5.627530117635615e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aajigho
