jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460032.9404977,2,2278440490915,20.555099487304688,/ztf/archive/sci/2023/0329/440486/ztf_20230329440486_000484_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2278,9,484,26.25079917907715,2.003459940169705e-06,0.014604699797928333,0.07674050331115723,4.607139999279752e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460032.9778472,1,2278477840915,19.02549934387207,/ztf/archive/sci/2023/0329/477836/ztf_20230329477836_000484_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2278,9,484,25.020299911499023,2.6841000362765044e-05,0.047854699194431305,-0.06621690094470978,6.314789789030328e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460042.8974421,1,2288397440915,19.18589973449707,/ztf/archive/sci/2023/0408/397419/ztf_20230408397419_000484_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2288,9,484,26.242799758911133,1.0919899978034664e-05,0.03384919837117195,-0.08575809746980667,2.5166800696752034e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460042.9390509,2,2288439050915,19.70159912109375,/ztf/archive/sci/2023/0408/439028/ztf_20230408439028_000484_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2288,9,484,26.258800506591797,2.6018099106295267e-06,0.01661130040884018,0.07070810347795486,5.988460088701686e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460044.9179514,2,2290417950915,20.053600311279297,/ztf/archive/sci/2023/0410/417407/ztf_20230410417407_000484_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2290,9,484,26.274799346923828,2.703380005186773e-06,0.016802700236439705,0.07175339758396149,6.211640084075043e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460046.878912,2,2292378910915,20.183500289916992,/ztf/archive/sci/2023/0412/378889/ztf_20230412378889_000484_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2292,9,484,26.127599716186523,2.70421992354386e-06,0.01675410009920597,0.07278499752283096,6.234649845282547e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460046.9596412,1,2292459640915,18.114200592041016,/ztf/archive/sci/2023/0412/459618/ztf_20230412459618_000484_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2292,9,484,24.823200225830078,5.029989915783517e-05,0.04907499998807907,-0.08523309975862503,0.00012016700202366337,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460051.9243981,2,2297424390915,20.584299087524414,/ztf/archive/sci/2023/0417/424398/ztf_20230417424398_000484_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2297,9,484,26.294200897216797,1.7572000388099696e-06,0.013635699637234211,0.06724820286035538,4.041989996039774e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460051.9638657,1,2297463860915,20.773799896240234,/ztf/archive/sci/2023/0417/463866/ztf_20230417463866_000484_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2297,9,484,26.38089942932129,2.5626400201872457e-06,0.016271399334073067,-0.08435569703578949,5.9242602219455875e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460054.898831,2,2300398830915,20.392200469970703,/ztf/archive/sci/2023/0420/398831/ztf_20230420398831_000484_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2300,9,484,26.264400482177734,2.1026201011409285e-06,0.014956099912524223,0.06956619769334793,4.831640126212733e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460054.9189468,1,2300418940915,20.32430076599121,/ztf/archive/sci/2023/0420/418854/ztf_20230420418854_000484_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2300,9,484,26.37529945373535,3.996929990535136e-06,0.020606299862265587,-0.10805699974298477,9.169680197373964e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460056.9189815,1,2302418980915,20.331199645996094,/ztf/archive/sci/2023/0422/418877/ztf_20230422418877_000484_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2302,9,484,26.403600692749023,3.912799911631737e-06,0.020269399508833885,-0.13436800241470337,9.005209903989453e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460056.9610301,2,2302461030915,20.439699172973633,/ztf/archive/sci/2023/0422/461030/ztf_20230422461030_000484_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2302,9,484,26.294300079345703,2.058100108115468e-06,0.014743699692189693,0.060453999787569046,4.73752015750506e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460058.9185301,2,2304418530915,20.542200088500977,/ztf/archive/sci/2023/0424/418252/ztf_20230424418252_000484_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2304,9,484,26.180700302124023,1.7521899735584157e-06,0.013668499886989594,0.07374429702758789,4.022770099254558e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460058.9611574,1,2304461150915,20.240699768066406,/ztf/archive/sci/2023/0424/461157/ztf_20230424461157_000484_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2304,9,484,25.981800079345703,2.6637799237505533e-05,0.052849698811769485,-0.037735700607299805,6.136950105428696e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460060.9191551,1,2306419150915,20.486299514770508,/ztf/archive/sci/2023/0426/419155/ztf_20230426419155_000484_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2306,9,484,26.298099517822266,3.1699000828666613e-06,0.018268799409270287,-0.0756727010011673,7.264609848789405e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460060.9560069,2,2306456000915,20.510000228881836,/ztf/archive/sci/2023/0426/456007/ztf_20230426456007_000484_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2306,9,484,26.231000900268555,1.7885299712361302e-06,0.013782399706542492,0.07455810159444809,4.099780198885128e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460062.8958102,2,2308395814415,20.568599700927734,/ztf/archive/sci/2023/0428/395799/ztf_20230428395799_001478_zr_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2308,44,1478,26.333099365234375,1.838830030465033e-06,0.01403059996664524,0.07736600190401077,4.222570169076789e-06,t17_f5_c3,2.30839581441501e+18,0,0.0,2226.6201171875,975.2269897460938,259.3575195,2.5209605,20.39109992980957,0.2133300006389618,1.49127995967865,20.45400047302246,0.38019999861717224,0.2772189974784851,19.55900001525879,0.08900000154972076,3.0429999828338623,0.335999995470047,-0.29831400513648987,0.06292399764060974,2.9100000858306885,0.9879999756813049,845.8779907226562,0.11460799723863602,0.8092089891433716,0.7590000033378601,0.4740000069141388,0.2608250081539154,0.16288700699806213,1.6012699604034424,8.0,0.0,0.5400000214576721,0.8723270297050476,20.448699951171875,0.48260000348091125,259.3575053,2.5210355,6.88749,ZTF22aambeqv
2460062.8927894,2,2308392780915,20.436800003051758,/ztf/archive/sci/2023/0428/392512/ztf_20230428392512_000484_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2308,9,484,26.255699157714844,2.0021500404254766e-06,0.014559900388121605,0.062171999365091324,4.593489848048193e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22aambeqv
2460062.8958102,2,2308395814415,20.568599700927734,/ztf/archive/sci/2023/0428/395799/ztf_20230428395799_001478_zr_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2308,44,1478,26.333099365234375,1.838830030465033e-06,0.01403059996664524,0.07736600190401077,4.222570169076789e-06,t17_f5_c3,2.30839581441501e+18,f,0.0,2226.6201171875,975.2269897460938,259.3575195,2.5209605,20.39109992980957,0.2133300006389618,1.49127995967865,20.45400047302246,0.38019999861717224,0.2772189974784851,19.55900001525879,0.08900000154972076,3.0429999828338623,0.335999995470047,-0.29831400513648987,0.06292399764060974,2.9100000858306885,0.9879999756813049,845.8779907226562,0.11460799723863602,0.8092089891433716,0.7590000033378601,0.4740000069141388,0.2608250081539154,0.16288700699806213,1.6012699604034424,8.0,0.0,0.5400000214576721,0.8723270297050476,20.448699951171875,0.48260000348091125,259.3575053,2.5210355,6.88749,ZTF22aambeqv
