jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2459867.6280208,1,2113128023415,20.734399795532227,/ztf/archive/sci/2022/1015/128021/ztf_20221015128021_000389_zg_c09_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.113128023415015e+18,t,5.0,2113,34,389,340.1570129394531,648.5440063476562,318.6213342,-9.0476319,19.69260025024414,0.21313300728797913,3.8829400539398193,19.597299575805664,0.14980000257492065,1.1710799932479858,20.170000076293945,0.13300000131130219,3.9159998893737793,0.21400000154972076,0.31929200887680054,-0.09532900154590607,5.659999847412109,0.9580000042915344,340.1570129394531,1.1370699405670166,0.46057000756263733,1.090999960899353,0.8799999952316284,0.19275599718093872,0.15547700226306915,1.2397700548171997,1.0,0.0,0.33285701274871826,1.0,19.688199996948242,0.20239999890327454,318.6211577,-9.0473577,9.71922,26.268600463867188,1.2943600268044975e-05,0.039120398461818695,-0.08646590262651443,1.9080500351265073e-05,t17_f5_c3,ZTF22abbausm
2459867.6480671,2,2113148063415,20.462799072265625,/ztf/archive/sci/2022/1015/148009/ztf_20221015148009_000389_zr_c09_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.113148063415015e+18,t,5.0,2113,34,389,359.9930114746094,645.6229858398438,318.6212318,-9.047582,18.649900436401367,0.07090199738740921,5.170730113983154,18.645599365234375,0.08649999648332596,0.8875740170478821,18.66699981689453,0.12399999797344208,6.861000061035156,0.4699999988079071,-0.288798987865448,-0.004308000206947327,2.630000114440918,0.9829999804496765,359.9930114746094,1.8171700239181519,0.9293860197067261,0.7639999985694885,0.7329999804496765,0.29049399495124817,0.27870699763298035,1.0422899723052979,1.0,0.0,0.9385709762573242,1.0,18.7947998046875,0.12269999831914902,318.6210136,-9.0477189,15.4151,26.307899475097656,4.209080088912742e-06,0.02219419926404953,0.10201200097799301,6.150979970698245e-06,t17_f5_c3,ZTF22abbausm
2459870.6303819,1,2116130383415,20.221099853515625,/ztf/archive/sci/2022/1018/130220/ztf_20221018130220_000389_zg_c09_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2116,34,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.282499313354492,1.327399968431564e-05,0.0373087003827095,-0.0504596009850502,2.0105100702494383e-05,t17_f5_c3,ZTF22abbausm
2459873.6643403,2,2119164343415,20.076400756835938,/ztf/archive/sci/2022/1021/164340/ztf_20221021164340_000389_zr_c09_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.119164343415015e+18,t,5.0,2119,34,389,347.5740051269531,636.2000122070312,318.6212411,-9.0476312,18.796100616455078,0.08920499682426453,2.3458399772644043,18.760400772094727,0.11990000307559967,0.857204020023346,18.66699981689453,0.12399999797344208,6.861000061035156,0.4699999988079071,-0.7208840250968933,-0.035686999559402466,2.390000104904175,0.9829999804496765,347.5740051269531,1.3159600496292114,1.0987999439239502,0.871999979019165,0.796999990940094,0.36485400795936584,0.33347299695014954,1.094099998474121,4.0,0.0,0.9371430277824402,1.0,18.77589988708496,0.1527000069618225,318.6210136,-9.0477189,10.601,26.33009910583496,9.342329576611519e-06,0.03307129815220833,0.10443799942731857,1.3692099855688866e-05,t17_f5_c3,ZTF22abbausm
2459873.6955787,1,2119195573415,20.15719985961914,/ztf/archive/sci/2022/1021/195579/ztf_20221021195579_000389_zg_c09_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.119195573415015e+18,t,5.0,2119,34,389,344.69000244140625,639.5540161132812,318.621199,-9.0476904,20.07740020751953,0.28787699341773987,1.6764299869537354,19.550500869750977,0.2134000062942505,1.1915299892425537,20.170000076293945,0.13300000131130219,3.9159998893737793,0.21400000154972076,0.07413999736309052,-0.5268610119819641,2.3499999046325684,0.8519999980926514,344.69000244140625,0.6067450046539307,1.169510006904602,1.3420000076293945,1.25600004196167,0.5710639953613281,0.5344679951667786,1.0684700012207031,1.0,0.0,0.21285699307918549,1.0,19.414199829101562,0.2387000024318695,318.6211577,-9.0473577,5.31894,26.244400024414062,1.282539960811846e-05,0.03716519847512245,-0.036879099905490875,1.9779399735853076e-05,t17_f5_c3,ZTF22abbausm
2459877.6896759,1,2123189673415,19.86709976196289,/ztf/archive/sci/2022/1025/189606/ztf_20221025189606_000389_zg_c09_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2123,34,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.26959991455078,2.624869921419304e-05,0.04852220043540001,-0.03629710152745247,4.356279896455817e-05,t17_f5_c3,ZTF22abbausm
2459879.6287269,2,2125128723415,20.28890037536621,/ztf/archive/sci/2022/1027/128727/ztf_20221027128727_000389_zr_c09_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.125128723415015e+18,t,22.0,2125,34,389,335.27801513671875,662.6480102539062,318.6212268,-9.0475867,19.01420021057129,0.09074100106954575,3.5948100090026855,19.031200408935547,0.14489999413490295,0.8702800273895264,18.66699981689453,0.12399999797344208,6.861000061035156,0.4699999988079071,-0.06873299926519394,0.016951000317931175,2.440000057220459,1.0,335.27801513671875,1.2576700448989868,0.9617779850959778,0.7319999933242798,0.675000011920929,0.30000001192092896,0.27663901448249817,1.084439992904663,2.0,0.0,0.75,1.0,19.236900329589844,0.21889999508857727,318.6210136,-9.0477189,10.4554,26.25320053100586,4.177280061412603e-06,0.02197919972240925,0.10211899876594543,6.154059974505799e-06,t17_f5_c3,ZTF22abbausm
2459879.6976505,1,2125197653415,20.163299560546875,/ztf/archive/sci/2022/1027/197650/ztf_20221027197650_000389_zg_c09_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.125197653415015e+18,t,2.0,2125,34,389,324.2770080566406,673.3319702148438,318.6212311,-9.0476753,20.036300659179688,0.2257709950208664,1.19923996925354,19.743900299072266,0.24140000343322754,1.1579300165176392,20.170000076293945,0.13300000131130219,3.9159998893737793,0.21400000154972076,-0.34701400995254517,-0.2924019992351532,1.4523799419403076,0.7149999737739563,324.2770080566406,0.4193519949913025,2.0,1.184999942779541,1.0759999752044678,0.8159030079841614,0.740854024887085,1.1013000011444092,4.0,0.0,0.4385710060596466,0.982492983341217,19.554100036621094,0.25690001249313354,318.6211577,-9.0473577,6.11405,26.22330093383789,1.1789799827965908e-05,0.03588959947228432,-0.044585298746824265,1.8324599295738153e-05,t17_f5_c3,ZTF22abbausm
2459881.7380093,2,2127238003415,19.600099563598633,/ztf/archive/sci/2022/1029/237975/ztf_20221029237975_000389_zr_c09_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.127238003415015e+18,t,3.0,2127,34,389,307.1629943847656,645.3460083007812,318.6212146,-9.0476255,19.01449966430664,0.11553499847650528,1.2756999731063843,18.80190086364746,0.15710000693798065,0.7691900134086609,18.66699981689453,0.12399999797344208,6.861000061035156,0.4699999988079071,-1.887410044670105,-0.21262800693511963,3.5899999141693115,0.9599999785423279,307.1629943847656,0.7982069849967957,0.867576003074646,1.090999960899353,1.0540000200271606,0.30390000343322754,0.29359298944473267,1.035099983215332,3.0,0.0,0.8257139921188354,1.0,18.802900314331055,0.19949999451637268,318.6210136,-9.0477189,7.19873,26.27050018310547,8.908789823180996e-06,0.03266270086169243,0.11083900183439255,1.3064300219411962e-05,t17_f5_c3,ZTF22abbausm
2459883.6069213,2,2129106923415,19.96339988708496,/ztf/archive/sci/2022/1031/106921/ztf_20221031106921_000389_zr_c09_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.129106923415015e+18,t,2.0,2129,34,389,321.5740051269531,664.510009765625,318.6212622,-9.0476201,19.149499893188477,0.13646300137043,2.356990098953247,19.00830078125,0.17139999568462372,0.9284219741821289,18.66699981689453,0.12399999797344208,6.861000061035156,0.4699999988079071,-1.2661999464035034,-0.1411679983139038,2.890000104904175,0.9850000143051147,321.5740051269531,0.9550920128822327,0.865218997001648,0.9459999799728394,0.781000018119812,0.32733601331710815,0.27024200558662415,1.2112699747085571,1.0,0.0,0.8857139945030212,1.0,18.888399124145508,0.19449999928474426,318.6210136,-9.0477189,9.20973,26.32349967956543,4.330090177973034e-06,0.022933699190616608,0.11107800155878067,6.3623101596022025e-06,t17_f5_c3,ZTF22abbausm
