jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459797.7327083,1,2043232701215,20.090700149536133,/ztf/archive/sci/2022/0806/232708/ztf_20220806232708_000432_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2043,12,432,26.261600494384766,9.734700142871588e-06,0.029245199635624886,-0.027442900463938713,1.6377300198655576e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abbzucj
2459797.8328125,2,2043332811215,19.715599060058594,/ztf/archive/sci/2022/0806/332801/ztf_20220806332801_000432_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2043,12,432,26.09239959716797,1.6718700862838887e-05,0.03726879879832268,0.10030999779701233,2.8467000447562896e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abbzucj
2459801.6712269,2,2047171221215,19.041799545288086,/ztf/archive/sci/2022/0810/170845/ztf_20220810170845_000432_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2047,12,432,26.118600845336914,1.2950599739269819e-05,0.033026598393917084,0.09008599817752838,2.1950800146441907e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abbzucj
2459801.7143056,1,2047214301215,18.461999893188477,/ztf/archive/sci/2022/0810/214306/ztf_20220810214306_000432_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2047,12,432,25.755800247192383,0.0003876360133290291,0.12018200010061264,0.08263280242681503,0.0006608120165765285,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abbzucj
2459803.693669,1,2049193661215,19.634000778198242,/ztf/archive/sci/2022/0812/193657/ztf_20220812193657_000432_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2049,12,432,26.269399642944336,1.572760083945468e-05,0.03686400130391121,-0.026813199743628502,2.6502000764594413e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abbzucj
2459806.6730903,1,2052173091215,20.57200050354004,/ztf/archive/sci/2022/0815/173090/ztf_20220815173090_000432_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2052,12,432,26.215499877929688,6.298259904724546e-06,0.02357410080730915,-0.03475179895758629,1.0628999916661996e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abbzucj
2459808.7228704,2,2054222871215,19.63330078125,/ztf/archive/sci/2022/0817/222859/ztf_20220817222859_000432_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2054,12,432,25.982200622558594,9.80418008111883e-06,0.02878599986433983,0.09048710018396378,1.66276004165411e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abbzucj
2459808.7343403,1,2054234341215,20.0531005859375,/ztf/archive/sci/2022/0817/234329/ztf_20220817234329_000432_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2054,12,432,25.980300903320312,9.975019565899856e-06,0.029551900923252106,-0.015163199976086617,1.6822099496494047e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abbzucj
2459810.6753009,2,2056175301215,19.69659996032715,/ztf/archive/sci/2022/0819/175289/ztf_20220819175289_000432_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2056,12,432,26.041400909423828,1.031339979817858e-05,0.02930009923875332,0.09018229693174362,1.7530399418319575e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abbzucj
2459810.6941319,1,2056194131215,20.32200050354004,/ztf/archive/sci/2022/0819/194120/ztf_20220819194120_000432_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2056,12,432,26.058399200439453,6.690820100629935e-06,0.024163899943232536,-0.021369099617004395,1.1266700312262401e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abbzucj
2459813.670706,2,2059170701215,20.22450065612793,/ztf/archive/sci/2022/0822/170706/ztf_20220822170706_000432_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2059,12,432,26.121200561523438,6.457029940065695e-06,0.02308030053973198,0.07535679638385773,1.0998500329151284e-05,t17_f5_c3,2.059170701215015e+18,t,9.0,2337.43994140625,2553.0400390625,253.515934,-5.3506803,19.401199340820312,0.10995099693536758,1.4103100299835205,19.46430015563965,0.2101999968290329,1.117799997329712,18.666000366210938,0.08500000089406967,5.760000228881836,0.4860000014305115,-0.0641229972243309,0.06307400017976761,2.190000057220459,0.972000002861023,527.4609985351562,0.7602400183677673,1.0898499488830566,0.6679999828338623,0.6330000162124634,0.3050230145454407,0.28904101252555847,1.0552899837493896,4.0,0.0,0.9414290189743042,1.0,19.190200805664062,0.2076999992132187,253.5156406,-5.3507982,8.5645,ZTF22abbzucj
2459813.778912,1,2059278911215,19.341800689697266,/ztf/archive/sci/2022/0822/278912/ztf_20220822278912_000432_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2059,12,432,25.87179946899414,4.962290040566586e-05,0.06123730167746544,-0.022109700366854668,8.402350067626685e-05,t17_f5_c3,2.059278911215015e+18,t,10.0,2289.02001953125,2511.739990234375,253.5158028,-5.3509704,19.440799713134766,0.219650998711586,1.281499981880188,19.727699279785156,0.3939000070095062,0.6486510038375854,19.87700080871582,0.08799999952316284,4.599999904632568,0.44699999690055847,0.15569299459457397,0.28686100244522095,2.4200000762939453,0.6990000009536743,568.7650146484375,-0.38585200905799866,1.4612499475479126,0.8560000061988831,0.8050000071525574,0.35371899604797363,0.3326449990272522,1.063349962234497,6.0,0.0,0.7699999809265137,0.9449719786643982,19.893999099731445,0.5885999798774719,253.5157154,-5.3508101,7.26263,ZTF22abbzucj
2459815.6702778,2,2061170271215,20.027000427246094,/ztf/archive/sci/2022/0824/170266/ztf_20220824170266_000432_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2061,12,432,26.085399627685547,1.4020100024936255e-05,0.03427629917860031,0.06846950203180313,2.3774800865794532e-05,t17_f5_c3,2.061170271215015e+18,t,14.0,2336.169921875,2556.860107421875,253.5159263,-5.3507197,18.79439926147461,0.15234799683094025,2.232419967651367,18.80900001525879,0.12399999797344208,1.0509300231933594,18.666000366210938,0.08500000089406967,5.760000228881836,0.4860000014305115,0.09057299792766571,0.014601999893784523,2.1600000858306885,0.9710000157356262,523.6389770507812,1.2180500030517578,1.23239004611969,0.8109999895095825,0.6650000214576721,0.37546300888061523,0.3078700006008148,1.2195500135421753,2.0,0.0,0.8500000238418579,1.0,18.73110008239746,0.14650000631809235,253.5156406,-5.3507982,8.87465,ZTF22abbzucj
2459815.7065972,1,2061206591215,20.30620002746582,/ztf/archive/sci/2022/0824/206597/ztf_20220824206597_000432_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2061,12,432,26.077699661254883,8.121180144371465e-06,0.026734400540590286,-0.016846900805830956,1.3671599845110904e-05,t17_f5_c3,2.061206591215015e+18,t,11.0,2305.06005859375,2528.330078125,253.5159405,-5.3506717,19.303699493408203,0.12437599897384644,1.7666300535202026,19.204099655151367,0.15289999544620514,0.9436950087547302,19.87700080871582,0.08799999952316284,4.599999904632568,0.44699999690055847,0.43629199266433716,-0.09955599904060364,2.3299999237060547,0.9819999933242798,552.1669921875,1.1020900011062622,1.010640025138855,0.7179999947547913,0.6499999761581421,0.30815500020980835,0.27897000312805176,1.1046099662780762,1.0,0.0,0.9585710167884827,1.0,19.09429931640625,0.1762000024318695,253.5157154,-5.3508101,13.8454,ZTF22abbzucj
2459819.6590046,1,2065159001215,20.52280044555664,/ztf/archive/sci/2022/0828/159005/ztf_20220828159005_000432_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2065,12,432,26.26810073852539,5.9856902225874364e-06,0.022914700210094452,-0.03779539838433266,1.0090800060424954e-05,t17_f5_c3,2.065159001215015e+18,t,8.0,2341.550048828125,2561.760009765625,253.5159054,-5.3506736,18.96310043334961,0.08811599761247635,4.890989780426025,18.899999618530273,0.09480000287294388,0.830223023891449,19.87700080871582,0.08799999952316284,4.599999904632568,0.44699999690055847,0.12035799771547318,-0.06310500204563141,1.8600000143051147,0.9879999756813049,518.7379760742188,1.6228100061416626,1.2874699831008911,0.671999990940094,0.6359999775886536,0.36129000782966614,0.34193500876426697,1.0565999746322632,2.0,0.0,0.9628570079803467,1.0,18.76140022277832,0.10599999874830246,253.5157154,-5.3508101,22.605,ZTF22abbzucj
2459819.7082292,2,2065208221215,19.7539005279541,/ztf/archive/sci/2022/0828/208229/ztf_20220828208229_000432_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2065,12,432,26.157899856567383,1.0846199984371196e-05,0.030278999358415604,0.09432370215654373,1.8377000742475502e-05,t17_f5_c3,2.065208221215015e+18,t,4.0,2299.8701171875,2537.489990234375,253.5159198,-5.3507514,18.575899124145508,0.09774699807167053,1.8309999704360962,18.556900024414062,0.10080000013113022,1.000980019569397,18.666000366210938,0.08500000089406967,5.760000228881836,0.4860000014305115,0.09370700269937515,-0.019039999693632126,3.259999990463257,0.9779999852180481,543.010986328125,1.1970000267028809,1.0203700065612793,1.0609999895095825,1.0379999876022339,0.3254599869251251,0.31840500235557556,1.0221600532531738,0.0,0.0,0.8514289855957031,1.0,18.434799194335938,0.1145000010728836,253.5156406,-5.3507982,16.1231,ZTF22abbzucj
2459821.7389583,2,2067238951215,19.879199981689453,/ztf/archive/sci/2022/0830/238958/ztf_20220830238958_000432_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2067,12,432,26.08769989013672,7.878649739723187e-06,0.025557400658726692,0.0795489028096199,1.3374399713939056e-05,t17_f5_c3,2.067238951215015e+18,t,18.0,2296.68994140625,2503.360107421875,253.5159149,-5.3507058,18.512699127197266,0.11499299854040146,3.6707499027252197,18.730199813842773,0.1363999992609024,1.0225600004196167,18.666000366210938,0.08500000089406967,5.760000228881836,0.4860000014305115,0.15871399641036987,0.21748800575733185,2.2899999618530273,0.9829999804496765,577.1439819335938,1.1489700078964233,1.1050699949264526,0.640999972820282,0.578000009059906,0.2799130082130432,0.25240200757980347,1.1089999675750732,8.0,0.0,0.8471429944038391,0.857017993927002,18.612499237060547,0.1559000015258789,253.5156406,-5.3507982,19.0959,ZTF22abbzucj
2459823.6913079,1,2069191301215,19.924699783325195,/ztf/archive/sci/2022/0901/191308/ztf_20220901191308_000432_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2069,12,432,26.1564998626709,2.617310019559227e-05,0.04792119935154915,-0.009621820412576199,4.410809924593195e-05,t17_f5_c3,2.069191301215015e+18,t,9.0,2295.8701171875,2535.219970703125,253.5159205,-5.3506468,18.802499771118164,0.0928409993648529,1.6274700164794922,18.858999252319336,0.125,0.9293680191040039,19.87700080871582,0.08799999952316284,4.599999904632568,0.44699999690055847,-0.15377399325370789,0.05653199926018715,2.609999895095825,0.9829999804496765,545.281982421875,1.065659999847412,1.1376500129699707,0.925000011920929,0.8069999814033508,0.3544059991836548,0.30919501185417175,1.1462199687957764,2.0,0.0,0.9371430277824402,1.0,18.696399688720703,0.13740000128746033,253.5157154,-5.3508101,17.1906,ZTF22abbzucj
2459783.7709144,2,2029270911215,20.101200103759766,/ztf/archive/sci/2022/0723/270903/ztf_20220723270903_000432_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2029,12,432,26.154499053955078,7.619129974045791e-06,0.02538510039448738,0.08994010090827942,1.2922499990963843e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abbzucj
2459787.7503704,1,2033250371215,20.484600067138672,/ztf/archive/sci/2022/0727/250370/ztf_20220727250370_000432_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2033,12,432,26.114299774169922,7.382609965134179e-06,0.025140900164842606,-0.024066200479865074,1.2460600373742636e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abbzucj
2459789.6901157,1,2035190111215,20.387699127197266,/ztf/archive/sci/2022/0729/190093/ztf_20220729190093_000432_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2035,12,432,26.10759925842285,7.500939773308346e-06,0.02561970055103302,-0.02151150070130825,1.2687100024777465e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abbzucj
