jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2459894.8144329,2,2140314430015,18.856399536132812,/ztf/archive/sci/2022/1111/314433/ztf_20221111314433_000250_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.140314430015015e+18,t,9.0,2140,0,250,2284.47998046875,2693.639892578125,41.5333131,-26.9244024,19.089599609375,0.234592005610466,1.2062699794769287,19.101900100708008,0.26499998569488525,1.421679973602295,18.13599967956543,0.0860000029206276,7.504000186920166,0.4519999921321869,-0.6465619802474976,0.012350000441074371,2.339319944381714,0.6389999985694885,386.864990234375,-0.2455189973115921,2.0,1.4889999628067017,1.3899999856948853,0.6365079879760742,0.5941879749298096,1.07122004032135,4.0,0.0,0.42571398615837097,1.0,19.565200805664062,0.5188000202178955,41.5335029,-26.92404,6.2055,26.088600158691406,9.645680256653577e-05,0.05560670047998428,0.12286700308322906,0.00013512499572243541,t17_f5_c3,ZTF22abtjcbg
2459894.8355903,1,2140335590015,18.60930061340332,/ztf/archive/sci/2022/1111/335590/ztf_20221111335590_000250_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.140335590015015e+18,t,6.0,2140,0,250,2275.81005859375,2690.669921875,41.5335951,-26.9242245,19.047399520874023,0.31787899136543274,1.2680599689483643,18.90410041809082,0.26179999113082886,0.7441059947013855,19.194000244140625,0.07900000363588333,5.189000129699707,0.328000009059906,-0.21011300384998322,-0.1432739943265915,2.4410500526428223,0.5929999947547913,389.8299865722656,-0.2947559952735901,2.0,1.5420000553131104,1.3240000009536743,0.6316940188407898,0.5423889756202698,1.1646499633789062,5.0,0.0,0.30428600311279297,0.7830510139465332,18.701200485229492,0.2786000072956085,41.5334375,-26.9240693,5.32512,26.091400146484375,0.0001313480024691671,0.04429150000214577,-0.04218069836497307,0.0002917340025305748,t17_f5_c3,ZTF22abtjcbg
2459894.8776273,1,2140377621315,18.268299102783203,/ztf/archive/sci/2022/1111/377569/ztf_20221111377569_000251_zg_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2140,13,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.11050033569336,0.0004347669892013073,0.04181889817118645,-0.06625340133905411,0.0012187700485810637,t17_f5_c3,ZTF22abtjcbg
2459895.7911227,1,2141291121315,19.510000228881836,/ztf/archive/sci/2022/1112/291123/ztf_20221112291123_000251_zg_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.141291121315015e+18,t,7.0,2141,13,251,2864.7099609375,2625.75,41.5335636,-26.9240494,19.068700790405273,0.15352100133895874,1.5334099531173706,19.083900451660156,0.2451000064611435,0.6760740280151367,19.266000747680664,0.07900000363588333,6.539000034332275,0.22300000488758087,-0.18064700067043304,0.015213999897241592,2.4100000858306885,0.9980000257492065,207.78500366210938,0.42608198523521423,1.1211600303649902,0.7910000085830688,0.7300000190734863,0.32821598649024963,0.30290499329566956,1.0835599899291992,3.0,0.0,0.9528570175170898,0.9492300152778625,18.878599166870117,0.2599000036716461,41.5333536,-26.9240822,11.1402,26.14069938659668,4.3993200961267576e-05,0.040858298540115356,-0.016881899908185005,7.172829646151513e-05,t17_f5_c3,ZTF22abtjcbg
2459896.8285648,2,2142328560015,19.151899337768555,/ztf/archive/sci/2022/1113/328565/ztf_20221113328565_000250_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2142,0,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.061100006103516,5.300909833749756e-05,0.04698760062456131,0.11243300139904022,7.057130278553814e-05,t17_f5_c3,ZTF22abtjcbg
2459897.7512847,1,2143251280015,19.619300842285156,/ztf/archive/sci/2022/1114/251285/ztf_20221114251285_000250_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.143251280015015e+18,t,6.0,2143,0,250,2276.830078125,2640.6298828125,41.5335351,-26.9241548,19.017499923706055,0.1290079951286316,1.3561500310897827,18.925399780273438,0.17190000414848328,0.4335330128669739,19.194000244140625,0.07900000363588333,5.189000129699707,0.328000009059906,0.28807300329208374,-0.09208200126886368,3.0299999713897705,0.9750000238418579,439.8739929199219,0.6938850283622742,0.9987289905548096,0.9169999957084656,0.8999999761581421,0.30263999104499817,0.2970300018787384,1.0188900232315063,1.0,0.0,0.947143018245697,1.0,18.951799392700195,0.22499999403953552,41.5334375,-26.9240693,13.2342,26.08449935913086,4.235130109009333e-05,0.04166710004210472,-0.056674301624298096,6.765090074623004e-05,t17_f5_c3,ZTF22abtjcbg
2459897.7903935,2,2143290390015,19.46419906616211,/ztf/archive/sci/2022/1114/290382/ztf_20221114290382_000250_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.143290390015015e+18,t,4.0,2143,0,250,2287.800048828125,2645.419921875,41.5335635,-26.9241372,18.987699508666992,0.16101300716400146,1.3344099521636963,19.054000854492188,0.21809999644756317,0.39519599080085754,18.13599967956543,0.0860000029206276,7.504000186920166,0.4519999921321869,-0.7114830017089844,0.06628700345754623,2.7200000286102295,0.9039999842643738,435.08099365234375,0.4102199971675873,1.1465599536895752,0.7639999985694885,0.640999972820282,0.28088200092315674,0.23566199839115143,1.191890001296997,3.0,0.0,0.8742859959602356,0.9959930181503296,18.949399948120117,0.25270000100135803,41.5335029,-26.92404,9.39018,26.091699600219727,2.7875599698745646e-05,0.03541100025177002,0.10008399933576584,3.7434401747304946e-05,t17_f5_c3,ZTF22abtjcbg
2459897.7959144,2,2143295911315,19.59939956665039,/ztf/archive/sci/2022/1114/295903/ztf_20221114295903_000251_zr_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.143295911315015e+18,t,32.0,2143,13,251,2863.139892578125,2657.0,41.5335138,-26.9240941,18.872900009155273,0.1154870018362999,1.374169945716858,19.185699462890625,0.22849999368190765,0.28304600715637207,18.17300033569336,0.07599999755620956,6.5269999504089355,0.35100001096725464,-0.48749300837516785,0.31279700994491577,2.309999942779541,0.9750000238418579,209.35699462890625,0.4136900007724762,1.310920000076294,0.8560000061988831,0.7829999923706055,0.37056300044059753,0.33896100521087646,1.0932300090789795,3.0,0.0,0.9085710048675537,0.9989839792251587,19.28730010986328,0.3188000023365021,41.533499,-26.9240156,11.4641,26.091899871826172,3.556179945007898e-05,0.04000610113143921,0.13619199395179749,4.606090078596026e-05,t17_f5_c3,ZTF22abtjcbg
2459898.7950347,1,2144295030015,18.970600128173828,/ztf/archive/sci/2022/1115/295023/ztf_20221115295023_000250_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2144,0,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.624000549316406,0.00011255499703111127,0.057540200650691986,-0.07129789888858795,0.00020417799532879144,t17_f5_c3,ZTF22abtjcbg
2459898.8095833,1,2144309581315,19.843399047851562,/ztf/archive/sci/2022/1115/309583/ztf_20221115309583_000251_zg_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.144309581315015e+18,t,9.0,2144,13,251,2866.800048828125,2656.27001953125,41.5335505,-26.9241068,19.082700729370117,0.11152900010347366,1.3166199922561646,19.482500076293945,0.2630000114440918,0.6306650042533875,19.266000747680664,0.07900000363588333,6.539000034332275,0.22300000488758087,-0.22833600640296936,0.39976298809051514,2.2899999618530273,0.9819999933242798,205.697998046875,0.3608570098876953,1.1799099445343018,0.7279999852180481,0.6819999814033508,0.317903995513916,0.2978169918060303,1.0674500465393066,2.0,0.0,0.9328569769859314,1.0,19.371200561523438,0.3034999966621399,41.5333536,-26.9240822,12.172,26.126699447631836,4.495289977057837e-05,0.0443463996052742,-0.03212970122694969,6.554889841936529e-05,t17_f5_c3,ZTF22abtjcbg
