jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459905.8641898,2,2151364183415,19.57379913330078,/ztf/archive/sci/2022/1122/364144/ztf_20221122364144_000814_zr_c09_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2151,34,814,25.878700256347656,2.4193499484681524e-05,0.05263319984078407,0.10639899969100952,3.83908991352655e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abyuoan
2459905.8674884,2,2151367484615,20.028099060058594,/ztf/archive/sci/2022/1122/367488/ztf_20221122367488_000815_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2151,46,815,25.968000411987305,5.2384698392415885e-06,0.02447590045630932,0.1091959998011589,8.204109690268524e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abyuoan
2459905.8888194,1,2151388813415,19.736099243164062,/ztf/archive/sci/2022/1122/388808/ztf_20221122388808_000814_zg_c09_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2151,34,814,25.717300415039062,1.758399957907386e-05,0.04136599972844124,-0.0727538987994194,3.347849997226149e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abyuoan
2459905.9110764,1,2151411074615,20.128000259399414,/ztf/archive/sci/2022/1122/411042/ztf_20221122411042_000815_zg_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2151,46,815,25.909299850463867,1.778149999154266e-05,0.04421339929103851,-0.06342919915914536,2.951600072265137e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abyuoan
2459908.9304167,2,2154430414615,20.398099899291992,/ztf/archive/sci/2022/1125/430394/ztf_20221125430394_000815_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2154,46,815,26.307600021362305,4.528390036284691e-06,0.022727999836206436,0.10526999831199646,7.092160103638889e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abyuoan
2459908.9328125,2,2154432813415,20.325599670410156,/ztf/archive/sci/2022/1125/432812/ztf_20221125432812_000814_zr_c09_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2154,34,814,26.380199432373047,4.64530012322939e-06,0.023073799908161163,0.10121999680995941,7.386040124401916e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abyuoan
2459908.9490162,1,2154449014615,20.000499725341797,/ztf/archive/sci/2022/1125/449016/ztf_20221125449016_000815_zg_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2154,46,815,26.366500854492188,1.4892800209054258e-05,0.03742640092968941,-0.06422089785337448,2.805889926094096e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abyuoan
2459908.9499884,1,2154449983415,19.93320083618164,/ztf/archive/sci/2022/1125/449988/ztf_20221125449988_000814_zg_c09_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2154,34,814,26.358600616455078,1.7715599824441597e-05,0.038712598383426666,-0.04723589867353439,3.697489955811761e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abyuoan
2459910.8325231,2,2156332523415,20.29010009765625,/ztf/archive/sci/2022/1127/332500/ztf_20221127332500_000814_zr_c09_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2156,34,814,26.366100311279297,3.5478899462759728e-06,0.020423399284482002,0.10077700018882751,5.652989784721285e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abyuoan
2459910.8674653,2,2156367464615,20.240999221801758,/ztf/archive/sci/2022/1127/367454/ztf_20221127367454_000815_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2156,46,815,26.298099517822266,4.891840035270434e-06,0.023663800209760666,0.11245899647474289,7.656250090803951e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF22abyuoan
