jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460117.9071991,2,2363407193215,20.06920051574707,/ztf/archive/sci/2023/0622/407188/ztf_20230622407188_000599_zr_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.363407193215015e+18,t,7.0,2363,32,599,958.6320190429688,2102.10009765625,357.7669426,20.1557685,19.962200164794922,0.19326099753379822,0.8947499990463257,19.755599975585938,0.3052000105381012,1.8369200229644775,18.444000244140625,0.1289999932050705,8.286999702453613,1.2389999628067017,0.5253080129623413,-0.20655900239944458,1.4260499477386475,0.7609999775886536,958.6320190429688,0.3136270046234131,2.0,0.828000009059906,0.6800000071525574,0.5806249976158142,0.4768419861793518,1.217650055885315,3.0,0.0,0.8399999737739563,1.0,19.55820083618164,0.3264000117778778,357.7674772,20.1558906,5.27422,26.198200225830078,7.679300324525684e-06,0.026423700153827667,0.11219800263643265,1.1146599717903882e-05,t17_f5_c3,ZTF23aaaahhb
2460117.9226042,1,2363422603215,20.22610092163086,/ztf/archive/sci/2023/0622/422593/ztf_20230622422593_000599_zg_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2363,32,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1914005279541,1.5431300198542885e-05,0.03639329969882965,-0.043473899364471436,2.4164699425455183e-05,t17_f5_c3,ZTF23aaaahhb
2460119.9301968,1,2365430193215,20.31220054626465,/ztf/archive/sci/2023/0624/430197/ztf_20230624430197_000599_zg_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2365,32,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.217599868774414,1.220519970956957e-05,0.0328948013484478,-0.05843159928917885,1.845030055847019e-05,t17_f5_c3,ZTF23aaaahhb
2460119.9558333,2,2365455833215,20.32309913635254,/ztf/archive/sci/2023/0624/455833/ztf_20230624455833_000599_zr_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.365455833215015e+18,t,5.0,2365,32,599,957.9539794921875,2108.89990234375,357.7670147,20.1557651,20.176300048828125,0.15061700344085693,0.9043110013008118,21.158300399780273,1.027500033378601,1.6061300039291382,18.444000244140625,0.1289999932050705,8.286999702453613,1.2389999628067017,0.2941470146179199,0.9820460081100464,1.252769947052002,0.8600000143051147,957.9539794921875,-0.8351839780807495,2.0,0.7319999933242798,0.7009999752044678,0.5843080282211304,0.5595620274543762,1.044219970703125,5.0,0.0,0.7900000214576721,0.9725649952888489,20.355199813842773,0.6302000284194946,357.7674772,20.1558906,5.64772,26.248300552368164,6.301720077317441e-06,0.024014299735426903,0.11041299998760223,9.123569725488778e-06,t17_f5_c3,ZTF23aaaahhb
2460121.9234838,1,2367423483215,20.325899124145508,/ztf/archive/sci/2023/0626/423472/ztf_20230626423472_000599_zg_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2367,32,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.223499298095703,1.3132699677953497e-05,0.033744100481271744,-0.057244498282670975,2.007590046559926e-05,t17_f5_c3,ZTF23aaaahhb
2460121.9565741,2,2367456573215,20.368200302124023,/ztf/archive/sci/2023/0626/456574/ztf_20230626456574_000599_zr_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2367,32,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.24880027770996,6.075899818824837e-06,0.02356329932808876,0.10885000228881836,8.839359907142352e-06,t17_f5_c3,ZTF23aaaahhb
2460123.9138542,1,2369413853215,20.509599685668945,/ztf/archive/sci/2023/0628/413843/ztf_20230628413843_000599_zg_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2369,32,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.18630027770996,1.4137799553282093e-05,0.035562001168727875,-0.06914389878511429,2.106260035361629e-05,t17_f5_c3,ZTF23aaaahhb
2460123.9143171,1,2369414314515,20.525299072265625,/ztf/archive/sci/2023/0628/414317/ztf_20230628414317_000550_zg_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2369,45,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.264799118041992,8.891979632608127e-06,0.028106100857257843,-0.05507320165634155,1.3123200005793478e-05,t17_f5_c3,ZTF23aaaahhb
2460123.9458796,2,2369445873215,20.497900009155273,/ztf/archive/sci/2023/0628/445810/ztf_20230628445810_000599_zr_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.369445873215015e+18,t,2.0,2369,32,599,966.947998046875,2099.280029296875,357.7669773,20.1558111,20.12220001220703,0.21709699928760529,2.1253299713134766,19.7898006439209,0.2628999948501587,1.6921800374984741,18.444000244140625,0.1289999932050705,8.286999702453613,1.2389999628067017,-0.4534339904785156,-0.3324120044708252,1.27524995803833,0.875,966.947998046875,0.7081180214881897,2.0,0.8930000066757202,0.7979999780654907,0.7002549767494202,0.625760018825531,1.1190500259399414,7.0,0.0,0.7814289927482605,0.8825870156288147,19.643299102783203,0.2944999933242798,357.7674772,20.1558906,5.1693,26.226200103759766,6.364180080709048e-06,0.02395150065422058,0.10642000287771225,9.23512016015593e-06,t17_f5_c3,ZTF23aaaahhb
2460123.9463426,2,2369446344515,20.465700149536133,/ztf/archive/sci/2023/0628/446343/ztf_20230628446343_000550_zr_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.369446344515015e+18,t,13.0,2369,45,550,2286.89990234375,2107.31005859375,357.7670634,20.1557605,20.363300323486328,0.2357890009880066,0.7018560171127319,19.815799713134766,0.275299996137619,2.259850025177002,18.430999755859375,0.10700000077486038,7.5980000495910645,0.6600000262260437,-0.3336060047149658,-0.5475339889526367,2.3499999046325684,0.7139999866485596,785.6019897460938,0.6498969793319702,1.1010099649429321,0.7459999918937683,0.5199999809265137,0.3174470067024231,0.22127699851989746,1.4346200227737427,9.0,0.0,0.6542860269546509,0.7846149802207947,19.95509910583496,0.4007999897003174,357.7677361,20.1558331,5.16303,26.275299072265625,5.403369868872687e-06,0.021862300112843513,0.10950399935245514,7.930880201456603e-06,t17_f5_c3,ZTF23aaaahhb
