jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2459951.712581,1,2197212584115,18.968799591064453,/ztf/archive/sci/2023/0107/212581/ztf_20230107212581_000407_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.197212584115015e+18,t,0.0,2197,41,407,1253.27001953125,1013.4500122070312,77.776307,-1.0803498,17.404399871826172,0.06661199778318405,1.7596999406814575,17.32029914855957,0.0674000009894371,0.7092000246047974,18.517000198364258,0.12800000607967377,3.009000062942505,0.2930000126361847,-0.007942999713122845,-0.08408799767494202,3.700000047683716,0.9829999804496765,1013.4500122070312,1.648460030555725,0.8793089985847473,1.1990000009536743,1.1119999885559082,0.3240540027618408,0.3005410134792328,1.0782400369644165,0.0,0.0,0.8085709810256958,1.0,17.290300369262695,0.08340000361204147,77.7763869,-1.0801647,14.5779,26.3794002532959,1.389740009472007e-05,0.03927459940314293,-0.0358147993683815,3.747010123333894e-05,t17_f5_c3,ZTF23aaaasrd
2459951.7734954,2,2197273494115,19.09589958190918,/ztf/archive/sci/2023/0107/273484/ztf_20230107273484_000407_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2197,41,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.417400360107422,6.021110039000632e-06,0.03615190088748932,0.11254999786615372,1.1690100109262858e-05,t17_f5_c3,ZTF23aaaasrd
2459956.7525694,1,2202252564115,20.031999588012695,/ztf/archive/sci/2023/0112/252569/ztf_20230112252569_000407_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.202252564115015e+18,t,2.0,2202,41,407,1271.6099853515625,996.8099975585938,77.7762992,-1.0803104,17.23870086669922,0.0487620010972023,16.4148006439209,17.246200561523438,0.031099999323487282,0.6042559742927551,18.517000198364258,0.12800000607967377,3.009000062942505,0.2930000126361847,-0.25804901123046875,0.007488999981433153,3.680000066757202,0.9860000014305115,996.8099975585938,2.7857699394226074,0.7671639919281006,0.9449999928474426,0.8519999980926514,0.25679299235343933,0.23152199387550354,1.1091599464416504,0.0,0.0,0.8899999856948853,1.0,17.27199935913086,0.03909999877214432,77.7763869,-1.0801647,26.1194,26.38170051574707,4.63918013338116e-06,0.0314812995493412,-0.03313450142741203,9.749779565026984e-06,t17_f5_c3,ZTF23aaaasrd
2459958.7946875,1,2204294684115,17.782400131225586,/ztf/archive/sci/2023/0114/294688/ztf_20230114294688_000407_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.204294684115015e+18,t,1.0,2204,41,407,1253.719970703125,982.094970703125,77.7763602,-1.0803116,17.235200881958008,0.1672939956188202,1.394610047340393,17.465599060058594,0.29100000858306885,0.5298669934272766,18.517000198364258,0.12800000607967377,3.009000062942505,0.2930000126361847,-0.12563100457191467,0.2303750067949295,1.5299999713897705,0.9739999771118164,982.094970703125,0.31681200861930847,1.6474599838256836,0.6460000276565552,0.5600000023841858,0.42222198843955994,0.3660129904747009,1.1535700559616089,3.0,0.0,0.7642859816551208,0.954255998134613,17.33690071105957,0.33079999685287476,77.7763869,-1.0801647,11.3497,24.23819923400879,0.0003155049926135689,0.09750299900770187,0.0018648500554263592,0.0010247899917885661,t17_f5_c3,ZTF23aaaasrd
2459967.689213,1,2213189214115,19.564899444580078,/ztf/archive/sci/2023/0123/189213/ztf_20230123189213_000407_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.213189214115015e+18,t,1.0,2213,41,407,1241.969970703125,1015.1400146484375,77.7762855,-1.0803325,17.826000213623047,0.08013299852609634,3.322920083999634,17.92889976501465,0.04740000143647194,0.6973180174827576,18.517000198364258,0.12800000607967377,3.009000062942505,0.2930000126361847,-0.6845319867134094,0.10293400287628174,5.090000152587891,0.968999981880188,1015.1400146484375,1.6360199451446533,1.1136800050735474,1.8569999933242798,1.7239999771118164,0.3648329973220825,0.3387030065059662,1.0771499872207642,0.0,0.0,0.4757139980792999,1.0,17.870500564575195,0.05469999834895134,77.7763869,-1.0801647,13.2154,26.36400032043457,1.3756700354861096e-05,0.04174669831991196,-0.031146399676799774,3.589440166251734e-05,t17_f5_c3,ZTF23aaaasrd
2459969.649213,2,2215149214115,19.913299560546875,/ztf/archive/sci/2023/0125/149190/ztf_20230125149190_000407_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.215149214115015e+18,t,3.0,2215,41,407,1255.0,1064.489990234375,77.7763123,-1.080369,17.522199630737305,0.05944899842143059,4.796219825744629,17.50189971923828,0.04259999841451645,0.9208859801292419,17.996000289916992,0.1420000046491623,6.453000068664551,0.6359999775886536,-0.6942430138587952,-0.02032800018787384,3.2799999713897705,0.9800000190734863,1064.489990234375,2.411410093307495,1.0216399431228638,1.0570000410079956,1.0219999551773071,0.3222559988498688,0.311585009098053,1.034250020980835,2.0,0.0,0.7528570294380188,1.0,17.476900100708008,0.049800001084804535,77.776097,-1.0805121,7.59969,26.41320037841797,2.6968200472765602e-06,0.02501470036804676,0.1108120009303093,5.1843499022652395e-06,t17_f5_c3,ZTF23aaaasrd
2459969.6888773,1,2215188874115,20.069799423217773,/ztf/archive/sci/2023/0125/188831/ztf_20230125188831_000407_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.215188874115015e+18,t,5.0,2215,41,407,1242.469970703125,1064.989990234375,77.776313,-1.0803722,18.114500045776367,0.06590300053358078,3.489150047302246,18.131000518798828,0.0568000003695488,0.7829959988594055,18.517000198364258,0.12800000607967377,3.009000062942505,0.2930000126361847,0.07293400168418884,0.01654299907386303,4.059999942779541,0.9829999804496765,1064.989990234375,1.9387999773025513,0.8740630149841309,1.1699999570846558,1.1119999885559082,0.2881770133972168,0.27389198541641235,1.0521600246429443,0.0,0.0,0.8157140016555786,1.0,18.104299545288086,0.06769999861717224,77.7763869,-1.0801647,11.2942,26.379499435424805,6.008790023770416e-06,0.03430920094251633,-0.043557699769735336,1.337669982603984e-05,t17_f5_c3,ZTF23aaaasrd
2459972.6713657,1,2218171364115,19.95210075378418,/ztf/archive/sci/2023/0128/171366/ztf_20230128171366_000407_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.218171364115015e+18,t,3.0,2218,41,407,1259.5999755859375,1041.0899658203125,77.7762672,-1.0803625,18.299999237060547,0.08663000166416168,2.9688498973846436,18.319599151611328,0.08259999752044678,0.8194360136985779,18.517000198364258,0.12800000607967377,3.009000062942505,0.2930000126361847,-0.1635199934244156,0.01964299939572811,4.21999979019165,0.9829999804496765,1041.0899658203125,1.6325199604034424,0.7041209936141968,0.9620000123977661,0.921999990940094,0.22796200215816498,0.21848300099372864,1.0433800220489502,1.0,0.0,0.8585709929466248,1.0,18.399099349975586,0.11029999703168869,77.7763869,-1.0801647,9.23148,26.375999450683594,5.539030098589137e-06,0.03418460115790367,-0.032439399510622025,1.1680699572025333e-05,t17_f5_c3,ZTF23aaaasrd
2459972.7274769,2,2218227474115,20.062000274658203,/ztf/archive/sci/2023/0128/227477/ztf_20230128227477_000407_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.218227474115015e+18,t,2.0,2218,41,407,1257.4599609375,1025.489990234375,77.7763153,-1.0803295,17.563499450683594,0.06588199734687805,10.906999588012695,17.6117000579834,0.04899999871850014,1.0132999420166016,17.996000289916992,0.1420000046491623,6.453000068664551,0.6359999775886536,-0.42212098836898804,0.048179998993873596,2.5399999618530273,0.9990000128746033,1025.489990234375,2.4503300189971924,1.072029948234558,0.8769999742507935,0.8389999866485596,0.34527599811553955,0.3303149938583374,1.0452899932861328,4.0,0.0,0.8342859745025635,0.9737309813499451,17.685800552368164,0.06310000270605087,77.776097,-1.0805121,5.91664,26.409500122070312,2.12707004720869e-06,0.022179799154400826,0.11218500137329102,4.095939857506892e-06,t17_f5_c3,ZTF23aaaasrd
2459978.7068866,2,2224206884115,16.585599899291992,/ztf/archive/sci/2023/0203/206863/ztf_20230203206863_000407_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2224,41,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.66189956665039,0.00013549899449571967,0.040637098252773285,0.08481699973344803,0.0003641179937403649,t17_f5_c3,ZTF23aaaasrd
2459980.6443866,1,2226144384115,19.611499786376953,/ztf/archive/sci/2023/0205/144039/ztf_20230205144039_000407_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.226144384115015e+18,t,1.0,2226,41,407,1272.8199462890625,994.8319702148438,77.7763032,-1.0803305,18.71579933166504,0.11298900097608566,1.8889299631118774,18.706300735473633,0.1931000053882599,0.6587799787521362,18.517000198364258,0.12800000607967377,3.009000062942505,0.2930000126361847,1.0791800022125244,-0.009522000327706337,2.5399999618530273,0.9850000143051147,994.8319702148438,0.9052199721336365,0.8959410190582275,0.6140000224113464,0.6010000109672546,0.24173200130462646,0.23661400377750397,1.021630048751831,5.0,0.0,0.9200000166893005,0.9679570198059082,18.859399795532227,0.28209999203681946,77.7763869,-1.0801647,11.8516,26.37179946899414,6.577589829248609e-06,0.03458220139145851,-0.018569599837064743,1.5420300769619644e-05,t17_f5_c3,ZTF23aaaasrd
2459980.7344792,2,2226234474115,19.603599548339844,/ztf/archive/sci/2023/0205/234456/ztf_20230205234456_000407_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2226,41,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.402599334716797,3.310570036774152e-06,0.027667000889778137,0.11164200305938721,6.41684982838342e-06,t17_f5_c3,ZTF23aaaasrd
2459922.796412,1,2168296414115,19.273700714111328,/ztf/archive/sci/2022/1209/296400/ztf_20221209296400_000407_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2168,41,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.36240005493164,8.294399776787031e-06,0.03517119958996773,-0.0173576008528471,2.104359919030685e-05,t17_f5_c3,ZTF23aaaasrd
2459922.8640856,2,2168364084115,19.571300506591797,/ztf/archive/sci/2022/1209/364086/ztf_20221209364086_000407_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2168,41,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.42169952392578,2.675240011740243e-06,0.02492469921708107,0.10246399790048599,5.1692500164790545e-06,t17_f5_c3,ZTF23aaaasrd
2459924.7958333,1,2170295834115,19.489200592041016,/ztf/archive/sci/2022/1211/295833/ztf_20221211295833_000407_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2170,41,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.355100631713867,7.053569788695313e-06,0.03505700081586838,-0.021604599431157112,1.6919400877668522e-05,t17_f5_c3,ZTF23aaaasrd
2459930.795706,2,2176295704115,20.23349952697754,/ztf/archive/sci/2022/1217/295694/ztf_20221217295694_000407_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2176,41,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.395099639892578,1.7882499605548219e-06,0.02039860002696514,0.11156400293111801,3.4338900150032714e-06,t17_f5_c3,ZTF23aaaasrd
2459930.8161574,1,2176316154115,20.151100158691406,/ztf/archive/sci/2022/1217/316157/ztf_20221217316157_000407_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2176,41,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.366199493408203,4.541070211416809e-06,0.031158700585365295,-0.03839759901165962,9.503720320935827e-06,t17_f5_c3,ZTF23aaaasrd
2459933.7731134,2,2179273114115,19.909299850463867,/ztf/archive/sci/2022/1220/273113/ztf_20221220273113_000407_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2179,41,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.106199264526367,2.925160060840426e-06,0.026110399514436722,0.11227300018072128,5.646370027534431e-06,t17_f5_c3,ZTF23aaaasrd
2459933.8087616,1,2179308764115,19.865800857543945,/ztf/archive/sci/2022/1220/308762/ztf_20221220308762_000407_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2179,41,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0718994140625,6.623240096814698e-06,0.036249201744794846,-0.022057900205254555,1.461489955545403e-05,t17_f5_c3,ZTF23aaaasrd
