jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460092.9471065,3,2338447101815,20.25480079650879,/ztf/archive/sci/2023/0528/447106/ztf_20230528447106_000825_zi_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.338447101815015e+18,t,1.0,2338,18,825,2235.5,858.614990234375,264.4900603,60.8825142,19.003799438476562,0.10023699700832367,3.6392199993133545,18.605499267578125,0.1266999989748001,3.3757998943328857,17.976999282836914,0.13699999451637268,8.545000076293945,0.7919999957084656,-0.27752500772476196,-0.3982729911804199,2.9100000858306885,0.9860000014305115,837.0050048828125,1.6492700576782227,0.7256309986114502,0.6000000238418579,0.550000011920929,0.20618599653244019,0.18900300562381744,1.0909099578857422,3.0,0.0,0.6228569746017456,1.0,18.593799591064453,0.15289999544620514,264.4919918,60.8826375,7.69184,25.72480010986328,1.4752499737369362e-06,0.022051500156521797,0.19044600427150726,7.811359864717815e-06,t17_f5_c3,ZTF23aaawbre
2460093.8649306,2,2339364935015,20.33769989013672,/ztf/archive/sci/2023/0529/364919/ztf_20230529364919_001830_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.339364935015015e+18,t,4.0,2339,50,1830,536.7039794921875,1545.47998046875,264.4901026,60.8825111,19.319299697875977,0.1530030071735382,1.4627100229263306,19.107099533081055,0.15790000557899475,2.8519699573516846,18.083999633789062,0.11100000143051147,7.804999828338623,0.5690000057220459,0.020524999126791954,-0.2122499942779541,1.7799999713897705,0.9710000157356262,536.7039794921875,1.2305699586868286,1.3229199647903442,0.7730000019073486,0.625,0.4342699944972992,0.35112398862838745,1.236799955368042,6.0,0.0,0.8785709738731384,0.9498370289802551,19.034099578857422,0.18199999630451202,264.4916737,60.8827533,9.00834,26.244400024414062,4.134789833187824e-06,0.02532069943845272,0.09988389909267426,7.038529929559445e-06,t17_f5_c3,ZTF23aaawbre
2460093.8658912,2,2339365896215,20.224899291992188,/ztf/archive/sci/2023/0529/365868/ztf_20230529365868_001831_zr_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2339,62,1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.145000457763672,5.433560090750689e-06,0.02794479951262474,0.10135100036859512,9.3118997028796e-06,t17_f5_c3,ZTF23aaawbre
2460093.9060185,2,2339406011815,20.74570083618164,/ztf/archive/sci/2023/0529/406007/ztf_20230529406007_000825_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.339406011815015e+18,t,3.0,2339,18,825,2230.550048828125,860.7949829101562,264.4901682,60.8825082,19.392000198364258,0.11784400045871735,3.0260701179504395,19.316200256347656,0.15000000596046448,3.989490032196045,17.4060001373291,0.0989999994635582,6.335999965667725,0.5770000219345093,0.447160005569458,-0.07577300071716309,1.1557400226593018,0.9559999704360962,841.9539794921875,1.4294999837875366,2.0,0.5709999799728394,0.5440000295639038,0.49405398964881897,0.4706929922103882,1.049630045890808,3.0,0.0,0.8199999928474426,1.0,19.167200088500977,0.1581999957561493,264.4895951,60.8835943,7.12506,26.277000427246094,3.6851099594059633e-06,0.0231516994535923,0.09304220229387283,6.028620191500522e-06,t17_f5_c3,ZTF23aaawbre
2460093.9489931,1,2339448991815,20.97480010986328,/ztf/archive/sci/2023/0529/448993/ztf_20230529448993_000825_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.339448991815015e+18,t,6.0,2339,18,825,2230.93994140625,864.7119750976562,264.4901361,60.8825146,19.992799758911133,0.15205900371074677,1.541260004043579,19.7721004486084,0.1687999963760376,3.1763899326324463,18.56800079345703,0.08500000089406967,7.715000152587891,0.33799999952316284,0.4756320118904114,-0.2207469940185547,2.930000066757202,0.9549999833106995,841.5570068359375,1.2026599645614624,0.858564019203186,0.8040000200271606,0.6790000200271606,0.27440300583839417,0.23174099624156952,1.1840900182724,1.0,0.0,0.8385710120201111,1.0,19.785999298095703,0.2070000022649765,264.4915967,60.8830536,8.35973,26.278799057006836,6.855259925941937e-06,0.03158960118889809,-0.11980699747800827,1.1199799700989388e-05,t17_f5_c3,ZTF23aaawbre
2460094.8380556,1,2340338055015,20.21649932861328,/ztf/archive/sci/2023/0530/338056/ztf_20230530338056_001830_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.340338055015015e+18,t,6.0,2340,50,1830,551.8889770507812,1538.530029296875,264.4901067,60.8825773,19.872100830078125,0.21410399675369263,1.7630900144577026,19.793699264526367,0.3046000003814697,3.0089900493621826,18.56999969482422,0.12300000339746475,5.507999897003174,0.628000020980835,-0.1774269938468933,-0.07836399972438812,1.1571099758148193,0.996999979019165,551.8889770507812,0.42277100682258606,2.0,0.9079999923706055,0.7440000176429749,0.7847139835357666,0.642982006072998,1.2204300165176392,5.0,0.0,0.7671430110931396,0.9482960104942322,20.076900482177734,0.4984999895095825,264.4908189,60.8833481,7.63053,26.33810043334961,7.07555000190041e-06,0.032312698662281036,-0.040135301649570465,1.283229994442081e-05,t17_f5_c3,ZTF23aaawbre
2460094.8451736,1,2340345176215,20.201799392700195,/ztf/archive/sci/2023/0530/345150/ztf_20230530345150_001831_zg_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.340345176215015e+18,t,8.0,2340,62,1831,1488.510009765625,1467.22998046875,264.4902154,60.8824756,19.882400512695312,0.1908150017261505,1.5644700527191162,20.290199279785156,0.4668999910354614,3.871000051498413,18.1200008392334,0.0989999994635582,6.938000202178955,0.5830000042915344,-0.48271000385284424,0.40777599811553955,2.390000104904175,0.9610000252723694,1467.22998046875,-0.08841700106859207,1.039870023727417,0.7170000076293945,0.6389999985694885,0.30000001192092896,0.2673639953136444,1.1220699548721313,5.0,0.0,0.8557140231132507,0.9894329905509949,19.82979965209961,0.38449999690055847,264.4895593,60.8835156,6.57944,26.220399856567383,6.992960152274463e-06,0.0315948985517025,-0.04259900003671646,1.2309799785725772e-05,t17_f5_c3,ZTF23aaawbre
2460097.7257755,2,2343225771815,19.797399520874023,/ztf/archive/sci/2023/0602/225764/ztf_20230602225764_000825_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2343,18,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2549991607666,4.141209956287639e-06,0.024655599147081375,0.10197500139474869,6.8335798459884245e-06,t17_f5_c3,ZTF23aaawbre
2460097.7819792,2,2343281975015,19.776100158691406,/ztf/archive/sci/2023/0602/281968/ztf_20230602281968_001830_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.343281975015015e+18,t,5.0,2343,50,1830,531.0759887695312,1534.699951171875,264.4901727,60.8825436,19.68950080871582,0.23003999888896942,1.9652600288391113,19.592500686645508,0.392300009727478,2.7005701065063477,18.083999633789062,0.11100000143051147,7.804999828338623,0.5690000057220459,-0.2201710045337677,-0.09696800261735916,1.1054699420928955,0.9959999918937683,531.0759887695312,0.18361200392246246,2.0,0.47999998927116394,0.36899998784065247,0.43420499563217163,0.3337950110435486,1.3008099794387817,9.0,0.0,0.6742860078811646,0.6124039888381958,19.572799682617188,0.4878000020980835,264.4916737,60.8827533,6.26724,26.228500366210938,5.375260116124991e-06,0.02886980026960373,0.10395099967718124,9.106360266741831e-06,t17_f5_c3,ZTF23aaawbre
2460097.7848148,2,2343284816215,19.72089958190918,/ztf/archive/sci/2023/0602/284803/ztf_20230602284803_001831_zr_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2343,62,1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.121400833129883,9.271890121453907e-06,0.03635210171341896,0.10028199851512909,1.6087300537037663e-05,t17_f5_c3,ZTF23aaawbre
2460097.9156597,3,2343415651815,19.478900909423828,/ztf/archive/sci/2023/0602/415544/ztf_20230602415544_000825_zi_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.343415651815015e+18,t,3.0,2343,18,825,2220.030029296875,869.1489868164062,264.4901406,60.8825057,19.10569953918457,0.17531999945640564,1.4716299772262573,18.247699737548828,0.14419999718666077,3.2407400608062744,17.976999282836914,0.13699999451637268,8.545000076293945,0.7919999957084656,-0.04118400067090988,-0.8580080270767212,2.8499999046325684,0.9980000257492065,852.4660034179688,1.231160044670105,0.8205789923667908,0.9359999895095825,0.7200000286102295,0.3284209966659546,0.2526319921016693,1.2999999523162842,2.0,0.0,0.42714300751686096,1.0,18.32859992980957,0.1956000030040741,264.4919918,60.8826375,6.89236,25.72170066833496,1.2881199609182659e-06,0.02067280001938343,0.1835460066795349,6.8564099819923285e-06,t17_f5_c3,ZTF23aaawbre
2460097.9539236,1,2343453921815,20.202199935913086,/ztf/archive/sci/2023/0602/453588/ztf_20230602453588_000825_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.343453921815015e+18,t,1.0,2343,18,825,2236.590087890625,862.8380126953125,264.4901568,60.882543,19.87420082092285,0.23890900611877441,1.6914499998092651,20.702899932861328,0.697700023651123,3.082520008087158,18.56800079345703,0.08500000089406967,7.715000152587891,0.33799999952316284,0.24216799437999725,0.8287439942359924,1.185420036315918,0.9350000023841858,835.9119873046875,-0.50074702501297,2.0,0.6140000224113464,0.4970000088214874,0.5179610252380371,0.41926199197769165,1.2354099750518799,8.0,0.0,0.701429009437561,0.7739310264587402,20.55069923400879,0.7656999826431274,264.4915967,60.8830536,8.1863,26.25119972229004,6.332640168693615e-06,0.030232099816203117,-0.07382210344076157,1.0703100087994244e-05,t17_f5_c3,ZTF23aaawbre
2460098.7794676,1,2344279461815,19.475799560546875,/ztf/archive/sci/2023/0603/279456/ztf_20230603279456_000825_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2344,18,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.248300552368164,1.1060100405302364e-05,0.03630189970135689,-0.05350879952311516,2.2525600797962397e-05,t17_f5_c3,ZTF23aaawbre
2460098.807419,2,2344307411815,19.815799713134766,/ztf/archive/sci/2023/0603/307384/ztf_20230603307384_000825_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.344307411815015e+18,t,1.0,2344,18,825,2220.159912109375,854.0070190429688,264.4902469,60.8825142,19.060400009155273,0.1154630035161972,1.013159990310669,18.903200149536133,0.19349999725818634,4.002620220184326,17.4060001373291,0.0989999994635582,6.335999965667725,0.5770000219345093,-0.005841000005602837,-0.15717299282550812,2.5899999141693115,1.0,852.343994140625,0.9126129746437073,0.8892959952354431,0.6520000100135803,0.5410000085830688,0.25173699855804443,0.2088800072669983,1.205180048942566,5.0,0.0,0.8757140040397644,0.9652029871940613,19.191999435424805,0.3190000057220459,264.4895951,60.8835943,10.2405,26.27239990234375,4.246259777573869e-06,0.02490920014679432,0.10046300292015076,6.968130037421361e-06,t17_f5_c3,ZTF23aaawbre
2460098.8618287,2,2344361821815,19.796199798583984,/ztf/archive/sci/2023/0603/361817/ztf_20230603361817_000825_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.344361821815015e+18,t,0.0,2344,18,825,2242.2900390625,856.7620239257812,264.490229,60.8824536,19.16860008239746,0.1507990062236786,2.305720090866089,18.743799209594727,0.16580000519752502,4.20035982131958,17.4060001373291,0.0989999994635582,6.335999965667725,0.5770000219345093,0.41620299220085144,-0.42483100295066833,2.4200000762939453,0.9829999804496765,830.2119750976562,1.0523600578308105,0.9774799942970276,0.9900000095367432,0.902999997138977,0.4090909957885742,0.37314000725746155,1.0963499546051025,2.0,0.0,0.6885709762573242,1.0,18.72719955444336,0.20640000700950623,264.4895951,60.8835943,7.17542,26.274599075317383,5.16991985932691e-06,0.027581600472331047,0.10724399983882904,8.486200385959819e-06,t17_f5_c3,ZTF23aaawbre
2460098.9470833,1,2344447081815,19.712600708007812,/ztf/archive/sci/2023/0603/447025/ztf_20230603447025_000825_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.344447081815015e+18,t,1.0,2344,18,825,2226.429931640625,861.1019897460938,264.4903855,60.8824698,19.9242000579834,0.27330300211906433,1.2739399671554565,19.569799423217773,0.3549000024795532,2.948080062866211,18.56800079345703,0.08500000089406967,7.715000152587891,0.33799999952316284,-0.08547999709844589,-0.3543980121612549,2.3499999046325684,0.984000027179718,846.0709838867188,0.14277499914169312,1.0488799810409546,0.949999988079071,0.6639999747276306,0.4042550027370453,0.2825529873371124,1.4307199716567993,3.0,0.0,0.6571429967880249,1.0,19.34980010986328,0.3700000047683716,264.4915967,60.8830536,5.72581,26.289199829101562,1.0240300071018282e-05,0.03621299937367439,-0.08031609654426575,1.9356499251443893e-05,t17_f5_c3,ZTF23aaawbre
2460099.7046412,1,2345204641815,18.894399642944336,/ztf/archive/sci/2023/0604/204606/ztf_20230604204606_000825_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2345,18,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.201499938964844,2.696599949558731e-05,0.04143080115318298,-0.05547130107879639,6.955370190553367e-05,t17_f5_c3,ZTF23aaawbre
2460099.7384491,2,2345238441815,19.48900032043457,/ztf/archive/sci/2023/0604/238102/ztf_20230604238102_000825_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.345238441815015e+18,t,2.0,2345,18,825,2229.590087890625,820.7470092773438,264.4902398,60.8825109,19.12660026550293,0.12969599664211273,1.1594200134277344,18.964500427246094,0.24300000071525574,4.010890007019043,17.4060001373291,0.0989999994635582,6.335999965667725,0.5770000219345093,0.2899340093135834,-0.16207200288772583,2.9200000762939453,0.9549999833106995,820.7470092773438,0.5245029926300049,0.8793740272521973,0.7540000081062317,0.7099999785423279,0.25821900367736816,0.243150994181633,1.0619699954986572,5.0,0.0,0.8771430253982544,0.8904510140419006,19.348800659179688,0.43970000743865967,264.4895951,60.8835943,6.26867,26.255599975585938,4.765290213981643e-06,0.026350999251008034,0.10147599875926971,7.836480108380783e-06,t17_f5_c3,ZTF23aaawbre
2460099.9050694,2,2345405061815,19.625,/ztf/archive/sci/2023/0604/405069/ztf_20230604405069_000825_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.345405061815015e+18,t,0.0,2345,18,825,2242.639892578125,843.0330200195312,264.4901853,60.882491,19.214799880981445,0.1367270052433014,1.1463600397109985,19.181499481201172,0.27129998803138733,4.052609920501709,17.4060001373291,0.0989999994635582,6.335999965667725,0.5770000219345093,0.9805930256843567,-0.03334600105881691,1.7999999523162842,0.9670000076293945,829.8610229492188,0.4435110092163086,1.3877500295639038,0.7720000147819519,0.7170000076293945,0.4288890063762665,0.39833301305770874,1.0767099857330322,2.0,0.0,0.9285709857940674,0.9998229742050171,19.488300323486328,0.4562000036239624,264.4895951,60.8835943,7.76803,26.27280044555664,3.957979970437009e-06,0.02415109984576702,0.09917599707841873,6.504470093204873e-06,t17_f5_c3,ZTF23aaawbre
2460100.7020486,1,2346202041815,19.65369987487793,/ztf/archive/sci/2023/0605/202025/ztf_20230605202025_000825_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2346,18,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2091007232666,1.1796800208685454e-05,0.03889460116624832,-0.053624700754880905,2.2599100702791475e-05,t17_f5_c3,ZTF23aaawbre
2460100.7053588,1,2346205351815,19.606000900268555,/ztf/archive/sci/2023/0605/205347/ztf_20230605205347_000825_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.346205351815015e+18,t,3.0,2346,18,825,2269.469970703125,821.9359741210938,264.4903418,60.8825266,19.570600509643555,0.1818239986896515,0.9428970217704773,19.153400421142578,0.25279998779296875,2.862380027770996,18.56800079345703,0.08500000089406967,7.715000152587891,0.33799999952316284,0.37772101163864136,-0.41722699999809265,3.380000114440918,0.9589999914169312,803.0289916992188,0.45263200998306274,0.7705339789390564,0.8320000171661377,0.7789999842643738,0.24615399539470673,0.23047299683094025,1.0680400133132935,3.0,0.0,0.7628570199012756,1.0,19.10919952392578,0.3093000054359436,264.4915967,60.8830536,7.46126,26.226600646972656,1.0769200343929697e-05,0.036869000643491745,-0.07294759899377823,2.0812700313399546e-05,t17_f5_c3,ZTF23aaawbre
2460100.7588542,2,2346258851815,19.84440040588379,/ztf/archive/sci/2023/0605/258773/ztf_20230605258773_000825_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.346258851815015e+18,t,0.0,2346,18,825,2238.070068359375,832.1749877929688,264.4901434,60.8825222,19.194000244140625,0.10908400267362595,0.7539420127868652,18.967100143432617,0.19439999759197235,3.9275400638580322,17.4060001373291,0.0989999994635582,6.335999965667725,0.5770000219345093,0.388839989900589,-0.2269189953804016,1.1933799982070923,0.9919999837875366,832.1749877929688,0.877286970615387,2.0,0.7059999704360962,0.6629999876022339,0.5915960073471069,0.5555639863014221,1.0648599863052368,3.0,0.0,0.8700000047683716,1.0,19.094600677490234,0.27570000290870667,264.4895951,60.8835943,8.13277,26.270000457763672,4.454990175872808e-06,0.025577900931239128,0.10107500106096268,7.31486989025143e-06,t17_f5_c3,ZTF23aaawbre
2460100.7896644,2,2346289661815,19.910400390625,/ztf/archive/sci/2023/0605/289664/ztf_20230605289664_000825_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.346289661815015e+18,t,2.0,2346,18,825,2261.6298828125,842.5889892578125,264.4901809,60.8825013,19.19849967956543,0.12472300231456757,2.1814498901367188,19.475299835205078,0.3052999973297119,4.022590160369873,17.4060001373291,0.0989999994635582,6.335999965667725,0.5770000219345093,0.45141398906707764,0.2768389880657196,2.319999933242798,1.0,810.8660278320312,0.4350860118865967,0.9856749773025513,0.6830000281333923,0.6100000143051147,0.2943969964981079,0.2629309892654419,1.119670033454895,3.0,0.0,0.9042860269546509,1.0,19.23590087890625,0.3093000054359436,264.4895951,60.8835943,7.52318,26.26449966430664,3.8095799936854746e-06,0.02377130091190338,0.10962600260972977,6.229160135262646e-06,t17_f5_c3,ZTF23aaawbre
2460100.9100463,3,2346410041815,19.58049964904785,/ztf/archive/sci/2023/0605/410035/ztf_20230605410035_000825_zi_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.346410041815015e+18,t,0.0,2346,18,825,2248.510009765625,849.7849731445312,264.4902008,60.8824895,18.919099807739258,0.13574199378490448,2.354449987411499,18.87649917602539,0.2612999975681305,3.1433498859405518,17.976999282836914,0.13699999451637268,8.545000076293945,0.7919999957084656,-0.5627869963645935,-0.04259999841451645,1.0437599420547485,0.9670000076293945,823.9929809570312,0.7040320038795471,2.0,0.5740000009536743,0.49300000071525574,0.549934983253479,0.4723309874534607,1.1642999649047852,6.0,0.0,0.7785710096359253,0.9139879941940308,18.846500396728516,0.3208000063896179,264.4919918,60.8826375,8.69616,25.712099075317383,1.4652199524789467e-06,0.022303100675344467,0.18913599848747253,7.580680176033638e-06,t17_f5_c3,ZTF23aaawbre
