jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459992.8392014,1,2238339204015,18.061100006103516,/ztf/archive/sci/2023/0217/339190/ztf_20230217339190_000470_zg_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2238,40,470,24.78820037841797,0.00016236699593719095,0.04113439843058586,-0.05847930163145065,0.0003606080135796219,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aadgjcc
2459992.8595255,2,2238359524015,17.569400787353516,/ztf/archive/sci/2023/0217/359514/ztf_20230217359514_000470_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2238,40,470,24.630199432373047,0.00014274900604505092,0.0473484992980957,0.09101259708404541,0.00025790100335143507,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aadgjcc
2459996.8797569,1,2242379754015,16.43160057067871,/ztf/archive/sci/2023/0221/379757/ztf_20230221379757_000470_zg_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2242,40,470,22.50480079650879,0.005109449848532677,0.03996780142188072,0.09866800159215927,0.016074199229478836,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aadgjcc
2460016.7375116,2,2262237514015,18.932199478149414,/ztf/archive/sci/2023/0313/237500/ztf_20230313237500_000470_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2262,40,470,25.08300018310547,2.767750083876308e-05,0.04175959900021553,0.12419400364160538,4.1264000174123794e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aadgjcc
2460020.7271528,1,2266227154015,20.614500045776367,/ztf/archive/sci/2023/0317/227153/ztf_20230317227153_000470_zg_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2266,40,470,26.352800369262695,1.2151999726484064e-05,0.02796100080013275,-0.0556023009121418,1.827669984777458e-05,t17_f5_c3,2.266227154015015e+18,1,32.0,1684.219970703125,2488.419921875,164.3806331,5.6990197,18.176799774169922,0.06115499883890152,5.624720096588135,18.171100616455078,0.050999999046325684,3.0020298957824707,16.905000686645508,0.057999998331069946,5.264999866485596,0.4090000092983246,-0.14913900196552277,-0.005681999959051609,3.380000114440918,0.9829999804496765,592.0819702148438,2.443380117416382,0.755316972732544,0.8309999704360962,0.8259999752044678,0.24585799872875214,0.24437899887561798,1.0060499906539917,0.0,0.0,0.8428570032119751,1.0,18.26140022277832,0.06729999929666519,164.37984,5.6987181,14.5269,ZTF23aadgjcc
2460020.7271528,1,2266227154015,20.614500045776367,/ztf/archive/sci/2023/0317/227153/ztf_20230317227153_000470_zg_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2266,40,470,26.352800369262695,1.2151999726484064e-05,0.02796100080013275,-0.0556023009121418,1.827669984777458e-05,t17_f5_c3,2.266227154015015e+18,t,32.0,1684.219970703125,2488.419921875,164.3806331,5.6990197,18.176799774169922,0.06115499883890152,5.624720096588135,18.171100616455078,0.050999999046325684,3.0020298957824707,16.905000686645508,0.057999998331069946,5.264999866485596,0.4090000092983246,-0.14913900196552277,-0.005681999959051609,3.380000114440918,0.9829999804496765,592.0819702148438,2.443380117416382,0.755316972732544,0.8309999704360962,0.8259999752044678,0.24585799872875214,0.24437899887561798,1.0060499906539917,0.0,0.0,0.8428570032119751,1.0,18.26140022277832,0.06729999929666519,164.37984,5.6987181,14.5269,ZTF23aadgjcc
2460020.8004861,2,2266300484015,20.664199829101562,/ztf/archive/sci/2023/0317/300475/ztf_20230317300475_000470_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2266,40,470,26.416000366210938,7.726540388830472e-06,0.022205900400877,0.11730799823999405,1.1436000022513326e-05,t17_f5_c3,2.266300484015015e+18,t,37.0,1692.6800537109375,2494.14990234375,164.3806518,5.6990217,18.261999130249023,0.08500800281763077,7.414229869842529,18.348100662231445,0.07010000199079514,3.3826498985290527,16.06599998474121,0.0729999989271164,5.934000015258789,0.43299999833106995,0.3365260064601898,0.08609399944543839,2.700000047683716,0.9829999804496765,586.3480224609375,2.3160901069641113,0.8621569871902466,0.777999997138977,0.6880000233650208,0.2881479859352112,0.254815012216568,1.130810022354126,3.0,0.0,0.8157140016555786,1.0,18.418500900268555,0.08910000324249268,164.3797573,5.6986853,8.43221,ZTF23aadgjcc
2460021.7668287,1,2267266820015,17.412399291992188,/ztf/archive/sci/2023/0318/266817/ztf_20230318266817_001516_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2267,0,1516,23.66160011291504,0.0004850790137425065,0.07356979697942734,-0.02637070044875145,0.0010878300527110696,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aadgjcc
2460021.7878472,1,2267287841315,20.59760093688965,/ztf/archive/sci/2023/0318/287789/ztf_20230318287789_001517_zg_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2267,13,1517,26.290300369262695,2.4423899958492257e-05,0.03805899992585182,-0.066982202231884,3.453919998719357e-05,t17_f5_c3,2.267287841315015e+18,t,15.0,2378.389892578125,1618.9100341796875,164.3806928,5.6989813,18.25629997253418,0.05739299952983856,7.20419979095459,18.31879997253418,0.05869999900460243,3.213789939880371,16.97599983215332,0.04699999839067459,4.53000020980835,0.19499999284744263,1.5718599557876587,0.062481001019477844,3.0999999046325684,0.9829999804496765,694.1060180664062,2.2787699699401855,0.848691999912262,0.7630000114440918,0.7450000047683716,0.24612900614738464,0.240323007106781,1.0241600275039673,1.0,0.0,0.8714290261268616,1.0,18.3533992767334,0.07320000231266022,164.3798235,5.6987193,15.372,ZTF23aadgjcc
2460031.7126157,1,2277212614015,20.00200080871582,/ztf/archive/sci/2023/0328/212604/ztf_20230328212604_000470_zg_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2277,40,470,26.377199172973633,1.8053500753012486e-05,0.03318379819393158,-0.050286099314689636,2.9451099180732854e-05,t17_f5_c3,2.277212614015015e+18,t,13.0,1680.3699951171875,2499.31005859375,164.3806428,5.6990042,18.963199615478516,0.13019900023937225,1.5563199520111084,19.290700912475586,0.18520000576972961,3.016129970550537,16.905000686645508,0.057999998331069946,5.264999866485596,0.4090000092983246,0.26229798793792725,0.327455997467041,3.440000057220459,0.8930000066757202,581.1900024414062,0.711329996585846,0.8742169737815857,0.9129999876022339,0.8870000243186951,0.265406996011734,0.2578490078449249,1.0293099880218506,0.0,0.0,0.807142972946167,1.0,19.210500717163086,0.21610000729560852,164.37984,5.6987181,5.85354,ZTF23aadgjcc
2460031.7985764,2,2277298574015,20.303699493408203,/ztf/archive/sci/2023/0328/298576/ztf_20230328298576_000470_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2277,40,470,26.350099563598633,1.0993299838446546e-05,0.02627040073275566,0.12587599456310272,1.629879989195615e-05,t17_f5_c3,2.277298574015015e+18,t,18.0,1683.1800537109375,2503.719970703125,164.3806128,5.6989807,18.534099578857422,0.0981689989566803,4.112800121307373,18.620500564575195,0.10909999907016754,3.2061901092529297,16.06599998474121,0.0729999989271164,5.934000015258789,0.43299999833106995,0.2116989940404892,0.08635199815034866,1.1814099550247192,0.9629999995231628,576.7780151367188,1.6831899881362915,2.0,0.8659999966621399,0.7699999809265137,0.7330189943313599,0.651760995388031,1.1246800422668457,0.0,0.0,0.7271429896354675,1.0,18.596599578857422,0.13019999861717224,164.3797573,5.6986853,6.3042,ZTF23aadgjcc
