jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460044.6540394,1,2290154036015,20.54010009765625,/ztf/archive/sci/2023/0410/154039/ztf_20230410154039_000569_zg_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2290,60,569,26.25040054321289,7.707630174991209e-06,0.026134999468922615,-0.0745168998837471,1.1587399967538659e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aaiyamo
2460044.6748843,2,2290174886015,20.396699905395508,/ztf/archive/sci/2023/0410/174884/ztf_20230410174884_000569_zr_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2290,60,569,26.140899658203125,5.820560090796789e-06,0.022760000079870224,0.09823150187730789,8.760260243434459e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aaiyamo
2460046.6554745,2,2292155476015,20.398399353027344,/ztf/archive/sci/2023/0412/155475/ztf_20230412155475_000569_zr_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2292,60,569,26.02440071105957,8.344750312971883e-06,0.027407800778746605,0.09949260205030441,1.2581400369526818e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aaiyamo
2460046.6950694,1,2292195066015,20.713699340820312,/ztf/archive/sci/2023/0412/195069/ztf_20230412195069_000569_zg_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2292,60,569,26.19879913330078,6.824349839007482e-06,0.024653799831867218,-0.06646329909563065,1.0415299584565219e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aaiyamo
2460050.6724421,1,2296172446015,20.497900009155273,/ztf/archive/sci/2023/0416/172419/ztf_20230416172419_000569_zg_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2296,60,569,26.203100204467773,9.315819625044242e-06,0.02872540056705475,-0.07349489629268646,1.3973900422570296e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aaiyamo
2460050.7052662,2,2296205266015,20.38719940185547,/ztf/archive/sci/2023/0416/205266/ztf_20230416205266_000569_zr_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2296,60,569,26.11910057067871,5.758619863627246e-06,0.022571099922060966,0.09811539947986603,8.612610145064536e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aaiyamo
2460052.733669,1,2298233666015,20.717500686645508,/ztf/archive/sci/2023/0418/233646/ztf_20230418233646_000569_zg_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2298,60,569,26.18589973449707,8.085679837677162e-06,0.02690719999372959,-0.07421930134296417,1.2194300325063523e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aaiyamo
2460054.6753704,1,2300175376015,20.465700149536133,/ztf/archive/sci/2023/0420/175370/ztf_20230420175370_000569_zg_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2300,60,569,26.196199417114258,8.981860446510836e-06,0.02835090085864067,-0.05552159994840622,1.3644000318890903e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aaiyamo
2460056.6839468,2,2302183946015,20.304100036621094,/ztf/archive/sci/2023/0422/183947/ztf_20230422183947_000569_zr_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2302,60,569,26.13909912109375,5.312730081641348e-06,0.021828200668096542,0.09684769809246063,7.96332005847944e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aaiyamo
2460056.7036111,1,2302203616015,20.582799911499023,/ztf/archive/sci/2023/0422/203600/ztf_20230422203600_000569_zg_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2302,60,569,26.211599349975586,9.010100257000886e-06,0.028492499142885208,-0.05991930142045021,1.3752000086242333e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aaiyamo
