jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460182.6931134,3,2428193112615,19.773099899291992,/ztf/archive/sci/2023/0826/193079/ztf_20230826193079_000875_zi_c07_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.428193112615015e+18,t,5.0,2428,26,875,1400.6300048828125,2790.75,250.53821,81.9323418,15.94629955291748,0.03725700080394745,140.1009979248047,15.917699813842773,0.014000000432133675,0.2158920019865036,20.871999740600586,0.09099999815225601,0.8980000019073486,-0.13099999725818634,-0.1289840042591095,-0.02861100062727928,1.9299999475479126,0.9869999885559082,289.7460021972656,3.8553900718688965,1.167549967765808,0.6449999809265137,0.5709999799728394,0.3341970145702362,0.29585498571395874,1.1296000480651855,0.0,0.0,0.8828570246696472,1.0,15.910799980163574,0.017100000753998756,250.5377777,81.9323371,92.106,25.713300704956055,2.456499942127266e-06,0.023990899324417114,0.17758600413799286,1.2095700185454916e-05,t17_f5_c3,ZTF23aavlnot
2460183.8206366,1,2429320632615,19.731199264526367,/ztf/archive/sci/2023/0827/320625/ztf_20230827320625_000875_zg_c07_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2429,26,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.26810073852539,1.3987600141263101e-05,0.03453269973397255,-0.10533300042152405,2.432670044072438e-05,t17_f5_c3,ZTF23aavlnot
2460183.8385532,2,2429338552615,20.12980079650879,/ztf/archive/sci/2023/0827/338507/ztf_20230827338507_000875_zr_c07_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2429,26,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.291099548339844,6.449869943025988e-06,0.025310799479484558,0.09877510368824005,9.882720405585133e-06,t17_f5_c3,ZTF23aavlnot
2460185.6760185,1,2431176012615,19.617599487304688,/ztf/archive/sci/2023/0829/175972/ztf_20230829175972_000875_zg_c07_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2431,26,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.29050064086914,1.7893800759338774e-05,0.03728890046477318,-0.09617669880390167,3.326819933135994e-05,t17_f5_c3,ZTF23aavlnot
2460185.7155556,2,2431215552615,19.92930030822754,/ztf/archive/sci/2023/0829/215475/ztf_20230829215475_000875_zr_c07_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2431,26,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.295000076293945,8.119660378724802e-06,0.02839219942688942,0.08967979997396469,1.2475000403355807e-05,t17_f5_c3,ZTF23aavlnot
2460186.6669213,3,2432166922615,19.424400329589844,/ztf/archive/sci/2023/0830/166898/ztf_20230830166898_000875_zi_c07_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2432,26,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.697900772094727,2.3684099232923472e-06,0.02338859997689724,0.17090800404548645,1.1783499758166727e-05,t17_f5_c3,ZTF23aavlnot
2460187.6669792,1,2433166972615,19.407800674438477,/ztf/archive/sci/2023/0831/166933/ztf_20230831166933_000875_zg_c07_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2433,26,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.278600692749023,1.8993800040334463e-05,0.03653940185904503,-0.11521399766206741,3.7774498196085915e-05,t17_f5_c3,ZTF23aavlnot
2460187.7183333,2,2433218332615,19.613800048828125,/ztf/archive/sci/2023/0831/218322/ztf_20230831218322_000875_zr_c07_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.433218332615015e+18,t,36.0,2433,26,875,1403.530029296875,2795.43994140625,250.538194,81.9323442,15.897299766540527,0.021236000582575798,311.22100830078125,15.89430046081543,0.014399999752640724,0.05594800040125847,20.638999938964844,0.1420000046491623,0.29600000381469727,-0.05299999937415123,34.28219985961914,-0.002959999954327941,2.1500000953674316,0.9940000176429749,285.0580139160156,3.7195301055908203,1.0776499509811401,0.6690000295639038,0.6549999713897705,0.3111630082130432,0.3046509921550751,1.0213700532913208,1.0,0.0,0.6871430277824402,1.0,15.866299629211426,0.01759999990463257,250.5381945,81.9323266,127.556,26.27829933166504,9.491330274613574e-06,0.030737299472093582,0.09864159673452377,1.4630099940404762e-05,t17_f5_c3,ZTF23aavlnot
2460192.83375,1,2438333742615,19.653400421142578,/ztf/archive/sci/2023/0905/333657/ztf_20230905333657_000875_zg_c07_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2438,26,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.184200286865234,1.4440500308410265e-05,0.03438720107078552,-0.0494890995323658,2.6075000278069638e-05,t17_f5_c3,ZTF23aavlnot
2460194.7128356,2,2440212832615,20.339599609375,/ztf/archive/sci/2023/0907/212720/ztf_20230907212720_000875_zr_c07_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2440,26,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.30389976501465,5.428769782156451e-06,0.023016000166535378,0.09796500205993652,8.315069862874225e-06,t17_f5_c3,ZTF23aavlnot
