jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460133.9096991,2,2379409690915,20.00790023803711,/ztf/archive/sci/2023/0708/409699/ztf_20230708409699_000697_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2379,9,697,26.204700469970703,2.3307100036618067e-06,0.02234180085361004,0.10023699700832367,4.179680217930581e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aavxxef
2460133.9596528,1,2379459650915,19.956199645996094,/ztf/archive/sci/2023/0708/459595/ztf_20230708459595_000697_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2379,9,697,26.354000091552734,5.53146992388065e-06,0.03265979886054993,-0.09613659977912903,1.1048599844798446e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aavxxef
2460139.9141551,3,2385414150915,19.48579978942871,/ztf/archive/sci/2023/0714/413993/ztf_20230714413993_000697_zi_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2385,9,697,25.567699432373047,1.201179998133739e-06,0.02441670000553131,0.1853410005569458,7.429619927279418e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aavxxef
2460143.9642824,3,2389464280915,19.997499465942383,/ztf/archive/sci/2023/0718/464282/ztf_20230718464282_000697_zi_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2389,9,697,25.57360076904297,6.822249929427926e-07,0.01830960065126419,0.19053900241851807,4.177240043645725e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aavxxef
2460147.9291667,3,2393429160915,19.751699447631836,/ztf/archive/sci/2023/0722/429167/ztf_20230722429167_000697_zi_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2393,9,697,25.485300064086914,1.2581200508066104e-06,0.024575600400567055,0.18314500153064728,7.995629857759923e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aavxxef
2460149.9221875,2,2395422180915,20.573999404907227,/ztf/archive/sci/2023/0724/422176/ztf_20230724422176_000697_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2395,9,697,26.224599838256836,2.192170086345868e-06,0.021607600152492523,0.09163620322942734,3.940710030292394e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aavxxef
2460149.9496065,1,2395449600915,20.635099411010742,/ztf/archive/sci/2023/0724/449572/ztf_20230724449572_000697_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2395,9,697,26.360000610351562,3.5458199363347376e-06,0.027431899681687355,-0.10756199806928635,6.442549874918768e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aavxxef
2460150.9639352,3,2396463930915,19.98780059814453,/ztf/archive/sci/2023/0725/463935/ztf_20230725463935_000697_zi_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2396,9,697,25.546499252319336,7.954399734444451e-07,0.019677599892020226,0.1892170011997223,4.979290224582655e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aavxxef
2460151.9114583,2,2397411450915,20.481599807739258,/ztf/archive/sci/2023/0726/411447/ztf_20230726411447_000697_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2397,9,697,26.20050048828125,2.1148200630705105e-06,0.0210059005767107,0.09039019793272018,3.808270093941246e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aavxxef
2460151.969456,1,2397469450915,20.786699295043945,/ztf/archive/sci/2023/0726/469444/ztf_20230726469444_000697_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2397,9,697,26.333999633789062,2.7216899525228655e-06,0.024159599095582962,-0.0809893012046814,4.9362001846020576e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aavxxef
2460155.9118866,3,2401411880915,19.781700134277344,/ztf/archive/sci/2023/0730/411887/ztf_20230730411887_000697_zi_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2401,9,697,25.54949951171875,1.2254499779373873e-06,0.024338899180293083,0.18482400476932526,7.63731986808125e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aavxxef
2460157.9303241,2,2403430320915,17.788400650024414,/ztf/archive/sci/2023/0801/430185/ztf_20230801430185_000697_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2403,9,697,25.33489990234375,0.00021169900719542056,0.18138299882411957,0.113816998898983,0.0004150989989284426,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aavxxef
2460157.9705324,1,2403470530915,19.50819969177246,/ztf/archive/sci/2023/0801/470532/ztf_20230801470532_000697_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2403,9,697,26.355199813842773,8.361430445802398e-06,0.03632749989628792,-0.09886609762907028,1.962450005521532e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aavxxef
2460159.9267361,3,2405426730915,19.584699630737305,/ztf/archive/sci/2023/0803/426725/ztf_20230803426725_000697_zi_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2405,9,697,25.60580062866211,9.383959991282609e-07,0.021470900624990463,0.18775999546051025,5.835569936607499e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aavxxef
2460160.910162,1,2406410160915,19.696199417114258,/ztf/archive/sci/2023/0804/410162/ztf_20230804410162_000697_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2406,9,697,26.369400024414062,7.3038600021391176e-06,0.035484299063682556,-0.06069109961390495,1.61853004101431e-05,t17_f5_c3,2.406410160915015e+18,t,0.0,2683.699951171875,198.927001953125,26.7983207,38.4767094,19.696399688720703,0.25088798999786377,1.3313900232315063,20.130399703979492,0.5310999751091003,0.8131240010261536,20.215999603271484,0.05900000035762787,2.3410000801086426,0.14800000190734863,0.5781159996986389,0.4340380132198334,1.9299999475479126,0.9729999899864197,198.927001953125,-0.4342299997806549,1.412060022354126,0.6629999876022339,0.5299999713897705,0.3435229957103729,0.2746109962463379,1.250939965248108,10.0,0.0,0.7357140183448792,0.7141479849815369,20.165199279785156,0.7045000195503235,26.7985576,38.4765793,9.27515,ZTF23aavxxef
2460160.946331,2,2406446330915,19.95989990234375,/ztf/archive/sci/2023/0804/446319/ztf_20230804446319_000697_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2406,9,697,26.28030014038086,2.6974100819643354e-06,0.02409359999001026,0.09018409997224808,4.856659870711155e-06,t17_f5_c3,2.406446330915015e+18,t,0.0,2674.199951171875,198.7429962158203,26.798318,38.4766372,19.799299240112305,0.1988230049610138,1.3959499597549438,19.641300201416016,0.2930999994277954,0.5718600153923035,19.841999053955078,0.03799999877810478,1.4809999465942383,0.07100000232458115,0.8281729817390442,-0.15801699459552765,3.680000066757202,0.9649999737739563,198.7429962158203,0.3185720145702362,0.6739659905433655,0.8479999899864197,0.7110000252723694,0.23043499886989594,0.1932069957256317,1.1926900148391724,4.0,0.0,0.7614290118217468,1.0,19.460100173950195,0.3181999921798706,26.7985171,38.4766101,8.79089,ZTF23aavxxef
2460163.9338889,2,2409433880915,20.24959945678711,/ztf/archive/sci/2023/0807/433889/ztf_20230807433889_000697_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2409,9,697,26.260299682617188,2.2779499886382837e-06,0.021899500861763954,0.09695950150489807,4.105399966647383e-06,t17_f5_c3,2.409433880915015e+18,1,0.0,2694.090087890625,190.7050018310547,26.7983303,38.4766842,19.187299728393555,0.09448499977588654,1.8821799755096436,19.220500946044922,0.16580000519752502,0.5907760262489319,19.841999053955078,0.03799999877810478,1.4809999465942383,0.07100000232458115,0.40296900272369385,0.033197999000549316,1.7899999618530273,0.9829999804496765,190.7050018310547,1.0291099548339844,1.2821400165557861,0.5910000205039978,0.5640000104904175,0.3301680088043213,0.3150840103626251,1.0478700399398804,6.0,0.0,0.9371430277824402,0.9541910290718079,19.195899963378906,0.20730000734329224,26.7985171,38.4766101,17.2739,ZTF23aavxxef
2460163.9338889,2,2409433880915,20.24959945678711,/ztf/archive/sci/2023/0807/433889/ztf_20230807433889_000697_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2409,9,697,26.260299682617188,2.2779499886382837e-06,0.021899500861763954,0.09695950150489807,4.105399966647383e-06,t17_f5_c3,2.409433880915015e+18,t,0.0,2694.090087890625,190.7050018310547,26.7983303,38.4766842,19.187299728393555,0.09448499977588654,1.8821799755096436,19.220500946044922,0.16580000519752502,0.5907760262489319,19.841999053955078,0.03799999877810478,1.4809999465942383,0.07100000232458115,0.40296900272369385,0.033197999000549316,1.7899999618530273,0.9829999804496765,190.7050018310547,1.0291099548339844,1.2821400165557861,0.5910000205039978,0.5640000104904175,0.3301680088043213,0.3150840103626251,1.0478700399398804,6.0,0.0,0.9371430277824402,0.9541910290718079,19.195899963378906,0.20730000734329224,26.7985171,38.4766101,17.2739,ZTF23aavxxef
2460163.964213,1,2409464210915,20.101499557495117,/ztf/archive/sci/2023/0807/464201/ztf_20230807464201_000697_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2409,9,697,26.398500442504883,4.5667297854379285e-06,0.030483199283480644,-0.07711300253868103,8.644000445201527e-06,t17_f5_c3,2.409464210915015e+18,t,0.0,2689.760009765625,200.21499633789062,26.7983421,38.4766903,19.068500518798828,0.09828300029039383,1.3021600246429443,19.001800537109375,0.13490000367164612,0.7281969785690308,20.215999603271484,0.05900000035762787,2.3410000801086426,0.14800000190734863,-0.5564780235290527,-0.06673000007867813,2.359999895095825,0.9829999804496765,200.21499633789062,1.0997200012207031,1.1178499460220337,0.8029999732971191,0.7160000205039978,0.340254008769989,0.3033899962902069,1.1215100288391113,3.0,0.0,0.9442859888076782,1.0,19.044099807739258,0.17949999868869781,26.7985576,38.4765793,18.7565,ZTF23aavxxef
2460168.9096644,1,2414409660915,20.90570068359375,/ztf/archive/sci/2023/0812/409664/ztf_20230812409664_000697_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2414,9,697,26.374000549316406,2.5138499495369615e-06,0.0231820996850729,-0.07201830297708511,4.564769824355608e-06,t17_f5_c3,2.414409660915015e+18,1,0.0,2669.679931640625,199.19000244140625,26.7983366,38.4766992,18.665000915527344,0.07087399810552597,8.179010391235352,18.644500732421875,0.053700000047683716,0.7487959861755371,20.215999603271484,0.05900000035762787,2.3410000801086426,0.14800000190734863,0.1642799973487854,-0.0205060001462698,2.0799999237060547,0.9829999804496765,199.19000244140625,2.261199951171875,1.1525599956512451,0.6430000066757202,0.6340000033378601,0.30913498997688293,0.30480799078941345,1.01419997215271,5.0,0.0,0.9414290189743042,0.9894059896469116,18.667999267578125,0.06880000233650208,26.7985576,38.4765793,31.8168,ZTF23aavxxef
2460162.9286343,3,2408428630915,19.832599639892578,/ztf/archive/sci/2023/0806/428623/ztf_20230806428623_000697_zi_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2408,9,697,25.62380027770996,8.174710046660039e-07,0.019951699301600456,0.18876799941062927,5.130999852553941e-06,t17_f5_c3,2.408428630915015e+18,t,1.0,2697.7900390625,191.75399780273438,26.7983497,38.4767182,19.556800842285156,0.13937799632549286,1.1905200481414795,19.53190040588379,0.32589998841285706,0.5972959995269775,19.680999755859375,0.04100000113248825,0.843999981880188,0.07800000160932541,0.6926230192184448,-0.024941999465227127,1.7999999523162842,0.9639999866485596,191.75399780273438,0.30069699883461,1.2642699480056763,0.578000009059906,0.5640000104904175,0.3211109936237335,0.31333300471305847,1.0248199701309204,6.0,0.0,0.8242859840393066,0.8439339995384216,19.264999389648438,0.32670000195503235,26.7985239,38.4766227,9.66106,ZTF23aavxxef
2460168.9096644,1,2414409660915,20.90570068359375,/ztf/archive/sci/2023/0812/409664/ztf_20230812409664_000697_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2414,9,697,26.374000549316406,2.5138499495369615e-06,0.0231820996850729,-0.07201830297708511,4.564769824355608e-06,t17_f5_c3,2.414409660915015e+18,t,0.0,2669.679931640625,199.19000244140625,26.7983366,38.4766992,18.665000915527344,0.07087399810552597,8.179010391235352,18.644500732421875,0.053700000047683716,0.7487959861755371,20.215999603271484,0.05900000035762787,2.3410000801086426,0.14800000190734863,0.1642799973487854,-0.0205060001462698,2.0799999237060547,0.9829999804496765,199.19000244140625,2.261199951171875,1.1525599956512451,0.6430000066757202,0.6340000033378601,0.30913498997688293,0.30480799078941345,1.01419997215271,5.0,0.0,0.9414290189743042,0.9894059896469116,18.667999267578125,0.06880000233650208,26.7985576,38.4765793,31.8168,ZTF23aavxxef
2460168.9465046,2,2414446500915,20.719499588012695,/ztf/archive/sci/2023/0812/446447/ztf_20230812446447_000697_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2414,9,697,26.282499313354492,2.396260015302687e-06,0.02252030000090599,0.09201619774103165,4.311340035201283e-06,t17_f5_c3,2.414446500915015e+18,t,0.0,2679.469970703125,215.64500427246094,26.7983599,38.4766767,18.792499542236328,0.07787799835205078,10.375300407409668,18.78529930114746,0.07370000332593918,0.5107830166816711,19.841999053955078,0.03799999877810478,1.4809999465942383,0.07100000232458115,0.06281500309705734,-0.007164999842643738,2.140000104904175,1.0,215.64500427246094,1.934190034866333,1.0814100503921509,0.625,0.5929999947547913,0.29205599427223206,0.2771030068397522,1.0539599657058716,4.0,0.0,0.9185709953308105,1.0,18.83099937438965,0.09719999879598618,26.7985171,38.4766101,29.9911,ZTF23aavxxef
2460169.8947569,3,2415394750915,20.095199584960938,/ztf/archive/sci/2023/0813/394745/ztf_20230813394745_000697_zi_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2415,9,697,25.588600158691406,7.923250109342916e-07,0.019816700369119644,0.18763799965381622,4.894759968010476e-06,t17_f5_c3,2.415394750915015e+18,t,2.0,2653.02001953125,199.8990020751953,26.7983499,38.4766599,19.074600219726562,0.10556899756193161,1.2433500289916992,18.975299835205078,0.15639999508857727,0.5172470211982727,19.680999755859375,0.04100000113248825,0.843999981880188,0.07800000160932541,0.2862969934940338,-0.09930399805307388,1.9600000381469727,0.9779999852180481,199.8990020751953,1.1198899745941162,1.1539599895477295,0.7360000014305115,0.6959999799728394,0.37551000714302063,0.355102002620697,1.0574699640274048,2.0,0.0,0.9200000166893005,1.0,18.977399826049805,0.1995999962091446,26.7985239,38.4766227,15.4606,ZTF23aavxxef
