jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460195.6721991,1,2441172190715,20.695499420166016,/ztf/archive/sci/2023/0908/172176/ztf_20230908172176_000726_zg_c02_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2441,7,726,26.28730010986328,1.5258300436471472e-06,0.016048500314354897,-0.04931820183992386,5.14781004312681e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23abijnsm
2460195.716794,2,2441216790715,20.50659942626953,/ztf/archive/sci/2023/0908/216794/ztf_20230908216794_000726_zr_c02_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2441,7,726,26.217500686645508,1.1810000160039635e-06,0.01403770036995411,0.0790231004357338,3.983910119131906e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23abijnsm
2460198.6739005,2,2444173900715,20.48699951171875,/ztf/archive/sci/2023/0911/173900/ztf_20230911173900_000726_zr_c02_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2444,7,726,26.195199966430664,1.211220023833448e-06,0.014270500279963017,0.07425019890069962,4.075090146216098e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23abijnsm
2460198.725081,1,2444225080715,20.658199310302734,/ztf/archive/sci/2023/0911/225069/ztf_20230911225069_000726_zg_c02_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2444,7,726,26.28499984741211,1.4467100299953017e-06,0.015463300049304962,-0.052717700600624084,4.896020072919782e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23abijnsm
2460201.6597917,2,2447159790715,20.593399047851562,/ztf/archive/sci/2023/0914/159792/ztf_20230914159792_000726_zr_c02_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2447,7,726,26.26959991455078,1.770440007931029e-06,0.01714799925684929,0.07495489716529846,5.966050139250001e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23abijnsm
2460201.7028588,1,2447202850715,20.713199615478516,/ztf/archive/sci/2023/0914/202847/ztf_20230914202847_000726_zg_c02_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2447,7,726,26.36389923095703,1.3129299532010918e-06,0.014599200338125229,-0.07030860334634781,4.455790076463018e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23abijnsm
2460203.6854514,1,2449185450715,20.803600311279297,/ztf/archive/sci/2023/0916/185440/ztf_20230916185440_000726_zg_c02_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2449,7,726,26.336700439453125,1.392220042362169e-06,0.01527860015630722,-0.04696720093488693,4.693939899880206e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23abijnsm
2460203.7039583,2,2449203950715,20.65169906616211,/ztf/archive/sci/2023/0916/203947/ztf_20230916203947_000726_zr_c02_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2449,7,726,26.255199432373047,1.0837300123966997e-06,0.013406800106167793,0.07538379728794098,3.654309921330423e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23abijnsm
2460205.6454282,1,2451145420715,21.0718994140625,/ztf/archive/sci/2023/0918/145417/ztf_20230918145417_000726_zg_c02_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2451,7,726,26.342500686645508,1.619079966985737e-06,0.016549700871109962,-0.049384500831365585,5.4539800657948945e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23abijnsm
2460205.6856944,2,2451185690715,20.743799209594727,/ztf/archive/sci/2023/0918/185683/ztf_20230918185683_000726_zr_c02_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2451,7,726,26.274799346923828,1.8272399984198273e-06,0.017493100836873055,0.07147769629955292,6.153170033940114e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23abijnsm
2460207.6611921,2,2453161190715,20.6028995513916,/ztf/archive/sci/2023/0920/161123/ztf_20230920161123_000726_zr_c02_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2453,7,726,26.29949951171875,1.1279099680905347e-06,0.01358409970998764,0.06628440320491791,3.815369836956961e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23abijnsm
