jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460257.9722338,3,2503472231715,18.847400665283203,/ztf/archive/sci/2023/1109/472234/ztf_20231109472234_000412_zi_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2503,17,412,25.70680046081543,5.06981996295508e-06,0.04292859882116318,0.18808400630950928,9.817509999265894e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23absdibx
2460258.8992593,1,2504399251715,19.896400451660156,/ztf/archive/sci/2023/1110/399236/ztf_20231110399236_000412_zg_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2504,17,412,26.169200897216797,4.628060196409933e-06,0.032811399549245834,-0.038831498473882675,1.531859925307799e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23absdibx
2460258.9417593,2,2504441751715,19.93589973449707,/ztf/archive/sci/2023/1110/441748/ztf_20231110441748_000412_zr_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2504,17,412,26.26460075378418,1.939089997904375e-06,0.020892899483442307,0.08600369840860367,6.4617302086844575e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23absdibx
2460260.8784491,2,2506378441715,20.22260093688965,/ztf/archive/sci/2023/1112/378449/ztf_20231112378449_000412_zr_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2506,17,412,26.240999221801758,1.3687799764738884e-06,0.017702899873256683,0.08632809668779373,4.5380998017208185e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23absdibx
2460260.943287,3,2506443281715,19.72170066833496,/ztf/archive/sci/2023/1112/443241/ztf_20231112443241_000412_zi_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2506,17,412,25.716899871826172,1.0835999546543462e-06,0.020144600421190262,0.1914830058813095,2.2193700715433806e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23absdibx
2460260.9781019,1,2506478101715,20.273000717163086,/ztf/archive/sci/2023/1112/478090/ztf_20231112478090_000412_zg_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2506,17,412,26.273799896240234,2.3967800188984256e-06,0.023465299978852272,-0.04991529881954193,7.953500244184397e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23absdibx
2460263.9191898,2,2509419181715,20.391199111938477,/ztf/archive/sci/2023/1115/419178/ztf_20231115419178_000412_zr_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2509,17,412,26.260400772094727,1.2284400554563035e-06,0.01668200083076954,0.08427470177412033,4.087819888809463e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23absdibx
2460263.9578009,3,2509457801715,19.775699615478516,/ztf/archive/sci/2023/1115/457801/ztf_20231115457801_000412_zi_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2509,17,412,25.62030029296875,1.1996299917882425e-06,0.021096499636769295,0.19383400678634644,2.459350071148947e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23absdibx
2460263.9637847,1,2509463781715,19.727699279785156,/ztf/archive/sci/2023/1115/463773/ztf_20231115463773_000412_zg_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2509,17,412,25.805599212646484,4.404939772939542e-06,0.031922198832035065,-0.04273569956421852,1.4535599802911747e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23absdibx
2460286.8609375,2,2532360936115,19.973800659179688,/ztf/archive/sci/2023/1208/360926/ztf_20231208360926_001406_zr_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2532,61,1406,26.052400588989258,1.8481799770597718e-06,0.019949499517679214,0.06918489933013916,6.343479981296696e-06,t17_f5_c3,2.532360936115015e+18,1,9.0,289.57501220703125,2783.199951171875,116.4951129,-3.2791068,19.27039909362793,0.15474699437618256,0.9353979825973511,19.268999099731445,0.17229999601840973,0.8496569991111755,20.67799949645996,0.10199999809265137,0.8809999823570251,0.12700000405311584,0.11205700039863586,-0.0013909999979659915,3.2100000381469727,0.9559999704360962,289.57501220703125,0.7047759890556335,0.944674015045166,1.0509999990463257,0.9089999794960022,0.32741400599479675,0.2831780016422272,1.1562199592590332,0.0,0.0,0.7614290118217468,1.0,19.134700775146484,0.1940000057220459,116.494879,-3.2790459,11.6436,ZTF23absdibx
2460287.7968287,1,2533296821715,19.712400436401367,/ztf/archive/sci/2023/1209/296817/ztf_20231209296817_000412_zg_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2533,17,412,26.150800704956055,8.528770194971003e-06,0.043662600219249725,-0.03699279949069023,2.894550016208086e-05,t17_f5_c3,2.533296821715015e+18,1,8.0,2012.530029296875,2006.3499755859375,116.4950068,-3.2791595,19.378799438476562,0.2328760027885437,1.3442399501800537,19.332399368286133,0.1818999946117401,3.0538699626922607,19.9060001373291,0.0860000029206276,3.0190000534057617,0.16899999976158142,-0.5028949975967407,-0.046445999294519424,3.940000057220459,0.7089999914169312,1059.969970703125,0.3800469934940338,0.9690089821815491,1.531000018119812,1.315000057220459,0.38857901096343994,0.3337559998035431,1.1642600297927856,2.0,0.0,0.35428598523139954,1.0,19.298099517822266,0.22540000081062317,116.4955956,-3.278533,8.7569,ZTF23absdibx
