jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460286.7856597,2,2532285651615,20.18630027770996,/ztf/archive/sci/2023/1208/285660/ztf_20231208285660_001561_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2532,16,1561,26.234899520874023,1.8002000388150918e-06,0.021134400740265846,0.10041200369596481,3.46788010574528e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaajtzg
2460287.8319676,2,2533331966115,19.672300338745117,/ztf/archive/sci/2023/1209/331968/ztf_20231209331968_000516_zr_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2533,61,516,26.034400939941406,4.472959972190438e-06,0.032300401479005814,0.08906959742307663,9.046660125022754e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaajtzg
2460287.8546065,2,2533354606115,19.792999267578125,/ztf/archive/sci/2023/1209/354595/ztf_20231209354595_000516_zr_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2533,61,516,26.050500869750977,3.580049906304339e-06,0.02888450026512146,0.0910675972700119,7.235340035549598e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaajtzg
2460287.9196528,1,2533419656115,19.96299934387207,/ztf/archive/sci/2023/1209/419549/ztf_20231209419549_000516_zg_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2533,61,516,26.13920021057129,7.42009979148861e-06,0.0390172004699707,-0.032215699553489685,1.7278700397582725e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaajtzg
2460288.8619444,1,2534361946115,20.312000274658203,/ztf/archive/sci/2023/1210/361944/ztf_20231210361944_000516_zg_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2534,61,516,26.133699417114258,4.3978097892249934e-06,0.031734999269247055,-0.055855799466371536,9.170749763143249e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaajtzg
2460289.8374769,2,2535337476115,18.087499618530273,/ztf/archive/sci/2023/1211/337465/ztf_20231211337465_000516_zr_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2535,61,516,24.55190086364746,1.520709975011414e-05,0.046528298407793045,0.07718759775161743,3.566169834812172e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaajtzg
2460289.8985417,1,2535398546115,19.692100524902344,/ztf/archive/sci/2023/1211/398519/ztf_20231211398519_000516_zg_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2535,61,516,25.749799728393555,7.604629900015425e-06,0.03895220160484314,-0.05968869850039482,1.793730007193517e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaajtzg
2460289.9192593,1,2535419256115,19.336299896240234,/ztf/archive/sci/2023/1211/419259/ztf_20231211419259_000516_zg_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2535,61,516,25.41069984436035,9.446360309084412e-06,0.04108180105686188,-0.04964109882712364,2.3962300474522635e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaajtzg
2460291.8391667,2,2537339166115,20.231599807739258,/ztf/archive/sci/2023/1213/339005/ztf_20231213339005_000516_zr_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2537,61,516,26.03890037536621,2.388660050200997e-06,0.023520000278949738,0.09090849757194519,4.838630047743209e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaajtzg
2460292.878287,2,2538378286115,20.552600860595703,/ztf/archive/sci/2023/1214/378275/ztf_20231214378275_000516_zr_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2538,61,516,27.254600524902344,1.3975500223750714e-06,0.0180658008903265,0.08705370128154755,2.8286899578233715e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaajtzg
2460292.9219213,1,2538421926115,20.767799377441406,/ztf/archive/sci/2023/1214/421910/ztf_20231214421910_000516_zg_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2538,61,516,27.298799514770508,3.3499900382594205e-06,0.0279386006295681,-0.0343623012304306,6.790649877075339e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaajtzg
2460292.9604051,1,2538460406115,20.81170082092285,/ztf/archive/sci/2023/1214/460255/ztf_20231214460255_000516_zg_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2538,61,516,27.25189971923828,2.256540028611198e-06,0.023011500015854836,-0.052448999136686325,4.587679995893268e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaajtzg
