jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460305.6722685,1,2551172265015,19.127399444580078,/ztf/archive/sci/2023/1227/172269/ztf_20231227172269_000451_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2551,50,451,26.301799774169922,5.373069870984182e-05,0.041453998535871506,-0.0010877599706873298,0.00010884999937843531,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aabwuul
2460307.6292245,1,2553129225015,19.84239959716797,/ztf/archive/sci/2023/1229/129213/ztf_20231229129213_000451_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2553,50,451,26.34469985961914,2.6151899874093942e-05,0.034379299730062485,-0.0018529100343585014,4.346299829194322e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aabwuul
2460307.6752315,2,2553175235015,19.989099502563477,/ztf/archive/sci/2023/1229/175231/ztf_20231229175231_000451_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2553,50,451,26.280500411987305,1.4477600416284986e-05,0.027767399325966835,0.11950299888849258,1.972430072783027e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aabwuul
2460314.6184606,1,2560118465015,20.200300216674805,/ztf/archive/sci/2024/0105/118449/ztf_20240105118449_000451_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2560,50,451,26.349899291992188,3.58791985490825e-05,0.042183298617601395,-0.049036700278520584,5.281249832478352e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aabwuul
2460314.6421991,2,2560142195015,19.896699905395508,/ztf/archive/sci/2024/0105/142199/ztf_20240105142199_000451_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2560,50,451,26.273099899291992,1.755680023052264e-05,0.03049050085246563,0.11277800053358078,2.3982800485100597e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aabwuul
2460323.7057292,1,2569205725015,19.39550018310547,/ztf/archive/sci/2024/0114/205683/ztf_20240114205683_000451_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2569,50,451,25.973499298095703,5.125470124767162e-05,0.04252789914608002,-0.020108599215745926,0.00010387899965280667,t17_f5_c3,2.569205725015015e+18,t,12.0,1339.9300537109375,2686.830078125,35.7142298,6.6913875,18.76849937438965,0.1663919985294342,0.9417510032653809,18.696699142456055,0.14980000257492065,2.713469982147217,19.559999465942383,0.11400000005960464,5.531000137329102,0.7260000109672546,-0.40338999032974243,-0.0718189999461174,5.309999942779541,0.40400001406669617,393.6679992675781,0.6988419890403748,0.650642991065979,1.3200000524520874,1.2039999961853027,0.24858799576759338,0.2267419993877411,1.0963499546051025,0.0,0.0,0.7300000190734863,1.0,18.611499786376953,0.1768999993801117,35.7149976,6.6913578,13.3468,ZTF24aabwuul
2460325.6918634,1,2571191865015,19.931299209594727,/ztf/archive/sci/2024/0116/191852/ztf_20240116191852_000451_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2571,50,451,26.20319938659668,3.993339851149358e-05,0.04369790107011795,-0.018139300867915154,6.396949902409688e-05,t17_f5_c3,2.571191865015015e+18,1,11.0,1347.75,2682.5,35.7142213,6.6914134,18.509199142456055,0.08796299993991852,4.002669811248779,18.532100677490234,0.10339999943971634,2.7479500770568848,19.559999465942383,0.11400000005960464,5.531000137329102,0.7260000109672546,-1.1215499639511108,0.022853000089526176,2.819999933242798,0.9829999804496765,397.9989929199219,1.3992300033569336,0.9397439956665039,0.8989999890327454,0.8140000104904175,0.31879401206970215,0.2886520028114319,1.1044199466705322,0.0,0.0,0.9257140159606934,1.0,18.51609992980957,0.1298000067472458,35.7149976,6.6913578,23.1831,ZTF24aabwuul
2460305.7620602,3,2551262065015,17.646499633789062,/ztf/archive/sci/2023/1227/262060/ztf_20231227262060_000451_zi_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2551,50,451,24.916799545288086,2.9967799491714686e-05,0.05291629955172539,0.20533700287342072,7.492110307794064e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aabwuul
2460322.7195718,3,2568219575015,19.29800033569336,/ztf/archive/sci/2024/0113/219560/ztf_20240113219560_000451_zi_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2568,50,451,25.56920051574707,7.289550012501422e-06,0.03140639886260033,0.19878800213336945,2.2600999727728777e-05,t17_f5_c3,2.568219575015015e+18,t,15.0,1341.949951171875,2684.139892578125,35.7140652,6.6913148,19.422199249267578,0.27425000071525574,1.190790057182312,19.43630027770996,0.3239000141620636,3.4996800422668457,18.663000106811523,0.10499999672174454,6.066999912261963,0.47200000286102295,-0.43008700013160706,0.01410599984228611,1.7474499940872192,0.4779999852180481,396.3559875488281,-0.13833600282669067,2.0,1.1330000162124634,0.8970000147819519,0.6483740210533142,0.5133200287818909,1.263100028038025,3.0,0.0,0.6014289855957031,1.0,19.76129913330078,0.5566999912261963,35.7150546,6.6913736,5.43798,ZTF24aabwuul
2460325.6918634,1,2571191865015,19.931299209594727,/ztf/archive/sci/2024/0116/191852/ztf_20240116191852_000451_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2571,50,451,26.20319938659668,3.993339851149358e-05,0.04369790107011795,-0.018139300867915154,6.396949902409688e-05,t17_f5_c3,2.571191865015015e+18,t,11.0,1347.75,2682.5,35.7142213,6.6914134,18.509199142456055,0.08796299993991852,4.002669811248779,18.532100677490234,0.10339999943971634,2.7479500770568848,19.559999465942383,0.11400000005960464,5.531000137329102,0.7260000109672546,-1.1215499639511108,0.022853000089526176,2.819999933242798,0.9829999804496765,397.9989929199219,1.3992300033569336,0.9397439956665039,0.8989999890327454,0.8140000104904175,0.31879401206970215,0.2886520028114319,1.1044199466705322,0.0,0.0,0.9257140159606934,1.0,18.51609992980957,0.1298000067472458,35.7149976,6.6913578,23.1831,ZTF24aabwuul
2460325.7495255,2,2571249525015,19.09239959716797,/ztf/archive/sci/2024/0116/249479/ztf_20240116249479_000451_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2571,50,451,25.826499938964844,3.217919947928749e-05,0.0413408987224102,0.10793200135231018,4.412070120451972e-05,t17_f5_c3,2.571249525015015e+18,t,7.0,1334.6700439453125,2662.340087890625,35.7141699,6.6913343,18.53849983215332,0.12555499374866486,1.5524200201034546,18.36949920654297,0.17260000109672546,3.108489990234375,20.04599952697754,0.13300000131130219,6.40500020980835,0.5870000123977661,-2.726069927215576,-0.16903699934482574,3.0199999809265137,0.9829999804496765,418.1570129394531,0.7229359745979309,0.9647150039672852,1.0609999895095825,0.9330000281333923,0.35132500529289246,0.30893999338150024,1.1371899843215942,5.0,0.0,0.8428570032119751,0.98328697681427,18.38159942626953,0.22339999675750732,35.7143835,6.6921825,12.0821,ZTF24aabwuul
2460334.6548032,2,2580154805015,17.82040023803711,/ztf/archive/sci/2024/0125/154803/ztf_20240125154803_000451_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2580,50,451,25.45680046081543,0.00010141800157725811,0.049695201218128204,0.11445900052785873,0.000178643997060135,t17_f5_c3,2.580154805015015e+18,t,9.0,1349.8399658203125,2669.8798828125,35.7141723,6.6915831,18.04680061340332,0.20382000505924225,0.9366580247879028,18.15089988708496,0.45159998536109924,2.2582600116729736,20.04599952697754,0.13300000131130219,6.40500020980835,0.5870000123977661,-4.773519992828369,0.10414300113916397,1.4512900114059448,0.9350000023841858,410.61700439453125,-0.3305250108242035,2.0,0.7760000228881836,0.6930000185966492,0.5346969962120056,0.47750601172447205,1.1197700500488281,7.0,0.0,0.6371430158615112,0.9601060152053833,18.02869987487793,0.5188000202178955,35.7143835,6.6921825,6.04615,ZTF24aabwuul
2460338.7319444,2,2584231945015,17.410600662231445,/ztf/archive/sci/2024/0129/231933/ztf_20240129231933_000451_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2584,50,451,25.106700897216797,0.0002746809914242476,0.06003269925713539,0.06264080107212067,0.0005032150074839592,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aabwuul
2460340.728588,1,2586228585015,19.760000228881836,/ztf/archive/sci/2024/0131/228588/ztf_20240131228588_000451_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2586,50,451,26.19969940185547,2.637510078784544e-05,0.035467300564050674,-0.025576500222086906,4.2673000280046836e-05,t17_f5_c3,2.586228585015015e+18,t,8.0,1323.3299560546875,2630.330078125,35.7142214,6.6914106,18.352699279785156,0.09572800248861313,2.659990072250366,18.356399536132812,0.09709999710321426,2.746419906616211,19.559999465942383,0.11400000005960464,5.531000137329102,0.7260000109672546,0.12277600169181824,0.0036750000435858965,2.759999990463257,0.9819999933242798,450.1719970703125,1.4035899639129639,1.0155600309371948,0.8730000257492065,0.8230000138282776,0.3163039982318878,0.2981880009174347,1.0607500076293945,3.0,0.0,0.942857027053833,0.9845499992370605,18.301000595092773,0.11760000139474869,35.7149976,6.6913578,23.3517,ZTF24aabwuul
2460351.6400347,1,2597140035015,19.6658992767334,/ztf/archive/sci/2024/0211/140023/ztf_20240211140023_000451_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2597,50,451,26.308700561523438,3.3450698538217694e-05,0.038513101637363434,-0.03914089873433113,5.7770099374465644e-05,t17_f5_c3,2.597140035015015e+18,1,8.0,1329.8499755859375,2691.2900390625,35.7142611,6.6913752,19.282699584960938,0.16775000095367432,0.9750649929046631,19.31369972229004,0.22210000455379486,2.6011199951171875,19.559999465942383,0.11400000005960464,5.531000137329102,0.7260000109672546,-0.7161269783973694,0.030995000153779984,4.550000190734863,0.9380000233650208,389.2130126953125,0.3521899878978729,0.7025610208511353,1.1019999980926514,1.0570000410079956,0.24219800531864166,0.23230800032615662,1.0425699949264526,1.0,0.0,0.7685710191726685,1.0,19.134599685668945,0.24089999496936798,35.7149976,6.6913578,11.4872,ZTF24aabwuul
