jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460305.9931944,2,2551493190115,17.89459991455078,/ztf/archive/sci/2023/1227/493194/ztf_20231227493194_000470_zr_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2551,1,470,25.313899993896484,0.00017048600420821458,0.07657880336046219,0.07820740342140198,0.0003115390136372298,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aacrfok
2460307.9268634,2,2553426860115,16.473400115966797,/ztf/archive/sci/2023/1229/426863/ztf_20231229426863_000470_zr_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2553,1,470,24.111400604248047,0.0028372900560498238,0.1199830025434494,0.11871399730443954,0.005958219990134239,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aacrfok
2460307.9887269,1,2553488720115,17.77549934387207,/ztf/archive/sci/2023/1229/488715/ztf_20231229488715_000470_zg_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2553,1,470,25.025800704956055,0.0001902090007206425,0.04639999940991402,-0.05187100172042847,0.0005494459765031934,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aacrfok
2460314.8855556,1,2560385550115,20.205400466918945,/ztf/archive/sci/2024/0105/385544/ztf_20240105385544_000470_zg_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2560,1,470,26.26729965209961,1.5974299458321184e-05,0.03257979825139046,-0.065236896276474,2.583800051070284e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aacrfok
2460315.0317361,2,2560531730115,20.289600372314453,/ztf/archive/sci/2024/0105/531736/ztf_20240105531736_000470_zr_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2560,1,470,26.259599685668945,8.482699740852695e-06,0.02399579994380474,0.08744320273399353,1.3609899724542629e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aacrfok
2460323.0237384,2,2568523730115,20.333999633789062,/ztf/archive/sci/2024/0113/523727/ztf_20240113523727_000470_zr_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2568,1,470,26.255300521850586,7.739309694443364e-06,0.022873399779200554,0.09613139927387238,1.2385399713821243e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aacrfok
2460325.9553704,2,2571455370115,20.150299072265625,/ztf/archive/sci/2024/0116/455301/ztf_20240116455301_000470_zr_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2571,1,470,26.181400299072266,8.07428023108514e-06,0.023474199697375298,0.09816870093345642,1.2892800441477448e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aacrfok
2460326.0066204,1,2571506620115,20.43899917602539,/ztf/archive/sci/2024/0116/506563/ztf_20240116506563_000470_zg_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2571,1,470,26.33139991760254,1.2744900232064538e-05,0.029584800824522972,-0.09286220371723175,2.0454899640753865e-05,t17_f5_c3,2.571506620115015e+18,t,7.0,2613.2900390625,756.969970703125,166.9542626,2.3575368,19.126399993896484,0.0973460003733635,1.3263399600982666,19.20490074157715,0.1348000019788742,3.32738995552063,17.014999389648438,0.05900000035762787,5.4029998779296875,0.2329999953508377,-0.12502099573612213,0.07850900292396545,3.640000104904175,0.972000002861023,459.21099853515625,1.2341400384902954,0.78718501329422,0.8870000243186951,0.8190000057220459,0.24368099868297577,0.22499999403953552,1.0830299854278564,3.0,0.0,0.8785709738731384,1.0,19.1914005279541,0.16380000114440918,166.9546963,2.3567077,10.2369,ZTF24aacrfok
2460327.8808449,2,2573380840115,20.40180015563965,/ztf/archive/sci/2024/0118/380787/ztf_20240118380787_000470_zr_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2573,1,470,26.24370002746582,8.887550393410493e-06,0.024421099573373795,0.10435400158166885,1.4134599950921256e-05,t17_f5_c3,2.573380840115015e+18,1,20.0,2593.0400390625,753.6500244140625,166.9542641,2.3575261,18.288700103759766,0.06082399934530258,6.291130065917969,18.412700653076172,0.08290000259876251,2.674690008163452,18.863000869750977,0.14100000262260437,7.103000164031982,0.44999998807907104,-0.2206439971923828,0.12399200350046158,4.650000095367432,0.9789999723434448,479.4590148925781,1.9891200065612793,0.555374026298523,0.8550000190734863,0.8190000057220459,0.18387100100517273,0.17612899839878082,1.0439599752426147,2.0,0.0,0.6485710144042969,1.0,18.549299240112305,0.1137000024318695,166.9544302,2.3582597,11.6259,ZTF24aacrfok
2460327.8808449,2,2573380840115,20.40180015563965,/ztf/archive/sci/2024/0118/380787/ztf_20240118380787_000470_zr_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2573,1,470,26.24370002746582,8.887550393410493e-06,0.024421099573373795,0.10435400158166885,1.4134599950921256e-05,t17_f5_c3,2.573380840115015e+18,t,20.0,2593.0400390625,753.6500244140625,166.9542641,2.3575261,18.288700103759766,0.06082399934530258,6.291130065917969,18.412700653076172,0.08290000259876251,2.674690008163452,18.863000869750977,0.14100000262260437,7.103000164031982,0.44999998807907104,-0.2206439971923828,0.12399200350046158,4.650000095367432,0.9789999723434448,479.4590148925781,1.9891200065612793,0.555374026298523,0.8550000190734863,0.8190000057220459,0.18387100100517273,0.17612899839878082,1.0439599752426147,2.0,0.0,0.6485710144042969,1.0,18.549299240112305,0.1137000024318695,166.9544302,2.3582597,11.6259,ZTF24aacrfok
2460327.9849074,1,2573484900115,20.439300537109375,/ztf/archive/sci/2024/0118/484884/ztf_20240118484884_000470_zg_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2573,1,470,26.286500930786133,1.5586500012432225e-05,0.032299499958753586,-0.08088389784097672,2.488999962224625e-05,t17_f5_c3,2.573484900115015e+18,t,8.0,2598.449951171875,767.8410034179688,166.9542699,2.3575401,18.20549964904785,0.06105000153183937,6.520150184631348,18.207000732421875,0.05620000138878822,3.3257501125335693,17.014999389648438,0.05900000035762787,5.4029998779296875,0.2329999953508377,-0.19209299981594086,0.0015040000434964895,3.680000066757202,0.984000027179718,474.0480041503906,2.232290029525757,0.7598339915275574,0.8489999771118164,0.8220000267028809,0.23070700466632843,0.2233700007200241,1.0328500270843506,0.0,0.0,0.8428570032119751,1.0,18.190900802612305,0.06769999861717224,166.9546963,2.3567077,19.318,ZTF24aacrfok
2460340.8356829,2,2586335680115,19.87310028076172,/ztf/archive/sci/2024/0131/335683/ztf_20240131335683_000470_zr_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2586,1,470,26.230300903320312,1.081749996956205e-05,0.026967499405145645,0.09739290177822113,1.710439937596675e-05,t17_f5_c3,2.586335680115015e+18,1,3.0,2567.550048828125,732.1199951171875,166.9542732,2.3575455,16.825300216674805,0.04374599829316139,40.27349853515625,16.83880043029785,0.02969999983906746,2.6003000736236572,18.863000869750977,0.14100000262260437,7.103000164031982,0.44999998807907104,-0.38899898529052734,0.013527999632060528,2.7899999618530273,0.984000027179718,504.95098876953125,3.0343399047851562,0.8382260203361511,0.6869999766349792,0.6370000243186951,0.24623699486255646,0.22831499576568604,1.0784900188446045,4.0,0.0,0.8685709834098816,0.9878910183906555,16.85099983215332,0.03700000047683716,166.9544302,2.3582597,26.2675,ZTF24aacrfok
2460321.9551042,3,2567455100115,20.01140022277832,/ztf/archive/sci/2024/0112/455104/ztf_20240112455104_000470_zi_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2567,1,470,25.58329963684082,2.4061600925051607e-06,0.018969900906085968,0.18377099931240082,1.0703200132411439e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aacrfok
2460324.9352894,3,2570435280115,19.993999481201172,/ztf/archive/sci/2024/0115/435289/ztf_20240115435289_000470_zi_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2570,1,470,25.581100463867188,2.442719960527029e-06,0.01917159929871559,0.17848600447177887,1.1031300346076023e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aacrfok
2460327.9236227,3,2573423620115,19.43790054321289,/ztf/archive/sci/2024/0118/423623/ztf_20240118423623_000470_zi_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2573,1,470,25.539199829101562,5.341390078683617e-06,0.028520600870251656,0.16878199577331543,2.377840064582415e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aacrfok
2460340.8356829,2,2586335680115,19.87310028076172,/ztf/archive/sci/2024/0131/335683/ztf_20240131335683_000470_zr_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2586,1,470,26.230300903320312,1.081749996956205e-05,0.026967499405145645,0.09739290177822113,1.710439937596675e-05,t17_f5_c3,2.586335680115015e+18,t,3.0,2567.550048828125,732.1199951171875,166.9542732,2.3575455,16.825300216674805,0.04374599829316139,40.27349853515625,16.83880043029785,0.02969999983906746,2.6003000736236572,18.863000869750977,0.14100000262260437,7.103000164031982,0.44999998807907104,-0.38899898529052734,0.013527999632060528,2.7899999618530273,0.984000027179718,504.95098876953125,3.0343399047851562,0.8382260203361511,0.6869999766349792,0.6370000243186951,0.24623699486255646,0.22831499576568604,1.0784900188446045,4.0,0.0,0.8685709834098816,0.9878910183906555,16.85099983215332,0.03700000047683716,166.9544302,2.3582597,26.2675,ZTF24aacrfok
2460340.8772801,1,2586377280115,19.831600189208984,/ztf/archive/sci/2024/0131/377280/ztf_20240131377280_000470_zg_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2586,1,470,26.281200408935547,2.730939922912512e-05,0.04228910058736801,-0.026500599458813667,4.762630123877898e-05,t17_f5_c3,2.586377280115015e+18,t,17.0,2598.800048828125,743.2369995117188,166.9542731,2.3575542,16.770200729370117,0.028183000162243843,18.46030044555664,16.812400817871094,0.027499999850988388,3.3653900623321533,17.014999389648438,0.05900000035762787,5.4029998779296875,0.2329999953508377,-0.27844101190567017,0.042190998792648315,2.740000009536743,0.9850000143051147,473.70098876953125,3.019160032272339,0.8816409707069397,0.6940000057220459,0.6610000133514404,0.2532849907875061,0.241240993142128,1.0499199628829956,2.0,0.0,0.892857015132904,1.0,16.837799072265625,0.035100001841783524,166.9546963,2.3567077,52.1683,ZTF24aacrfok
2460351.8321296,2,2597332120115,20.033700942993164,/ztf/archive/sci/2024/0211/332130/ztf_20240211332130_000470_zr_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2597,1,470,26.229400634765625,1.4751400158274919e-05,0.03119960054755211,0.10255300253629684,2.3519000023952685e-05,t17_f5_c3,2.597332120115015e+18,t,7.0,2565.219970703125,771.3610229492188,166.9542905,2.3575358,17.525400161743164,0.05173800140619278,5.187580108642578,17.499900817871094,0.039900001138448715,2.6215898990631104,18.863000869750977,0.14100000262260437,7.103000164031982,0.44999998807907104,-0.2170259952545166,-0.025544999167323112,6.119999885559082,0.9860000014305115,507.2799987792969,2.5338499546051025,0.5039269924163818,1.1339999437332153,0.9919999837875366,0.1852940022945404,0.16209200024604797,1.1431399583816528,0.0,0.0,0.47857099771499634,1.0,17.44659996032715,0.04639999940991402,166.9544302,2.3582597,13.4165,ZTF24aacrfok
2460352.8568981,2,2598356890115,20.33930015563965,/ztf/archive/sci/2024/0212/356898/ztf_20240212356898_000470_zr_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2598,1,470,26.266199111938477,9.793719982553739e-06,0.02571669965982437,0.09852760285139084,1.582970071467571e-05,t17_f5_c3,2.598356890115015e+18,1,4.0,2578.590087890625,784.4619750976562,166.9542945,2.3575237,17.516199111938477,0.06802300363779068,23.226299285888672,17.472400665283203,0.03720000013709068,2.660949945449829,18.863000869750977,0.14100000262260437,7.103000164031982,0.44999998807907104,-0.024017000570893288,-0.043834999203681946,3.380000114440918,1.0,493.9100036621094,2.866879940032959,0.747963011264801,0.8920000195503235,0.7379999756813049,0.26390498876571655,0.21834300458431244,1.2086700201034546,4.0,0.0,0.7214289903640747,0.9905509948730469,17.431499481201172,0.043299999088048935,166.9544302,2.3582597,18.2582,ZTF24aacrfok
2460352.8568981,2,2598356890115,20.33930015563965,/ztf/archive/sci/2024/0212/356898/ztf_20240212356898_000470_zr_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2598,1,470,26.266199111938477,9.793719982553739e-06,0.02571669965982437,0.09852760285139084,1.582970071467571e-05,t17_f5_c3,2.598356890115015e+18,t,4.0,2578.590087890625,784.4619750976562,166.9542945,2.3575237,17.516199111938477,0.06802300363779068,23.226299285888672,17.472400665283203,0.03720000013709068,2.660949945449829,18.863000869750977,0.14100000262260437,7.103000164031982,0.44999998807907104,-0.024017000570893288,-0.043834999203681946,3.380000114440918,1.0,493.9100036621094,2.866879940032959,0.747963011264801,0.8920000195503235,0.7379999756813049,0.26390498876571655,0.21834300458431244,1.2086700201034546,4.0,0.0,0.7214289903640747,0.9905509948730469,17.431499481201172,0.043299999088048935,166.9544302,2.3582597,18.2582,ZTF24aacrfok
2460352.9001968,2,2598400190115,20.236499786376953,/ztf/archive/sci/2024/0212/400197/ztf_20240212400197_000470_zr_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2598,1,470,26.24489974975586,8.862620234140195e-06,0.024429699406027794,0.098813496530056,1.4167600056680385e-05,t17_f5_c3,2.598400190115015e+18,t,4.0,2588.39990234375,776.6530151367188,166.9542805,2.3575296,17.510900497436523,0.05159899964928627,18.90290069580078,17.452600479125977,0.037300001829862595,2.6504099369049072,18.863000869750977,0.14100000262260437,7.103000164031982,0.44999998807907104,-0.1868869960308075,-0.05825100094079971,5.559999942779541,0.984000027179718,484.0979919433594,2.7838499546051025,0.48089998960494995,0.9869999885559082,0.9580000042915344,0.17751799523830414,0.1723019927740097,1.030269980430603,0.0,0.0,0.4714289903640747,1.0,17.42289924621582,0.04410000145435333,166.9544302,2.3582597,15.6487,ZTF24aacrfok
