jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460364.710081,2,2610210082115,17.2096004486084,/ztf/archive/sci/2024/0224/210081/ztf_20240224210081_000311_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2610,21,311,25.037700653076172,2.107799991790671e-05,0.04557200148701668,0.07462640106678009,6.972639675950631e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aahgidl
2460368.7516782,2,2614251672115,19.575300216674805,/ztf/archive/sci/2024/0228/251667/ztf_20240228251667_000311_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2614,21,311,26.214599609375,1.5855699757594266e-06,0.017230799421668053,0.08904729783535004,6.29915984973195e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aahgidl
2460374.7519792,2,2620251972115,20.01110076904297,/ztf/archive/sci/2024/0305/251968/ztf_20240305251968_000311_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2620,21,311,26.199800491333008,1.2084300351489219e-06,0.014907199889421463,0.09342470020055771,4.82045015814947e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aahgidl
2460388.7109028,2,2634210902115,19.56220054626465,/ztf/archive/sci/2024/0319/210891/ztf_20240319210891_000311_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2634,21,311,26.256500244140625,1.9361600607226137e-06,0.018857000395655632,0.08460839837789536,7.726400326646399e-06,t17_f5_c3,2.634210902115015e+18,t,4.0,1596.6800537109375,556.1790161132812,122.4510762,-17.2677309,19.357500076293945,0.16722999513149261,1.09089994430542,19.36870002746582,0.3052000105381012,7.664529800415039,19.239999771118164,0.08799999952316284,6.499000072479248,0.3799999952316284,0.8541799783706665,0.01119299978017807,4.0,0.9769999980926514,556.1790161132812,0.19350600242614746,0.6678599715232849,0.8820000290870667,0.8289999961853027,0.22050000727176666,0.20724999904632568,1.0639300346374512,2.0,0.0,0.6842859983444214,1.0,18.953899383544922,0.26910001039505005,122.4488834,-17.2682446,9.17852,ZTF24aahgidl
2460388.7536227,1,2634253622115,19.009599685668945,/ztf/archive/sci/2024/0319/253623/ztf_20240319253623_000311_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2634,21,311,26.160400390625,7.2555599217594136e-06,0.03666020184755325,-0.05512230098247528,2.8891499823657796e-05,t17_f5_c3,2.634253622115015e+18,t,1.0,1606.800048828125,550.697021484375,122.4512167,-17.2677316,19.05739974975586,0.2265229970216751,1.0304100513458252,18.97640037536621,0.2535000145435333,8.405360221862793,19.724000930786133,0.07699999958276749,2.8010001182556152,0.15299999713897705,-1.3800300359725952,-0.08101599663496017,4.210000038146973,0.9490000009536743,550.697021484375,0.033245999366045,0.8833770155906677,1.2269999980926514,1.1260000467300415,0.29144901037216187,0.2674579918384552,1.0896999835968018,5.0,0.0,0.4028570055961609,0.996649980545044,18.61590003967285,0.2345999926328659,122.4488182,-17.2683263,7.49824,ZTF24aahgidl
2460391.6905903,1,2637190592115,19.41119956970215,/ztf/archive/sci/2024/0322/190579/ztf_20240322190579_000311_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2637,21,311,26.193199157714844,2.822270062097232e-06,0.023038800805807114,-0.030962400138378143,1.1253399861743674e-05,t17_f5_c3,2.637190592115015e+18,1,1.0,1641.6099853515625,545.5139770507812,122.4511296,-17.2676955,18.627199172973633,0.15088799595832825,2.2555201053619385,18.67840003967285,0.18940000236034393,8.158459663391113,19.724000930786133,0.07699999958276749,2.8010001182556152,0.15299999713897705,1.503999948501587,0.05123699828982353,2.8299999237060547,0.9829999804496765,545.5139770507812,0.7328370213508606,0.9254109859466553,0.7710000276565552,0.7289999723434448,0.2724379897117615,0.2575969994068146,1.057610034942627,2.0,0.0,0.7685710191726685,0.9725189805030823,18.624399185180664,0.23180000483989716,122.4488182,-17.2683263,13.6095,ZTF24aahgidl
2460391.6905903,1,2637190592115,19.41119956970215,/ztf/archive/sci/2024/0322/190579/ztf_20240322190579_000311_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2637,21,311,26.193199157714844,2.822270062097232e-06,0.023038800805807114,-0.030962400138378143,1.1253399861743674e-05,t17_f5_c3,2.637190592115015e+18,t,1.0,1641.6099853515625,545.5139770507812,122.4511296,-17.2676955,18.627199172973633,0.15088799595832825,2.2555201053619385,18.67840003967285,0.18940000236034393,8.158459663391113,19.724000930786133,0.07699999958276749,2.8010001182556152,0.15299999713897705,1.503999948501587,0.05123699828982353,2.8299999237060547,0.9829999804496765,545.5139770507812,0.7328370213508606,0.9254109859466553,0.7710000276565552,0.7289999723434448,0.2724379897117615,0.2575969994068146,1.057610034942627,2.0,0.0,0.7685710191726685,0.9725189805030823,18.624399185180664,0.23180000483989716,122.4488182,-17.2683263,13.6095,ZTF24aahgidl
2460391.7108449,2,2637210842115,19.540199279785156,/ztf/archive/sci/2024/0322/210833/ztf_20240322210833_000311_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2637,21,311,26.262399673461914,1.4810999573455774e-06,0.016575699672102928,0.08464519679546356,5.900859832763672e-06,t17_f5_c3,2.637210842115015e+18,t,1.0,1618.22998046875,546.030029296875,122.451156,-17.2677326,18.619400024414062,0.09491699934005737,1.5778800249099731,18.711700439453125,0.19679999351501465,7.919479846954346,19.239999771118164,0.08799999952316284,6.499000072479248,0.3799999952316284,1.067139983177185,0.09233599901199341,2.0399999618530273,0.9829999804496765,546.030029296875,0.8285220265388489,1.1317399740219116,0.6669999957084656,0.6240000128746033,0.3269610106945038,0.3058820068836212,1.068910002708435,5.0,0.0,0.8542860150337219,0.945842981338501,18.68829917907715,0.24799999594688416,122.4488834,-17.2682446,17.2434,ZTF24aahgidl
2460397.7138194,1,2643213812115,19.700199127197266,/ztf/archive/sci/2024/0328/213819/ztf_20240328213819_000311_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2643,21,311,26.148099899291992,2.112909896823112e-06,0.01971389912068844,-0.033752601593732834,8.444970262644347e-06,t17_f5_c3,2.643213812115015e+18,1,2.0,1595.9300537109375,549.8989868164062,122.4511502,-17.2676985,18.225099563598633,0.07505399733781815,1.3857799768447876,18.230199813842773,0.09239999949932098,8.218219757080078,19.724000930786133,0.07699999958276749,2.8010001182556152,0.15299999713897705,1.4666399955749512,0.0050570000894367695,2.509999990463257,0.9829999804496765,549.8989868164062,1.470020055770874,1.0967899560928345,0.8090000152587891,0.765999972820282,0.32231101393699646,0.30517899990081787,1.0561399459838867,2.0,0.0,0.8857139945030212,1.0,18.29319953918457,0.1257999986410141,122.4488182,-17.2683263,25.3186,ZTF24aahgidl
2460369.7170139,2,2615217012115,20.326200485229492,/ztf/archive/sci/2024/0229/217014/ztf_20240229217014_000311_zr_c06_o_q2_scimrefdiffimg.fits.fz,Prince,3,2615,21,311,26.20549964904785,1.2845299579566927e-06,0.015407400205731392,0.0987090989947319,5.114960003993474e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aahgidl
