jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460374.9189699,1,2620418962015,20.613000869750977,/ztf/archive/sci/2024/0305/418958/ztf_20240305418958_000424_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2620,20,424,26.283100128173828,2.535860039643012e-05,0.04799089953303337,-0.10124299675226212,4.469190025702119e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaiervg
2460374.9682292,2,2620468222015,20.451200485229492,/ztf/archive/sci/2024/0305/468218/ztf_20240305468218_000424_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2620,20,424,26.296199798583984,7.991719940037001e-06,0.026913700625300407,0.11864300072193146,1.394949958921643e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaiervg
2460390.9166435,1,2636416642015,19.731700897216797,/ztf/archive/sci/2024/0321/416644/ztf_20240321416644_000424_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2636,20,424,26.319400787353516,1.480490027461201e-05,0.035355500876903534,-0.09605009853839874,2.9510800231946632e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaiervg
2460392.8683681,2,2638368362015,18.78860092163086,/ztf/archive/sci/2024/0323/368356/ztf_20240323368356_000424_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2638,20,424,26.126100540161133,2.3627799237146974e-05,0.04278060048818588,0.10920500010251999,4.08373998652678e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaiervg
2460397.9017361,2,2643401732015,19.37179946899414,/ztf/archive/sci/2024/0328/401725/ztf_20240328401725_000424_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2643,20,424,26.3257999420166,1.1787799849116709e-05,0.0327335000038147,0.106454998254776,2.0565299564623274e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaiervg
2460397.9605093,1,2643460502015,17.92729949951172,/ztf/archive/sci/2024/0328/460509/ztf_20240328460509_000424_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2643,20,424,25.6200008392334,0.00016119399515446275,0.05046119913458824,-0.08354520052671432,0.00048744698869995773,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaiervg
2460403.8536458,1,2649353642015,20.424100875854492,/ztf/archive/sci/2024/0403/353634/ztf_20240403353634_000424_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2649,20,424,26.29050064086914,1.7794200175558217e-05,0.040242601186037064,-0.09176000207662582,3.165900125168264e-05,t17_f5_c3,2.649353642015015e+18,1,26.0,1043.6300048828125,1845.25,200.8529092,-3.2386944,19.12150001525879,0.10292000323534012,2.9426300525665283,19.08009910583496,0.10989999771118164,2.4512600898742676,22.483999252319336,0.29600000381469727,0.9760000109672546,-0.25099998712539673,-0.14379699528217316,-0.04135100170969963,3.1600000858306885,0.9729999899864197,1043.6300048828125,1.3439500331878662,0.8325769901275635,0.800000011920929,0.7720000147819519,0.25316500663757324,0.24430400133132935,1.036270022392273,2.0,0.0,0.8828570246696472,1.0,18.91900062561035,0.12099999934434891,200.8529018,-3.239384,21.7205,ZTF24aaiervg
2460379.8576273,1,2625357622015,20.211299896240234,/ztf/archive/sci/2024/0310/357627/ztf_20240310357627_000424_zg_c06_o_q1_scimrefdiffimg.fits.fz,Qin,3,2625,20,424,26.144100189208984,1.9883300410583615e-05,0.04262780025601387,-0.0931876003742218,3.628939884947613e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaiervg
2460383.8692245,1,2629369222015,19.678699493408203,/ztf/archive/sci/2024/0314/369225/ztf_20240314369225_000424_zg_c06_o_q1_scimrefdiffimg.fits.fz,Qin,3,2629,20,424,25.89150047302246,3.501299943309277e-05,0.052271999418735504,-0.07216329872608185,7.345189806073904e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaiervg
2460383.8940625,1,2629394062015,19.87030029296875,/ztf/archive/sci/2024/0314/394051/ztf_20240314394051_000424_zg_c06_o_q1_scimrefdiffimg.fits.fz,Qin,3,2629,20,424,25.97209930419922,2.4121800379361957e-05,0.04521140083670616,-0.07734359800815582,4.7736299165990204e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaiervg
