jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2460429.754456,1,2675254452515,20.329299926757812,/ztf/archive/sci/2024/0429/254456/ztf_20240429254456_000422_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2675,25,422,26.316600799560547,1.2408600014168769e-05,0.03120190091431141,-0.10264900326728821,2.0250399757060222e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaoviqs
2460431.7698032,2,2677269802515,20.60650062561035,/ztf/archive/sci/2024/0501/269653/ztf_20240501269653_000422_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2677,25,422,26.325199127197266,7.6214701039134525e-06,0.024425800889730453,0.10775599628686905,1.2333999620750546e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaoviqs
2460431.7942708,1,2677294272515,20.576499938964844,/ztf/archive/sci/2024/0501/294259/ztf_20240501294259_000422_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2677,25,422,26.285499572753906,1.021899970510276e-05,0.028338799253106117,-0.07573819905519485,1.6693600628059357e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaoviqs
2460433.7476505,1,2679247652515,20.53019905090332,/ztf/archive/sci/2024/0503/247639/ztf_20240503247639_000422_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2679,25,422,26.206499099731445,9.114030035561882e-06,0.026695100590586662,-0.0620277002453804,1.4907200238667428e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaoviqs
2460437.6903819,3,2683190382515,19.983699798583984,/ztf/archive/sci/2024/0507/190382/ztf_20240507190382_000422_zi_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2683,25,422,25.76219940185547,2.426450009807013e-06,0.019833700731396675,0.18678300082683563,1.1154000276292209e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaoviqs
2460437.7310532,2,2683231052515,20.421100616455078,/ztf/archive/sci/2024/0507/231053/ztf_20240507231053_000422_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2683,25,422,26.32110023498535,1.1149500096507836e-05,0.029613200575113297,0.11397100239992142,1.8072099919663742e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaoviqs
2460437.7773727,1,2683277372515,20.096399307250977,/ztf/archive/sci/2024/0507/277373/ztf_20240507277373_000422_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2683,25,422,26.292600631713867,1.4506300431094132e-05,0.03298569843173027,-0.07857649773359299,2.5087199901463464e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaoviqs
2460438.7325926,2,2684232592515,20.249900817871094,/ztf/archive/sci/2024/0508/232581/ztf_20240508232581_000422_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2684,25,422,26.300100326538086,7.999679837666918e-06,0.024912400171160698,0.11766699701547623,1.297349990636576e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaoviqs
2460439.7706481,2,2685270642515,20.086200714111328,/ztf/archive/sci/2024/0509/270648/ztf_20240509270648_000422_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2685,25,422,26.21809959411621,8.911119948606938e-06,0.026600999757647514,0.10006999969482422,1.4561500393028837e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaoviqs
2460439.7999884,1,2685299982515,19.978599548339844,/ztf/archive/sci/2024/0509/299977/ztf_20240509299977_000422_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2685,25,422,26.125999450683594,1.9135899492539465e-05,0.03728710114955902,-0.052342500537633896,3.575930168153718e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF24aaoviqs
